timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-08,108.0,110.0,103.25,107.75,1.0511,1196800,0.0,1.0
1999-09-09,106.375,107.625,105.0,105.0,1.0243,704000,0.0,1.0
1999-09-10,103.0,108.75,102.5,108.0,1.0536,2284800,0.0,1.0
1999-09-13,107.25,107.375,103.5,104.0,1.0145,812800,0.0,1.0
1999-09-14,104.0,104.0,101.0,101.875,0.9938,4550400,0.0,1.0
1999-09-15,101.031,106.625,101.0,105.875,1.0328,5536000,0.0,1.0
1999-09-16,106.625,107.875,104.5,107.875,1.0523,1734400,0.0,1.0
1999-09-17,108.0,118.0,108.0,115.875,1.1304,5664000,0.0,1.0
1999-09-20,120.0,133.75,120.0,131.375,1.2816,7974400,0.0,1.0
1999-09-21,136.688,138.25,121.625,127.25,1.2413,9625600,0.0,1.0
1999-09-22,128.125,130.0,124.5,126.0,1.2292,3904000,0.0,1.0
1999-09-23,127.875,128.875,123.25,123.25,1.2023,1504000,0.0,1.0
1999-09-24,123.0,124.625,119.0,120.25,1.1731,4992000,0.0,1.0
1999-09-27,122.0,123.0,119.25,119.5,1.1657,3417600,0.0,1.0
1999-09-28,120.5,133.0,119.994,130.25,1.2706,5715200,0.0,1.0
1999-09-29,125.75,136.0,125.5033,131.063,1.2785,4646400,0.0,1.0
1999-09-30,134.375,147.75,132.75,143.0,1.395,4550400,0.0,1.0
1999-10-01,144.0,148.5,131.0,135.563,1.3224,6592000,0.0,1.0
1999-10-04,147.0,147.5,138.875,141.5,1.3804,5184000,0.0,1.0
1999-10-05,143.813,146.5,142.0,145.0,1.4145,4217600,0.0,1.0
1999-10-06,152.625,165.25,149.5,165.25,1.612,5388800,0.0,1.0
1999-10-07,162.0,163.0,153.0,157.0,1.5316,6009600,0.0,1.0
1999-10-08,164.5,175.0,163.0,174.0,1.6974,8147200,0.0,1.0
1999-10-11,179.375,179.5,166.75,171.0,1.6681,8115200,0.0,1.0
1999-10-12,169.188,169.25,157.0,169.0,1.6486,11123200,0.0,1.0
1999-10-13,161.75,172.0,158.813,159.875,1.5596,9459200,0.0,1.0
1999-10-14,157.125,157.5,152.5,155.0,1.5121,3737600,0.0,1.0
1999-10-15,148.0,154.9939,134.75,153.0,1.4925,5804800,0.0,1.0
1999-10-18,152.688,152.75,142.125,151.0,1.473,2668800,0.0,1.0
1999-10-19,155.063,158.0,151.25,155.0,1.5121,2764800,0.0,1.0
1999-10-20,156.0,157.0,149.0,150.0,1.4633,3545600,0.0,1.0
1999-10-21,143.75,150.0,140.9926,146.5,1.4291,5056000,0.0,1.0
1999-10-22,146.0,149.875,145.5,145.875,1.423,1932800,0.0,1.0
1999-10-25,148.0,160.375,140.625,160.375,1.5645,5344000,0.0,1.0
1999-10-26,157.5,162.75,155.5064,162.5,1.5852,6150400,0.0,1.0
1999-10-27,163.719,163.719,153.5,153.5,1.4974,1324800,0.0,1.0
1999-10-28,159.0,159.0,145.0,147.5,1.4389,2163200,0.0,1.0
1999-10-29,149.0,151.5,140.0,151.0,1.473,4864000,0.0,1.0
1999-11-01,143.9913,152.25,143.0,147.938,1.4432,1843200,0.0,1.0
1999-11-02,149.0,155.0,145.0,145.0,1.4145,4300800,0.0,1.0
1999-11-03,146.25,160.938,146.2528,150.5,1.4682,6310400,0.0,1.0
1999-11-04,158.5,159.0,150.0,150.75,1.4706,3078400,0.0,1.0
1999-11-05,155.0,157.875,153.25,155.5,1.5169,1600000,0.0,1.0
1999-11-08,153.0,166.0,151.0,162.0,1.5805,4083200,0.0003,1.0
1999-11-09,164.0,171.9938,162.125,168.75,1.6464,3168000,0.0,1.0
1999-11-10,173.875,182.0,169.0,179.0,1.7464,3059200,0.0,1.0
1999-11-11,179.125,186.0,178.625,180.0,1.7561,2867200,0.0,1.0
1999-11-12,177.2598,179.0,171.625,179.0,1.7464,908800,0.0,1.0
1999-11-15,182.5,190.0,179.625,189.25,1.8464,3456000,0.0,1.0
1999-11-16,189.5,189.5,182.75,184.25,1.7976,3494400,0.0,1.0
1999-11-17,190.0,208.875,188.125,204.5,1.9952,5964800,0.0,1.0
1999-11-18,198.5,218.0,193.188,210.0,2.0488,3283200,0.0,1.0
1999-11-19,217.0,234.0,216.0,228.5,2.2293,4928000,0.0,1.0
1999-11-22,234.5,235.0,219.875,230.125,2.2452,7795200,0.0,1.0
1999-11-23,231.0,232.5,219.0,223.5,2.1805,3136000,0.0,1.0
1999-11-24,219.5,222.75,212.0,212.063,2.0689,3475200,0.0,1.0
1999-11-26,227.75,228.2342,217.25,219.25,2.1391,4518400,0.0,1.0
1999-11-29,223.0,224.0,210.0067,218.375,2.1305,6400000,0.0,1.0
1999-11-30,220.0,220.0,206.0,206.0,2.0098,3328000,0.0,1.0
1999-12-01,210.125,214.0,204.125,211.5,2.0635,4512000,0.0,1.0
1999-12-02,210.625,219.875,210.625,218.25,2.1293,5862400,0.0,1.0
1999-12-03,218.0,228.0,217.625,226.0,2.2049,3680000,0.0,1.0
1999-12-06,230.531,252.625,230.0,252.375,2.4623,9702400,0.0,1.0
1999-12-07,258.188,301.0,254.5,290.0,2.8293,7404800,0.0,1.0
1999-12-08,282.9868,288.5,260.0,266.0,2.5952,7820800,0.0,1.0
1999-12-09,277.0,287.0,260.25,266.0,2.5952,6201600,0.0,1.0
1999-12-10,272.0,280.0,266.328,270.0,2.6342,1734400,0.0,1.0
1999-12-13,279.875,280.0,255.0,264.0,2.5757,2956800,0.0,1.0
1999-12-14,248.0,256.5,244.25,251.25,2.4513,3456000,0.0,1.0
1999-12-15,237.0,244.75,235.063,240.5,2.3464,4460800,0.0,1.0
1999-12-16,251.125,257.0,245.0078,250.0,2.4391,2208000,0.0,1.0
1999-12-17,259.0,260.25,254.375,260.0,2.5366,2361600,0.0,1.0
1999-12-20,266.5,291.5,266.0,284.0,2.7708,6380800,0.0,1.0
1999-12-21,295.0,317.0232,290.0,316.063,3.0836,4032000,0.0,1.0
1999-12-22,316.563,351.0,312.75,347.0,3.3854,3699200,0.0,1.0
1999-12-23,360.0,360.0,328.0,337.125,3.2891,6694400,0.0,1.0
1999-12-27,336.875,336.875,301.0,301.0,2.9367,4838400,0.0,1.0
1999-12-28,301.0,330.0,300.0,315.25,3.0757,2246400,0.0,1.0
1999-12-29,329.0,350.0,325.0,339.0,3.3074,5132800,0.0,1.0
1999-12-30,344.0,350.0,306.0,327.0,3.1903,3737600,0.0,1.0
1999-12-31,317.0,330.0,313.0,330.0,3.2196,1344000,0.0,1.0
2000-01-03,376.0,378.0,349.625,369.125,3.6013,5331200,0.0,1.0
2000-01-04,361.031,402.0,356.5,372.0,3.6294,5056000,0.0,1.0
2000-01-05,350.5,374.75,341.0,369.0,3.6001,6054400,0.0,1.0
2000-01-06,358.313,365.0,330.0,330.0,3.2196,4704000,0.0,1.0
2000-01-07,316.5,353.0,301.0,353.0,3.444,7884800,0.0,1.0
2000-01-10,372.0,374.25,355.0,358.0,3.4928,3532800,0.0,1.0
2000-01-11,348.25,348.313,329.563,337.0,3.2879,8512000,0.0,1.0
2000-01-12,344.0,355.0,314.0,331.0,3.2293,3968000,0.0,1.0
2000-01-13,342.0,342.0,312.0,318.0,3.1025,2560000,0.0,1.0
2000-01-14,326.438,337.25,297.2518,298.125,2.9086,7091200,0.0,1.0
2000-01-18,281.0,310.0,266.0,308.25,3.0074,10982400,0.0,1.0
2000-01-19,306.0,316.0,298.75,303.75,2.9635,2316800,0.0,1.0
2000-01-20,303.25,313.0,292.75,295.75,2.8854,4780800,0.0,1.0
2000-01-21,294.5,313.0,290.0,303.5,2.961,7692800,0.0,1.0
2000-01-24,307.0,319.625,305.0042,318.0,3.1025,6758400,0.0,1.0
2000-01-25,309.75,319.0,307.75,313.0,3.0537,2048000,0.0,1.0
2000-01-26,319.5,325.5,313.625,324.0,3.161,3366400,0.0,1.0
2000-01-27,320.0,350.0,316.0,348.625,3.4013,6528000,0.0,1.0
2000-01-28,349.0,356.125,335.875,338.0,3.2976,4192000,0.0,1.0
2000-01-31,335.0,339.5,306.625,324.875,3.1696,2163200,0.0,1.0
2000-02-01,327.875,327.938,318.5,321.0,3.1318,2144000,0.0,1.0
2000-02-02,327.0,339.5,323.0,335.5,3.2732,2912000,0.0,1.0
