timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-08,50.688,54.375,50.625,54.313,1.9992,11507200,0.0,1.0
1999-09-09,54.313,57.75,54.0,57.25,2.1074,17698400,0.0,1.0
1999-09-10,57.25,57.313,54.875,56.125,2.066,13699200,0.0,1.0
1999-09-13,55.875,56.125,55.188,56.0,2.0613,5464800,0.0,1.0
1999-09-14,55.813,55.813,54.5,54.813,2.0176,4459200,0.0,1.0
1999-09-15,55.25,55.625,54.0632,54.313,1.9992,7362400,0.0,1.0
1999-09-16,54.063,54.875,52.125,54.75,2.0516,7982400,0.12,1.0
1999-09-17,54.0,54.438,50.938,53.375,2.0001,27159200,0.0,1.0
1999-09-20,53.875,54.188,53.375,53.938,2.0212,12993600,0.0,1.0
1999-09-21,53.938,53.938,52.0,52.5,1.9673,7556800,0.0,1.0
1999-09-22,52.375,52.75,52.063,52.25,1.9579,7208000,0.0,1.0
1999-09-23,52.75,53.813,52.063,52.063,1.9509,7420800,0.0,1.0
1999-09-24,52.5,53.875,51.5645,53.813,2.0165,7947200,0.0,1.0
1999-09-27,54.563,56.813,54.25,56.375,2.1125,11124000,0.0,1.0
1999-09-28,57.0,57.0,55.5,56.625,2.1219,7305600,0.0,1.0
1999-09-29,56.7529,57.813,56.375,56.5,2.1172,8228800,0.0,1.0
1999-09-30,56.75,56.8693,55.438,56.875,2.1312,16650400,0.0,1.0
1999-10-01,56.625,57.563,56.375,57.563,2.157,8156800,0.0,1.0
1999-10-04,57.688,59.188,57.6255,58.75,2.2015,6956800,0.0,1.0
1999-10-05,58.5,58.875,57.5,58.5,2.1921,8703200,0.0,1.0
1999-10-06,58.438,59.25,58.125,58.5,2.1921,6101600,0.0,1.0
1999-10-07,58.938,59.0,58.063,58.125,2.1781,7301600,0.0,1.0
1999-10-08,58.25,58.25,57.0,57.125,2.1406,7067200,0.0,1.0
1999-10-11,57.125,58.75,56.563,58.563,2.1945,3693600,0.0,1.0
1999-10-12,58.5,58.5,56.938,57.313,2.1476,4705600,0.0,1.0
1999-10-13,57.375,57.75,55.063,55.563,2.082,3825600,0.0,1.0
1999-10-14,55.5,56.875,55.0,56.25,2.1078,4657600,0.0,1.0
