timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-08,10.844,11.203,10.766,11.078,9.7319,71019200,0.0,1.0
1999-09-09,11.063,11.125,10.781,11.016,9.677,51350000,0.0,1.0
1999-09-10,11.125,11.734,11.063,11.594,10.1848,64388000,0.0,1.0
1999-09-13,11.609,11.672,11.125,11.438,10.0476,59682800,0.0,1.0
1999-09-14,11.5,11.609,10.922,11.359,9.9789,80645200,0.0,1.0
1999-09-15,10.031,10.859,9.969,10.672,9.375,256649600,0.0,1.0
1999-09-16,10.672,10.742,10.422,10.547,9.2652,61758400,0.0,1.0
1999-09-17,10.594,10.938,10.5857,10.891,9.5672,64400000,0.0,1.0
1999-09-20,10.938,11.375,10.844,11.281,9.9103,42020800,0.0,1.0
1999-09-21,11.203,11.5,10.969,11.125,9.773,53644800,0.0,1.0
1999-09-22,11.125,11.438,10.969,11.422,10.0338,38004800,0.0,1.0
1999-09-23,11.438,11.531,10.75,10.875,9.5534,40246000,0.0,1.0
1999-09-24,10.75,10.891,10.2657,10.547,9.2652,50765600,0.0,1.0
1999-09-27,10.7966,10.906,10.547,10.578,9.2926,41769600,0.0,1.0
1999-09-28,10.5,10.75,10.297,10.719,9.4162,37798400,0.0,1.0
1999-09-29,10.688,11.266,10.688,10.828,9.5122,45801600,0.0,1.0
1999-09-30,10.844,11.469,10.625,11.375,9.9927,58577200,0.0,1.0
1999-10-01,11.172,11.469,11.109,11.313,9.9378,34570800,0.0,1.0
1999-10-04,11.3597,11.656,11.266,11.625,10.2123,40801600,0.0,1.0
1999-10-05,11.672,11.719,11.375,11.563,10.1574,46292000,0.0,1.0
1999-10-06,11.609,11.6881,11.422,11.469,10.075,31310000,0.0,1.0
1999-10-07,11.2982,11.359,11.094,11.172,9.8142,38359600,0.0,1.0
1999-10-08,11.156,11.406,10.844,11.313,9.9378,28551200,0.0,1.0
1999-10-11,11.266,11.688,11.234,11.516,10.1162,25299600,0.0,1.0
1999-10-12,11.484,11.953,11.469,11.75,10.3221,45535600,0.0,1.0
1999-10-13,11.547,12.031,11.5306,11.859,10.4182,57057200,0.0,1.0
1999-10-14,11.844,11.875,11.531,11.695,10.2741,47554400,0.0,1.0
1999-10-15,11.578,11.625,11.1873,11.25,9.8829,56845600,0.0,1.0
1999-10-18,11.219,11.2649,10.672,10.969,9.6358,47037600,0.0,1.0
1999-10-19,11.156,11.203,10.766,10.953,9.6221,39418800,0.0,1.0
1999-10-20,11.109,11.203,10.984,11.188,9.828,45197200,0.0,1.0
1999-10-21,10.547,11.4372,10.5,11.297,9.924,55295200,0.0,1.0
1999-10-22,11.344,11.484,10.891,11.031,9.6907,40710400,0.0,1.0
1999-10-25,10.906,11.078,10.781,10.828,9.5122,41902800,0.0,1.0
1999-10-26,10.875,10.969,10.688,10.859,9.5397,42569200,0.0,1.0
1999-10-27,10.867,11.2665,10.813,11.203,9.8417,39112800,0.0,1.0
1999-10-28,11.328,11.484,10.938,11.469,10.075,39646400,0.0,1.0
1999-10-29,11.516,12.188,11.5,11.891,10.4456,53908400,0.0,1.0
1999-11-01,12.031,13.109,11.969,12.797,11.2418,90335200,0.0,1.0
1999-11-02,12.844,13.469,12.844,13.25,11.6398,83764800,0.0,1.0
1999-11-03,13.844,14.4375,13.75,14.328,12.5869,87264000,0.0,1.0
1999-11-04,14.547,14.75,14.406,14.547,12.7791,83700800,0.0,1.0
1999-11-05,14.938,15.344,14.625,14.672,12.8889,84155600,0.0,1.0
1999-11-08,14.906,15.172,14.703,14.859,13.0536,54326400,0.0,1.0
1999-11-09,14.969,14.969,14.438,14.609,12.834,55569200,0.0,1.0
1999-11-10,14.547,15.0,14.359,14.719,12.9301,50972000,0.0,1.0
