timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-08,38.063,38.813,37.938,38.563,19.8795,5051500,0.0,1.0
1999-09-09,38.563,38.688,37.688,38.188,19.6862,4742800,0.0,1.0
1999-09-10,38.5619,38.563,37.188,37.25,19.2029,7397100,0.0,1.0
1999-09-13,37.063,37.375,36.75,37.25,19.2029,6294000,0.0,1.0
1999-09-14,37.125,37.25,36.188,36.438,18.784,5560300,0.0,1.0
1999-09-15,36.688,37.188,36.0,36.0,18.5585,6662100,0.0,1.0
1999-09-16,36.0,36.5623,35.75,36.25,18.6874,5462100,0.0,1.0
1999-09-17,36.688,36.688,36.313,36.438,18.784,6174400,0.0,1.0
1999-09-20,36.5,36.625,36.125,36.563,18.8485,3740700,0.0,1.0
1999-09-21,36.063,36.625,35.75,36.063,18.5907,6277500,0.0,1.0
1999-09-22,36.5,37.188,36.0,36.875,19.0096,7708300,0.0,1.0
1999-09-23,36.875,36.875,35.5,35.625,18.3652,6633800,0.0,1.0
1999-09-24,35.438,35.563,34.563,34.75,17.9141,7516900,0.0,1.0
1999-09-27,35.25,35.5,34.938,35.063,18.0752,5064200,0.0,1.0
1999-09-28,35.0,35.375,33.75,34.875,17.9785,7433700,0.0,1.0
1999-09-29,34.875,35.25,34.0015,34.125,17.5919,6043700,0.0,1.0
1999-09-30,34.438,36.313,34.25,35.875,18.4941,8479200,0.0,1.0
1999-10-01,35.625,37.625,35.625,37.313,19.2351,8817400,0.0,1.0
1999-10-04,37.75,38.063,37.375,37.625,19.3962,7062500,0.0,1.0
1999-10-05,37.813,38.3751,36.875,37.5,19.3317,7933000,0.0,1.0
1999-10-06,37.813,39.063,37.5,39.0,20.105,8986200,0.0,1.0
1999-10-07,38.813,39.063,38.313,38.625,19.9117,5804300,0.0,1.0
1999-10-08,38.75,40.063,38.438,39.5,20.3628,12724400,0.0,1.0
1999-10-11,39.438,39.9989,39.313,39.813,20.5239,7100300,0.0,1.0
1999-10-12,39.748,39.75,39.125,39.375,20.2983,7132000,0.0,1.0
1999-10-13,39.0,39.063,37.813,38.0,19.5895,6642800,0.0,1.0
1999-10-14,37.688,38.125,37.438,37.688,19.4284,4791300,0.0,1.0
1999-10-15,36.875,37.438,36.563,36.875,19.0096,5843200,0.0,1.0
1999-10-18,36.625,37.875,36.625,37.563,19.364,6566600,0.0,1.0
1999-10-19,38.563,40.0,38.5,39.938,20.5883,14703900,0.0,1.0
1999-10-20,40.0,41.4989,39.813,41.5,21.3938,17309200,0.0,1.0
1999-10-21,40.938,42.25,40.563,41.75,21.5227,15670300,0.0,1.0
1999-10-22,42.0,42.125,41.25,41.625,21.4583,8761900,0.0,1.0
1999-10-25,39.75,40.125,37.938,40.0,20.6205,14926700,0.0,1.0
1999-10-26,39.5,39.563,37.0,37.0,19.074,9618200,0.0,1.0
