timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-11-18,30.5,31.0,24.39,25.3,3.1625,143706400,0.0,1.0
2005-11-21,26.03,26.95,25.5,26.15,3.2687,33676800,0.0,1.0
2005-11-22,25.5,25.85,22.75,23.5,2.9375,25755200,0.0,1.0
2005-11-23,23.94,24.1,23.51,23.8,2.975,8253600,0.0,1.0
2005-11-25,23.825,23.9999,23.5,23.68,2.96,2330400,0.0,1.0
2005-11-28,23.68,24.2,23.58,23.7,2.9625,6484800,0.0,1.0
2005-11-29,23.555,23.65,21.08,21.35,2.6688,16241600,0.0,1.0
2005-11-30,21.33,22.71,21.27,22.51,2.8138,6432800,0.0,1.0
2005-12-01,22.845,23.73,22.6,23.15,2.8937,5836800,0.0,1.0
2005-12-02,23.71,25.0,23.251,24.66,3.0825,9434400,0.0,1.0
2005-12-05,25.12,25.9,24.55,25.66,3.2075,5653600,0.0,1.0
2005-12-06,26.06,26.16,24.52,24.7,3.0875,4617600,0.0,1.0
2005-12-07,24.91,25.65,24.91,25.65,3.2062,3523200,0.0,1.0
2005-12-08,25.5,25.88,25.3,25.5,3.1875,1992800,0.0,1.0
2005-12-09,25.6,25.84,24.8,25.0,3.125,1599200,0.0,1.0
2005-12-12,25.0,25.58,24.75,25.49,3.1862,2622400,0.0,1.0
2005-12-13,25.76,25.9,25.25,25.59,3.1988,2128800,0.0,1.0
2005-12-14,26.0,27.25,25.87,27.0,3.375,8248800,0.0,1.0
2005-12-15,26.9969,27.65,26.8,27.39,3.4237,4250400,0.0,1.0
2005-12-16,27.38,27.6412,26.51,27.64,3.455,8036800,0.0,1.0
2005-12-19,27.59,27.6,25.15,26.49,3.3112,7141600,0.0,1.0
2005-12-20,27.54,28.29,26.85,28.07,3.5087,11580800,0.0,1.0
2005-12-21,28.145,28.8,27.89,28.55,3.5687,9884800,0.0,1.0
2005-12-22,28.58,28.833,27.99,28.7,3.5875,4285600,0.0,1.0
2005-12-23,28.7,31.724,28.55,31.22,3.9025,15113600,0.0,1.0
2005-12-27,31.9,34.92,31.52,33.26,4.1575,33193600,0.0,1.0
2005-12-28,34.01,36.74,33.7,36.35,4.5437,29310400,0.0,1.0
2005-12-29,38.95,40.0,38.28,39.86,4.9825,36177600,0.0,1.0
2005-12-30,39.63,39.74,37.21,38.31,4.7888,29355200,0.0,1.0
2006-01-03,37.19,37.39,33.18,33.36,4.17,32660800,0.0,1.0
2006-01-04,32.74,33.19,31.28,31.6,3.9588,30113600,0.0,1.0
2006-01-05,32.52,35.7,32.17,35.63,4.4538,28586400,0.0,1.0
2006-01-06,35.2,36.37,33.65,35.47,4.4338,22208800,0.0,1.0
2006-01-09,35.93,35.97,34.77,35.83,4.4788,8494400,0.0,1.0
2006-01-10,36.18,38.49,35.54,37.5,4.6875,23698400,0.0,1.0
2006-01-11,38.2778,38.55,36.5,37.69,4.7112,10361600,0.0,1.0
2006-01-12,37.1383,39.4,37.14,38.51,4.8137,12392800,0.0,1.0
2006-01-13,38.81,40.34,38.51,39.02,4.8775,8647200,0.0,1.0
2006-01-17,39.16,39.41,37.05,38.17,4.7712,7448800,0.0,1.0
2006-01-18,36.66,39.55,36.5,38.55,4.8187,8061600,0.0,1.0
2006-01-19,38.3,39.7,38.2,38.78,4.8475,5005600,0.0,1.0
