timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-03-19,59.5,69.0,55.0,56.5,11.1997,708486000,0.0,1.0
2008-03-20,58.4,65.0,57.5,64.35,12.7558,198985200,0.0,1.0
2008-03-24,67.24,67.7,59.0,59.73,11.84,149566400,0.0,1.0
2008-03-25,60.58,64.25,59.82,63.25,12.5377,87092000,0.0,1.0
2008-03-26,62.73,64.48,61.57,63.96,12.6785,43111600,0.0,1.0
2008-03-27,64.05,64.74,62.65,62.91,12.4703,39829600,0.0,1.0
2008-03-28,63.37,63.44,62.16,62.76,12.4406,24675200,0.0,1.0
2008-03-31,62.6,63.48,62.05,62.36,12.3613,22157200,0.0,1.0
2008-04-01,63.06,63.684,60.31,61.61,12.2127,60410800,0.0,1.0
2008-04-02,61.72,62.32,60.5,62.32,12.3534,43836400,0.0,1.0
2008-04-03,61.95,66.29,61.82,65.5,12.9837,100868000,0.0,1.0
2008-04-04,64.9,65.32,63.75,64.48,12.7816,36394400,0.0,1.0
2008-04-07,65.1,65.8,64.02,65.04,12.8926,28301600,0.0,1.0
2008-04-08,64.9,68.24,64.81,68.09,13.4972,53925600,0.0,1.0
2008-04-09,68.44,68.72,65.61,65.79,13.0412,48324400,0.0,1.0
2008-04-10,66.16,66.73,65.109,66.11,13.1047,22372000,0.0,1.0
2008-04-11,65.25,66.77,65.25,66.11,13.1047,26421600,0.0,1.0
2008-04-14,66.7,67.24,65.53,65.68,13.0194,28443600,0.0,1.0
2008-04-15,66.29,66.55,64.0,64.35,12.7558,23888000,0.0,1.0
2008-04-16,64.56,66.95,64.56,66.14,13.1106,25136800,0.0,1.0
2008-04-17,66.26,67.75,66.01,67.04,13.289,22459600,0.0,1.0
2008-04-18,68.01,70.447,67.2,69.0,13.6775,104099600,0.0,1.0
2008-04-21,69.48,72.5,68.85,70.97,14.068,58848000,0.0,1.0
2008-04-22,71.92,72.4,70.0,70.28,13.9313,47357600,0.0,1.0
2008-04-23,70.95,71.7,69.69,70.08,13.8916,37319600,0.0,1.0
2008-04-24,71.2,72.99,70.04,72.3,14.3317,38086800,0.0,1.0
2008-04-25,76.0,76.08,73.91,75.1,14.8867,101460000,0.0,1.0
2008-04-28,76.5,77.29,74.9,75.63,14.9918,132517200,0.0,1.0
2008-04-29,74.15,80.88,71.0,80.88,16.0325,197308400,0.0,1.0
2008-04-30,81.4,84.81,81.07,83.45,16.5419,147543600,0.0,1.0
2008-05-01,84.39,87.64,83.9,85.4,16.9284,116395600,0.0,1.0
2008-05-02,87.29,87.5,81.0,82.75,16.4031,136648800,0.0,1.0
2008-05-05,82.8449,85.5,80.82,85.06,16.861,70377200,0.0,1.0
2008-05-06,85.47,88.15,84.75,87.53,17.3506,75913200,0.0,1.0
2008-05-07,88.83,89.84,87.66,88.5,17.5429,100464800,0.0,1.0
2008-05-08,89.5,89.75,85.94,87.3,17.3051,92836400,0.0,1.0
2008-05-09,85.81,86.67,82.52,82.86,16.4249,94312000,0.0,1.0
2008-05-12,83.65,84.48,78.1,81.9,16.2346,147471600,0.0,1.0
2008-05-13,81.83,83.5,80.79,82.38,16.3298,53249600,0.0,1.0
2008-05-14,83.2949,84.35,81.45,82.23,16.3001,51400400,0.0,1.0
