timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-12-24,15.05,18.25,15.05,17.75,11.8127,23300,0.0,1.0
2012-12-26,17.5986,18.44,16.53,16.95,11.2803,228800,0.0,1.0
2012-12-27,16.78,16.78,16.2,16.2,10.7812,150100,0.0,1.0
2012-12-28,16.01,16.29,15.06,16.29,10.8411,142500,0.0,1.0
2012-12-31,16.0,16.0,15.55,15.84,10.5416,53700,0.0,1.0
2013-01-02,16.0,16.2,15.25,15.63,10.4019,38500,0.0,1.0
2013-01-03,15.35,15.71,15.25,15.68,10.4352,155700,0.0,1.0
2013-01-04,15.7,15.7006,15.251,15.5,10.3154,56200,0.0,1.0
2013-01-07,15.25,15.514,15.25,15.35,10.2155,74800,0.0,1.0
2013-01-08,15.3485,16.38,15.35,15.9,10.5816,236800,0.0,1.0
2013-01-09,16.0,17.92,15.93,17.83,11.866,275400,0.0,1.0
2013-01-10,18.29,18.29,17.27,17.54,11.673,120800,0.0,1.0
2013-01-11,17.8499,18.78,17.64,18.4,12.2453,211500,0.0,1.0
2013-01-14,18.4,18.5,18.02,18.38,12.232,84100,0.0,1.0
2013-01-15,18.15,18.5,18.08,18.24,12.1388,72200,0.0,1.0
2013-01-16,18.04,18.11,16.36,16.63,11.0674,228800,0.0,1.0
2013-01-17,16.73,17.41,16.5099,17.35,11.5465,80700,0.0,1.0
2013-01-18,17.1311,18.19,17.13,17.88,11.8993,53200,0.0,1.0
2013-01-22,18.0,18.13,17.36,18.06,12.0191,98600,0.0,1.0
2013-01-23,17.81,18.09,17.65,18.01,11.9858,104400,0.0,1.0
2013-01-24,18.0,18.27,17.8491,18.0,11.9791,196000,0.0,1.0
2013-01-25,18.26,18.26,17.43,18.1,12.0457,49000,0.0,1.0
2013-01-28,17.85,19.21,17.6,18.3,12.1788,95100,0.0,1.0
2013-01-29,18.36,18.93,18.18,18.59,12.3718,119900,0.0,1.0
2013-01-30,18.47,18.8,18.09,18.72,12.4583,81500,0.0,1.0
2013-01-31,18.58,18.85,18.0,18.0,11.9791,30100,0.0,1.0
2013-02-01,17.77,18.57,17.77,18.55,12.3452,54500,0.0,1.0
2013-02-04,18.6,18.74,17.94,18.42,12.2586,57500,0.0,1.0
2013-02-05,18.6,18.6,18.4,18.56,12.3518,88600,0.0,1.0
2013-02-06,18.5,18.64,18.4,18.62,12.3917,27000,0.0,1.0
2013-02-07,18.62,18.75,18.5,18.57,12.3585,99300,0.0,1.0
2013-02-08,18.79,18.79,18.31,18.35,12.2121,14400,0.0,1.0
2013-02-11,18.51,18.51,17.94,18.05,12.0124,65500,0.0,1.0
2013-02-12,17.24,18.152,16.97,18.0,11.9791,20100,0.0,1.0
2013-02-13,17.81,18.0993,17.27,17.59,11.7063,31600,0.0,1.0
2013-02-14,17.7,17.7,17.25,17.34,11.5399,60600,0.0,1.0
2013-02-15,17.25,17.35,17.1,17.11,11.3868,84100,0.0,1.0
2013-02-19,17.03,17.105,16.16,16.44,10.9409,125100,0.0,1.0
2013-02-20,16.52,16.9,15.95,16.16,10.7546,84300,0.0,1.0
2013-02-21,15.93,16.12,15.6,16.0,10.6481,110700,0.0,1.0
2013-02-22,15.97,17.25,15.97,17.12,11.3935,80400,0.0,1.0
2013-02-25,17.28,17.3,16.95,17.12,11.3935,102700,0.0,1.0
2013-02-26,17.11,17.35,17.0,17.14,11.4068,91300,0.0,1.0
2013-02-27,17.11,17.52,17.1,17.41,11.5865,84800,0.0,1.0
2013-02-28,17.5,19.23,17.5,19.04,12.6713,89600,0.0,1.0
2013-03-01,18.9,20.45,18.45,20.0,13.3101,287600,0.0,1.0
2013-03-04,19.92,21.0,19.74,20.5,13.6429,162900,0.0,1.0
2013-03-05,20.48,20.75,20.192,20.51,13.6496,74700,0.0,1.0
2013-03-06,20.29,20.29,20.0,20.07,13.3567,61300,0.0,1.0
2013-03-07,20.18,20.18,19.9,20.01,13.3168,54200,0.0,1.0
2013-03-08,20.05,20.25,19.9,20.05,13.3434,29800,0.0,1.0
2013-03-11,20.05,20.769,20.03,20.33,13.5298,32500,0.0,1.0
2013-03-12,20.4,20.66,20.0,20.35,13.5431,20600,0.0,1.0
2013-03-13,20.21,20.244,19.85,20.03,13.3301,15800,0.0,1.0
2013-03-14,20.1,20.75,20.1,20.3,13.5098,23500,0.0,1.0
2013-03-15,20.3,20.5,20.0,20.09,13.37,54800,0.0,1.0
2013-03-18,19.9807,20.54,19.3,20.31,13.5165,66600,0.0,1.0
2013-03-19,20.2,20.5808,19.71,20.15,13.41,19800,0.0,1.0
2013-03-20,20.28,20.535,19.9,20.46,13.6163,34800,0.0,1.0
2013-03-21,20.5,20.55,20.2,20.44,13.603,52200,0.0,1.0
2013-03-22,20.4636,20.464,20.1,20.11,13.3833,41400,0.0,1.0
2013-03-25,20.25,20.28,19.36,19.46,12.9508,20100,0.0,1.0
2013-03-26,19.45,19.45,19.1,19.19,12.7711,17200,0.0,1.0
2013-03-27,19.1,19.68,19.0494,19.65,13.0772,63100,0.0,1.0
2013-03-28,19.75,20.46,19.39,20.0,13.3101,27200,0.0,1.0
2013-04-01,20.0,20.0,19.55,19.76,13.1504,92300,0.0,1.0
2013-04-02,19.88,19.88,19.1,19.54,13.004,50200,0.0,1.0
2013-04-03,19.54,19.82,18.9,19.05,12.6779,35000,0.0,1.0
2013-04-04,19.21,19.46,19.01,19.4,12.9108,12500,0.0,1.0
2013-04-05,19.16,20.0,19.1,20.0,13.3101,29600,0.0,1.0
2013-04-08,20.0,20.4,19.54,19.91,13.2502,94000,0.0,1.0
2013-04-09,20.0,20.12,19.76,19.99,13.3035,90400,0.0,1.0
2013-04-10,19.97,19.99,19.8,19.83,13.197,16300,0.0,1.0
2013-04-11,19.9,19.95,19.71,19.79,13.1704,22300,0.0,1.0
2013-04-12,19.75,19.8899,19.1,19.57,13.024,53700,0.0,1.0
2013-04-15,19.5,19.5,18.96,18.98,12.6313,38100,0.0,1.0
2013-04-16,19.0,19.12,18.75,18.99,12.638,50600,0.0,1.0
2013-04-17,19.02,19.207,18.834,18.99,12.638,44800,0.0,1.0
2013-04-18,19.0,19.0,18.225,18.9,12.5781,53300,0.0,1.0
2013-04-19,18.9,19.11,18.69,18.79,12.5049,8500,0.0,1.0
2013-04-22,18.0,19.1196,17.75,18.87,12.5581,118000,0.0,1.0
