timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,36.188,36.188,35.313,35.375,7.4941,244200,0.0,1.0
1999-09-14,35.375,35.375,34.75,34.875,7.3881,396300,0.0,1.0
1999-09-15,34.875,36.0,34.875,35.75,7.5735,54000,0.0,1.0
1999-09-16,35.75,36.25,35.625,35.625,7.547,66300,0.0,1.0
1999-09-17,35.75,36.188,35.75,35.813,7.5867,164100,0.0,1.0
1999-09-20,35.688,35.75,35.563,35.563,7.5338,5100,0.0,1.0
1999-09-21,35.563,35.688,35.5,35.563,7.5338,274200,0.0,1.0
1999-09-22,35.563,35.5649,35.0,35.0,7.4146,26700,0.0,1.0
1999-09-23,35.0,35.6237,35.0,35.375,7.4941,63900,0.0,1.0
1999-09-24,35.625,35.625,35.0,35.063,7.4278,52200,0.0,1.0
1999-09-27,35.0,35.75,35.0025,35.25,7.4676,111600,0.0,1.0
1999-09-28,35.0,35.0,34.75,34.875,7.3881,120900,0.0,1.0
1999-09-29,34.813,34.875,34.688,34.75,7.3616,75900,0.0,1.0
1999-09-30,34.75,34.75,34.313,34.688,7.3484,106200,0.0,1.0
1999-10-01,34.688,34.938,34.0,34.0,7.2028,46800,0.0,1.0
1999-10-04,34.0,34.125,33.1885,33.563,7.1101,87600,0.0,1.0
1999-10-05,33.563,33.625,33.5,33.5,7.0968,93600,0.0,1.0
1999-10-06,33.5,33.688,33.438,33.563,7.1101,26400,0.0,1.0
1999-10-07,33.563,33.6866,33.438,33.625,7.1233,127800,0.0,1.0
1999-10-08,33.625,34.25,33.625,34.25,7.2557,9900,0.0,1.0
1999-10-11,34.188,34.25,34.0,34.25,7.2557,8100,0.0,1.0
1999-10-12,34.25,34.25,34.0,34.063,7.216,106800,0.0,1.0
1999-10-13,34.25,35.0,34.125,35.0,7.4146,132900,0.0,1.0
1999-10-14,35.0,36.125,35.0,35.938,7.6132,30000,0.0,1.0
1999-10-15,35.938,36.438,35.25,36.375,7.7059,52800,0.0,1.0
1999-10-18,36.5,36.625,36.25,36.25,7.6794,34500,0.0,1.0
1999-10-19,36.25,36.25,35.8749,36.0,7.6265,42300,0.0,1.0
1999-10-20,35.875,35.875,35.875,35.875,7.6,17100,0.0,1.0
1999-10-21,35.625,35.625,34.938,34.938,7.4014,130800,0.0,1.0
1999-10-22,34.938,35.625,34.938,35.5,7.5205,16200,0.0,1.0
1999-10-25,35.625,35.625,35.25,35.5,7.5205,55800,0.0,1.0
1999-10-26,35.563,35.563,35.063,35.125,7.4411,111600,0.0,1.0
1999-10-27,35.0,35.0,34.813,34.875,7.3881,39900,0.0,1.0
1999-10-28,34.938,35.375,34.875,35.0,7.4146,51000,0.0,1.0
1999-10-29,35.2493,36.75,35.25,36.438,7.7191,57900,0.0,1.0
1999-11-01,36.438,37.0,36.375,36.688,7.7721,44100,0.0,1.0
1999-11-02,37.064,38.375,36.625,37.063,7.8515,222300,0.0,1.0
1999-11-03,37.0,37.0,36.438,36.625,7.7589,110100,0.0,1.0
1999-11-04,36.875,36.938,36.5,36.5,7.7324,98700,0.0,1.0
1999-11-05,36.625,37.188,36.563,37.0,7.8383,146400,0.0,1.0
1999-11-08,37.0,37.875,37.0,37.813,8.0104,117000,0.0,1.0
1999-11-09,38.0,38.0,37.25,37.25,7.8913,123300,0.0,1.0
1999-11-10,37.313,37.875,37.25,37.5,7.9442,99000,0.0,1.0
1999-11-11,37.75,38.25,37.563,38.0,8.0501,261300,0.0,1.0
1999-11-12,38.125,38.125,37.5,37.5,7.9442,141600,0.0,1.0
1999-11-15,37.438,37.5011,36.0,36.438,7.7191,320400,0.0,1.0
1999-11-16,36.0,36.5,36.0,36.313,7.921,58500,0.3501,1.0
1999-11-17,36.3158,37.063,36.313,37.0,8.0709,167400,0.0,1.0
1999-11-18,37.375,38.438,37.125,38.313,8.3572,425400,0.0,1.0
1999-11-19,38.313,40.625,38.188,40.0,8.7253,155400,0.0,1.0
1999-11-22,40.25,42.75,40.25,41.875,9.1343,225600,0.0,1.0
1999-11-23,42.75,43.188,41.375,41.563,9.0662,92400,0.0,1.0
1999-11-24,41.438,42.125,40.875,40.875,8.9162,42600,0.0,1.0
1999-11-26,40.813,40.813,40.438,40.438,8.8208,6600,0.0,1.0
1999-11-29,40.313,40.813,40.313,40.813,8.9026,128700,0.0,1.0
1999-11-30,40.938,42.75,40.938,41.688,9.0934,220800,0.0,1.0
1999-12-01,41.563,42.5,41.5,42.125,9.1889,888000,0.0,1.0
1999-12-02,41.188,41.188,40.938,41.0,8.9435,144900,0.0,1.0
1999-12-03,40.813,41.438,40.813,40.875,8.9162,153300,0.0,1.0
1999-12-06,40.75,41.0,40.625,40.875,8.9162,90900,0.0,1.0
1999-12-07,40.813,40.813,40.313,40.438,8.8208,94200,0.0,1.0
1999-12-08,40.438,40.5,40.0,40.0,8.7253,187500,0.0,1.0
1999-12-09,39.75,39.75,38.375,38.375,8.3709,299400,0.0,1.0
1999-12-10,38.25,39.625,38.2513,38.938,8.4936,120900,0.0,1.0
1999-12-13,39.0,39.0,38.25,38.313,8.3572,85200,0.0,1.0
1999-12-14,38.188,38.25,37.6887,37.938,8.2754,153300,0.0,1.0
1999-12-15,37.875,38.0,37.063,37.188,8.1118,370800,0.0,1.0
1999-12-16,37.375,37.563,37.25,37.438,8.1664,78900,0.0,1.0
1999-12-17,37.438,37.875,37.438,37.875,8.2618,39000,0.0,1.0
1999-12-20,37.75,38.6233,37.75,38.438,8.3845,52800,0.0,1.0
1999-12-21,38.438,38.938,38.313,38.938,8.4936,58200,0.0,1.0
1999-12-22,38.938,38.938,38.813,38.875,8.4799,9000,0.0,1.0
1999-12-23,39.0,39.1254,38.625,39.125,8.5345,191700,0.0,1.0
1999-12-27,39.0,39.188,38.5627,38.688,8.439,51000,0.0,1.0
1999-12-28,38.688,39.938,38.3742,39.875,8.6981,276000,0.0,1.0
1999-12-29,39.625,40.5,39.625,40.375,8.8071,202500,0.0,1.0
1999-12-30,40.563,40.75,40.5,40.75,8.8889,45600,0.0,1.0
1999-12-31,40.75,41.125,40.625,40.875,8.9162,16500,0.0,1.0
2000-01-03,41.0,41.125,40.5,40.5,8.8344,136500,0.0,1.0
2000-01-04,40.375,40.375,39.563,39.563,8.6299,153300,0.0,1.0
2000-01-05,39.688,40.0,39.6241,39.75,8.6708,69600,0.0,1.0
2000-01-06,39.75,40.375,39.5,39.5,8.6163,249300,0.0,1.0
2000-01-07,39.5,40.0,39.375,39.938,8.7117,180600,0.0,1.0
2000-01-10,40.063,40.438,39.5,39.813,8.6844,191100,0.0,1.0
2000-01-11,39.813,39.813,39.313,39.563,8.6299,49500,0.0,1.0
2000-01-12,39.438,40.375,39.3147,40.0,8.7253,47100,0.0,1.0
2000-01-13,40.063,40.875,39.875,40.063,8.739,78600,0.0,1.0
2000-01-14,40.063,40.25,40.063,40.188,8.7662,57600,0.0,1.0
2000-01-18,40.375,41.0,40.375,40.625,8.8617,251700,0.0,1.0
2000-01-19,40.5,40.5,39.75,40.125,8.7526,75000,0.0,1.0
2000-01-20,40.125,40.313,39.5,40.0,8.7253,67500,0.0,1.0
2000-01-21,40.25,40.813,40.125,40.75,8.8889,60600,0.0,1.0
2000-01-24,40.6239,40.688,40.375,40.5,8.8344,61800,0.0,1.0
2000-01-25,40.375,40.375,40.25,40.313,8.7935,29400,0.0,1.0
2000-01-26,40.188,40.188,39.625,39.875,8.6981,27600,0.0,1.0
