timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,5.563,5.625,5.438,5.5,3.4634,349200,0.01,1.0
1999-09-14,5.5,5.531,5.375,5.438,3.424,61200,0.0,1.0
1999-09-15,5.5,5.5,5.188,5.25,3.3059,125700,0.0,1.0
1999-09-16,5.188,5.188,4.938,5.063,3.1879,154800,0.0,1.0
1999-09-17,5.188,5.188,5.063,5.125,3.2272,73900,0.0,1.0
1999-09-20,5.063,5.188,4.938,4.938,3.1092,83100,0.0,1.0
1999-09-21,4.938,5.0001,4.688,4.75,2.9911,140800,0.0,1.0
1999-09-22,4.688,4.75,4.563,4.625,2.9124,114400,0.0,1.0
1999-09-23,4.6249,4.688,4.25,4.25,2.6762,236700,0.0,1.0
1999-09-24,4.25,4.25,3.938,4.125,2.5975,293800,0.0,1.0
1999-09-27,4.25,4.563,4.2502,4.563,2.873,109000,0.0,1.0
1999-09-28,4.688,5.063,4.5,5.0,3.1485,284800,0.0,1.0
1999-09-29,4.938,5.0004,4.563,4.625,2.9124,148600,0.0,1.0
1999-09-30,4.688,5.0,4.5,4.938,3.1092,148300,0.0,1.0
1999-10-01,4.875,5.0,4.625,4.625,2.9124,158100,0.0,1.0
1999-10-04,4.625,4.688,4.625,4.625,2.9124,50800,0.0,1.0
1999-10-05,4.563,4.563,4.188,4.188,2.6369,151500,0.0,1.0
1999-10-06,4.3129,4.375,4.188,4.25,2.6762,127200,0.0,1.0
1999-10-07,4.25,4.25,4.0,4.0,2.5188,183600,0.0,1.0
1999-10-08,4.0,4.063,3.813,3.875,2.4401,269800,0.0,1.0
1999-10-11,3.938,4.25,3.875,4.0,2.5188,224500,0.0,1.0
1999-10-12,4.063,4.313,3.813,3.875,2.4401,324600,0.0,1.0
1999-10-13,4.0,4.125,3.938,3.938,2.4795,182400,0.0,1.0
1999-10-14,4.063,4.125,3.938,4.0,2.5188,64000,0.0,1.0
1999-10-15,3.8751,4.0,3.625,3.938,2.4795,200800,0.0,1.0
1999-10-18,3.813,3.813,3.6252,3.813,2.4007,187300,0.0,1.0
1999-10-19,3.875,4.0,3.75,4.0,2.5188,72000,0.0,1.0
1999-10-20,3.938,4.125,3.8132,4.125,2.5975,49200,0.0,1.0
1999-10-21,4.063,4.5,3.9999,4.5,2.8337,204100,0.0,1.0
1999-10-22,4.5,4.563,4.438,4.563,2.873,97000,0.0,1.0
