timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-23,16.5,16.5,16.5,16.5,15.5076,0,0.0,1.0
1999-09-30,1.8,1.8,1.8,1.8,1.6917,0,0.0,1.0
1999-11-10,1.0,1.0,1.0,1.0,0.9399,0,0.0,1.0
1999-11-26,11.06,11.06,11.06,11.06,10.3948,0,0.0,1.0
1999-12-22,0.04,0.04,0.04,0.04,0.0376,0,0.0,1.0
1999-12-23,0.55,0.55,0.55,0.55,0.5169,0,0.0,1.0
2000-01-10,25.0,25.0,25.0,25.0,23.4964,0,0.0,1.0
2000-03-08,1.0,1.0,1.0,1.0,0.9399,0,0.0,1.0
2000-05-15,0.9,0.9,0.9,0.9,0.8459,0,0.0,1.0
2000-06-07,2.5,2.5,2.5,2.5,2.3496,0,0.0,1.0
2000-06-16,22.0,22.0,22.0,22.0,20.6769,0,0.0,1.0
2000-08-28,10.0,10.0,10.0,10.0,9.3986,0,0.0,1.0
2000-09-19,5.16,5.16,5.16,5.16,4.8497,0,0.0,1.0
2000-10-19,6.0,6.0,6.0,6.0,5.6391,0,0.0,1.0
2001-06-22,2.645,2.645,2.645,2.645,2.4859,0,0.0,1.0
2001-07-18,2.87,2.87,2.87,2.87,2.6974,0,0.0,1.0
2001-07-19,1.5,1.5,1.5,1.5,1.4098,0,0.0,1.0
2001-08-27,2.14,2.14,2.14,2.14,2.0113,0,0.0,1.0
2001-09-06,3.35,3.35,3.35,3.35,3.1485,0,0.0,1.0
2001-09-10,5.1,5.1,5.1,5.1,4.7933,0,0.0,1.0
2001-10-01,0.12,0.12,0.12,0.12,0.1128,0,0.0,1.0
2001-10-04,1.985,1.985,1.985,1.985,1.8656,0,0.0,1.0
2002-02-15,2.8175,2.8175,2.8175,2.8175,2.648,0,0.0,1.0
2002-04-22,1.06,1.06,1.06,1.06,0.9962,0,0.0,1.0
2002-06-27,1.91,1.91,1.91,1.91,1.7951,0,0.0,1.0
2002-12-03,1.115,1.115,1.115,1.115,1.0479,0,0.0,1.0
2002-12-17,414.0,414.0,414.0,414.0,389.1009,0,0.0,1.0
2002-12-19,100.0,100.0,100.0,100.0,93.9857,0,0.0,1.0
2002-12-20,835.0,835.0,835.0,835.0,784.7808,0,0.0,1.0
2003-05-30,12.3,12.3,12.3,12.3,11.5602,0,0.0,1.0
2003-06-05,0.86,0.86,0.86,0.86,0.8083,0,0.0,1.0
2003-06-30,0.09,0.09,0.09,0.09,0.0846,0,0.0,1.0
2003-09-10,11.0,11.0,11.0,11.0,10.3384,0,0.0,1.0
2004-01-06,1.06,1.06,1.06,1.06,0.9962,0,0.0,1.0
2004-01-12,2.2,2.2,2.2,2.2,2.0677,0,0.0,1.0
2004-03-02,158118.0,158118.0,158118.0,158118.0,148608.3438,0,0.0,1.0
2004-03-08,228.0,228.0,228.0,228.0,214.2874,0,0.0,1.0
2004-04-05,8.0,8.0,8.0,8.0,7.5189,0,0.0,1.0
