timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-04-07,21.7486,24.89,21.6,24.21,4.6387,8208500,0.0,1.0
2011-04-08,24.03,25.98,23.75,25.98,4.9779,1444800,0.0,1.0
2011-04-11,25.9,25.9,24.56,25.63,4.9108,848300,0.0,1.0
2011-04-12,24.88,25.4,24.61,24.95,4.7805,702700,0.0,1.0
2011-04-13,25.09,25.46,24.75,24.77,4.746,391100,0.0,1.0
2011-04-14,24.8,24.98,24.15,24.45,4.6847,593200,0.0,1.0
2011-04-15,24.87,25.0,24.4,24.96,4.7824,335700,0.0,1.0
2011-04-18,24.7,24.94,24.5,24.6,4.7135,247200,0.0,1.0
2011-04-19,24.7,25.25,24.58,24.9,4.7709,295800,0.0,1.0
2011-04-20,25.58,25.58,24.66,25.06,4.8016,343300,0.0,1.0
2011-04-21,25.02,25.99,24.94,25.9,4.9625,210400,0.0,1.0
2011-04-25,26.25,26.4,25.65,25.99,4.9798,342100,0.0,1.0
2011-04-26,26.28,26.28,25.4,25.4,4.8667,310800,0.0,1.0
2011-04-27,25.48,25.96,25.17,25.73,4.93,177300,0.0,1.0
2011-04-28,25.56,26.25,25.5,25.9,4.9625,149200,0.0,1.0
2011-04-29,25.95,26.35,25.88,25.99,4.9798,210000,0.0,1.0
2011-05-02,26.0,26.13,25.68,25.74,4.9319,158000,0.0,1.0
2011-05-03,25.6,25.83,25.2494,25.26,4.8399,209000,0.0,1.0
2011-05-04,25.25,25.49,24.5,25.03,4.7959,442700,0.0,1.0
2011-05-05,25.0,25.003,24.25,24.25,4.6464,375600,0.0,1.0
2011-05-06,24.99,25.68,24.8,25.1,4.8093,525000,0.0,1.0
2011-05-09,25.3012,25.94,25.2,25.7,4.9242,383800,0.0,1.0
2011-05-10,25.89,25.89,24.97,24.97,4.7844,361000,0.0,1.0
2011-05-11,25.15,25.5,24.72,24.76,4.7441,364400,0.0,1.0
2011-05-12,25.02,25.1,24.6,24.92,4.7748,154000,0.0,1.0
2011-05-13,25.05,25.94,24.9,25.63,4.9108,560300,0.0,1.0
2011-05-16,26.33,26.69,25.89,26.34,5.0469,641600,0.0,1.0
2011-05-17,26.35,26.4,25.31,25.31,4.8495,655500,0.0,1.0
2011-05-18,25.79,26.1,25.5,25.98,4.9779,423800,0.0,1.0
2011-05-19,26.38,26.5,25.83,26.06,4.9932,264300,0.0,1.0
2011-05-20,26.1478,26.5,26.1,26.4,5.0583,243400,0.0,1.0
2011-05-23,26.19,26.2,25.71,25.84,4.951,224000,0.0,1.0
2011-05-24,26.08,26.29,25.92,26.2,5.02,217700,0.0,1.0
2011-05-25,26.15,26.3,25.98,26.21,5.0219,208400,0.0,1.0
2011-05-26,26.27,26.5,26.23,26.45,5.0679,184500,0.0,1.0
2011-05-27,26.5,27.0,26.4,26.9,5.1541,204900,0.0,1.0
2011-05-31,27.13,27.25,26.643,26.95,5.1637,239000,0.0,1.0
2011-06-01,26.95,27.03,26.4096,26.45,5.0679,175800,0.0,1.0
2011-06-02,26.6,26.665,26.32,26.45,5.0679,89800,0.0,1.0
2011-06-03,26.25,26.8759,26.05,26.61,5.0986,142900,0.0,1.0
2011-06-06,26.41,26.7,25.7689,25.85,4.953,205700,0.0,1.0
2011-06-07,25.63,25.7,25.15,25.57,4.8993,288700,0.0,1.0
2011-06-08,25.41,25.951,25.1,25.48,4.8821,303800,0.0,1.0
2011-06-09,25.52,25.83,25.36,25.54,4.8936,115500,0.0,1.0
2011-06-10,25.45,25.75,25.36,25.59,4.9031,101300,0.0,1.0
2011-06-13,25.59,25.695,25.21,25.3,4.8476,239100,0.0,1.0
2011-06-14,25.41,25.6,25.25,25.45,4.8763,243200,0.0,1.0
2011-06-15,25.21,25.65,25.21,25.38,4.8629,127800,0.0,1.0
2011-06-16,25.31,25.49,25.16,25.36,4.8591,99000,0.0,1.0
2011-06-17,25.52,25.559,25.0087,25.12,4.8131,141100,0.0,1.0
2011-06-20,25.11,25.55,25.05,25.36,4.8591,81600,0.0,1.0
2011-06-21,25.47,25.75,25.29,25.71,4.9261,190000,0.0,1.0
2011-06-22,25.7,26.0,25.51,25.55,4.8955,193000,0.0,1.0
2011-06-23,25.43,25.75,25.13,25.43,4.8725,128100,0.0,1.0
2011-06-24,25.54,25.74,25.06,25.06,4.8016,95300,0.0,1.0
2011-06-27,25.13,26.16,25.13,26.16,5.0124,284200,0.0,1.0
2011-06-28,26.54,26.78,25.98,25.98,4.9779,207000,0.0,1.0
2011-06-29,26.5,26.679,25.95,26.5,5.0775,118000,0.0,1.0
2011-06-30,26.5,26.55,26.07,26.45,5.0679,104900,0.0,1.0
2011-07-01,26.5,26.8,26.29,26.4,5.0583,117800,0.0,1.0
2011-07-05,26.95,26.9475,26.4,26.41,5.0603,162300,0.0,1.0
2011-07-06,26.549,26.55,26.28,26.49,5.0756,129700,0.0,1.0
2011-07-07,26.72,27.199,26.471,26.5,5.0775,181200,0.0,1.0
2011-07-08,26.41,26.553,26.32,26.45,5.0679,97100,0.0,1.0
