timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-04-26,51.01,51.99,50.94,51.93,47.6901,102600,0.0,1.0
2018-04-27,51.9,52.32,51.9,52.2,47.9381,193500,0.0,1.0
2018-04-30,52.25,52.25,52.0,52.0,47.7544,700,0.0,1.0
2018-05-01,52.3,52.49,51.97,52.166,47.9068,226100,0.0,1.0
2018-05-02,52.15,52.292,52.13,52.24,47.9748,192700,0.0,1.0
2018-05-03,51.75,52.45,51.75,52.28,48.0115,53100,0.0,1.0
2018-05-04,52.5,52.94,52.46,52.94,48.6177,2600,0.0,1.0
2018-05-07,52.29,52.473,52.29,52.473,48.1888,30400,0.0,1.0
2018-05-08,52.75,53.05,52.7,53.05,48.7187,282600,0.0,1.0
2018-05-09,53.28,53.64,53.21,53.33,48.9758,36000,0.0,1.0
2018-05-10,53.908,53.908,53.8,53.8,49.4074,5400,0.0,1.0
2018-05-11,54.18,54.47,53.96,54.15,49.7289,250100,0.0,1.0
2018-05-14,54.12,54.12,54.11,54.11,49.6921,189900,0.0,1.0
2018-05-15,54.11,54.11,54.11,54.11,49.6921,50000,0.0,1.0
2018-05-16,54.11,54.11,54.11,54.11,49.6921,225200,0.0,1.0
2018-05-17,53.7,53.7,53.39,53.42,49.0585,1700,0.0,1.0
2018-05-18,53.39,53.485,53.39,53.485,49.1182,50400,0.0,1.0
2018-05-21,53.44,53.491,53.44,53.491,49.1237,40600,0.0,1.0
2018-05-22,53.85,53.85,53.85,53.85,49.4534,700,0.0,1.0
2018-05-23,54.52,54.52,54.52,54.52,50.0687,37100,0.0,1.0
2018-05-24,53.93,54.28,53.93,54.28,49.8482,300,0.0,1.0
2018-05-25,54.41,54.43,54.4,54.43,49.986,700,0.0,1.0
2018-05-29,54.43,54.43,54.43,54.43,49.986,0,0.0,1.0
2018-05-30,54.43,54.43,54.43,54.43,49.986,0,0.0,1.0
2018-05-31,54.95,55.2,54.95,55.2,50.6931,43000,0.0,1.0
2018-06-01,54.8203,54.82,54.33,54.48,50.0319,1700,0.0,1.0
2018-06-04,54.5,54.51,54.09,54.09,49.6738,900,0.0,1.0
2018-06-05,53.72,53.72,52.98,53.02,48.6911,400,0.0,1.0
2018-06-06,51.97,51.97,51.87,51.87,47.635,50500,0.0,1.0
2018-06-07,51.62,52.25,51.61,51.61,47.3962,28200,0.0,1.0
2018-06-08,51.54,51.77,51.33,51.39,47.1942,600,0.0,1.0
2018-06-11,51.24,51.2482,51.23,51.25,47.0656,300,0.0,1.0
2018-06-12,51.25,51.63,51.16,51.63,47.4146,2500,0.0,1.0
2018-06-13,51.7,51.74,51.16,51.3,47.1116,72000,0.0,1.0
2018-06-14,51.55,51.86,51.55,51.86,47.6258,200700,0.0,1.0
2018-06-15,52.19,52.51,52.114,52.41,48.1309,5700,0.0,1.0
2018-06-18,53.059,53.35,52.95,53.35,48.9942,8700,0.0,1.0
2018-06-19,53.1,54.2,53.1,54.2,49.7748,151400,0.0,1.0
2018-06-20,54.626,54.626,54.626,54.626,50.166,143800,0.0,1.0
2018-06-21,55.31,55.31,55.3101,55.31,50.7942,75100,0.0,1.0
2018-06-22,55.3,55.3,55.3,55.3,50.785,25400,0.0,1.0
2018-06-25,55.65,56.12,55.6539,56.12,51.538,324600,0.0,1.0
2018-06-26,55.995,55.995,55.995,55.995,51.4232,2200,0.0,1.0
2018-06-27,55.5,55.79,55.5,55.79,51.235,600,0.0,1.0
2018-06-28,55.79,55.79,55.03,55.03,51.2965,2200,0.826,1.0
2018-06-29,54.83,54.83,54.81,54.81,51.0914,20300,0.0,1.0
2018-07-02,55.09,55.36,55.09,55.36,51.6041,2600,0.0,1.0
2018-07-03,55.3,55.72,55.3,55.72,51.9397,1100,0.0,1.0
2018-07-05,56.56,56.6,56.56,56.6,52.76,300,0.0,1.0
2018-07-06,56.55,56.97,56.55,56.97,53.1049,5700,0.0,1.0
2018-07-09,56.97,56.97,56.97,56.97,53.1049,0,0.0,1.0
2018-07-10,55.32,55.881,54.75,55.87,52.0795,29200,0.0,1.0
2018-07-11,55.731,56.02,55.65,55.65,51.8744,4800,0.0,1.0
2018-07-12,55.225,55.29,55.08,55.08,51.3431,53400,0.0,1.0
2018-07-13,54.91,54.939,54.6083,54.61,50.905,2900,0.0,1.0
2018-07-16,54.77,54.77,54.34,54.34,50.6533,111400,0.0,1.0
2018-07-17,54.82,55.07,54.69,54.75,51.0355,1600,0.0,1.0
2018-07-18,54.62,54.62,53.95,54.24,50.5601,1400,0.0,1.0
2018-07-19,54.31,54.95,54.3,54.9,51.1753,3300,0.0,1.0
2018-07-20,54.52,54.95,54.52,54.66,50.9516,241400,0.0,1.0
2018-07-23,54.8,54.8,54.25,54.58,50.877,32500,0.0,1.0
2018-07-24,54.9291,54.93,54.19,54.5,50.8024,102300,0.0,1.0
2018-07-25,54.46,54.46,54.46,54.46,50.7652,300,0.0,1.0
2018-07-26,54.6,54.82,54.53,54.76,51.0448,71600,0.0,1.0
2018-07-27,54.53,54.53,54.53,54.53,50.8304,400,0.0,1.0
2018-07-30,54.33,54.62,54.33,54.62,50.9143,3100,0.0,1.0
2018-07-31,54.33,55.02,51.79,54.83,51.1101,59000,0.0,1.0
2018-08-01,54.53,54.91,54.53,54.61,50.905,2200,0.0,1.0
2018-08-02,55.1,55.1,55.1,55.1,51.3617,2900,0.0,1.0
2018-08-03,55.02,55.02,55.02,55.02,51.2872,8600,0.0,1.0
2018-08-06,54.91,54.99,54.91,54.92,51.1939,46500,0.0,1.0
2018-08-07,54.78,54.78,54.69,54.69,50.9796,1200,0.0,1.0
2018-08-08,54.44,54.44,54.44,54.44,50.7465,50200,0.0,1.0
2018-08-09,54.06,54.06,54.0605,54.06,50.3923,59300,0.0,1.0
2018-08-10,53.8,53.8,53.8,53.8,50.1499,300,0.0,1.0
2018-08-13,53.49,53.49,53.49,53.49,49.861,3200,0.0,1.0
2018-08-14,53.966,53.966,53.75,53.8,50.1499,2100,0.0,1.0
2018-08-15,53.88,54.39,53.7,53.7,50.0567,700,0.0,1.0
2018-08-16,53.5201,53.52,53.52,53.52,49.8889,1500,0.0,1.0
2018-08-17,54.07,54.07,53.97,53.97,50.3084,600,0.0,1.0
2018-08-20,53.97,53.97,53.97,53.97,50.3084,0,0.0,1.0
2018-08-21,54.07,54.07,54.07,54.07,50.4016,100,0.0,1.0
2018-08-22,54.05,54.1,54.05,54.1,50.4296,16800,0.0,1.0
2018-08-23,54.39,54.41,54.15,54.15,50.4762,1300,0.0,1.0
2018-08-24,54.2,54.2,54.2024,54.2,50.5228,500,0.0,1.0
2018-08-27,54.2,54.2,54.2,54.2,50.5228,0,0.0,1.0
2018-08-28,53.407,53.407,53.407,53.407,49.7845,500,0.0,1.0
2018-08-29,53.6255,53.63,53.63,53.63,49.9915,400,0.0,1.0
2018-08-30,54.1,54.293,54.1,54.1,50.4296,3900,0.0,1.0
2018-08-31,54.1,54.1,54.1,54.1,50.4296,0,0.0,1.0
2018-09-04,54.1,54.1,54.1,54.1,50.4296,0,0.0,1.0
2018-09-05,54.1,54.1,54.1,54.1,50.4296,0,0.0,1.0
2018-09-06,54.1,54.1,54.1,54.1,50.4296,0,0.0,1.0
2018-09-07,54.1,54.1,54.1,54.1,50.4296,0,0.0,1.0
2018-09-10,54.1,54.1,54.1,54.1,50.4296,40000,0.0,1.0
2018-09-11,54.97,54.97,54.97,54.97,51.2406,148700,0.0,1.0
2018-09-12,55.8774,56.34,55.8,56.34,52.5176,282800,0.0,1.0
2018-09-13,56.47,56.47,56.47,56.47,52.6388,129700,0.0,1.0
2018-09-14,56.47,56.47,56.47,56.47,52.6388,125000,0.0,1.0
2018-09-17,56.47,56.47,56.47,56.47,52.6388,50000,0.0,1.0
2018-09-18,57.27,57.34,57.27,57.34,53.4498,400,0.0,1.0
2018-09-19,56.59,56.59,56.55,56.57,52.732,1400,0.0,1.0
2018-09-20,56.57,56.57,56.57,56.57,52.732,0,0.0,1.0
2018-09-21,57.79,57.79,57.43,57.55,53.6455,3700,0.0,1.0
2018-09-24,57.723,57.723,57.723,57.723,53.8068,50100,0.0,1.0
2018-09-25,57.0,57.0,56.94,56.94,53.0769,111100,0.0,1.0
2018-09-26,56.2,56.2,56.2,56.2,52.3871,40600,0.0,1.0
2018-09-27,55.799,56.01,55.799,55.81,52.0236,141800,0.0,1.0
2018-09-28,55.63,56.0,55.535,56.0,53.0621,8000,0.906,1.0
2018-10-01,56.0,56.0,56.0,56.0,53.0621,0,0.0,1.0
2018-10-02,55.49,55.765,54.91,55.765,52.8394,1700,0.0,1.0
2018-10-03,55.75,55.75,55.61,55.676,52.7551,500,0.0,1.0
2018-10-04,55.69,55.92,55.6228,55.8,52.8726,12200,0.0,1.0
2018-10-05,56.19,56.33,55.99,56.33,53.3748,48300,0.0,1.0
2018-10-08,56.33,56.33,56.33,56.33,53.3748,30100,0.0,1.0
2018-10-09,56.79,56.8,55.53,56.8,53.8201,34900,0.0,1.0
2018-10-10,57.37,57.49,56.76,56.79,53.8106,2000,0.0,1.0
2018-10-11,56.48,56.48,53.409,55.96,53.0242,1300,0.0,1.0
2018-10-12,55.24,55.51,54.89,55.51,52.5978,131400,0.0,1.0
2018-10-15,55.0,55.0,54.86,54.86,51.9819,300,0.0,1.0
2018-10-16,55.35,55.35,55.35,55.35,52.4462,30800,0.0,1.0
2018-10-17,55.86,55.86,55.688,55.75,52.8252,4400,0.0,1.0
2018-10-18,55.75,55.75,55.75,55.75,52.8252,160000,0.0,1.0
2018-10-19,55.75,55.75,55.75,55.75,52.8252,0,0.0,1.0
2018-10-22,55.401,55.405,52.44,52.44,49.6888,37300,0.0,1.0
2018-10-23,52.66,52.66,50.88,50.88,48.2107,166700,0.0,1.0
2018-10-24,51.55,51.679,51.53,51.53,48.8266,36600,0.0,1.0
2018-10-25,51.53,51.53,51.53,51.53,48.8266,7300,0.0,1.0
