timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,21.0,21.0,20.75,20.813,10.7441,26900,0.0,1.0
1999-09-14,20.875,20.938,20.75,20.75,10.7119,33200,0.0,1.0
1999-09-15,20.75,20.813,20.6226,20.688,10.6796,15000,0.0,1.0
1999-09-16,20.625,20.75,20.625,20.625,10.6473,32900,0.0,1.0
1999-09-17,20.625,20.75,20.375,20.438,10.5506,135100,0.0,1.0
1999-09-20,20.438,20.5,20.25,20.5,10.5828,33900,0.0,1.0
1999-09-21,20.25,20.25,20.0,20.125,10.3892,101700,0.0,1.0
1999-09-22,19.938,20.188,19.938,20.188,10.4215,8600,0.0,1.0
1999-09-23,20.125,20.375,20.125,20.313,10.486,50700,0.0,1.0
1999-09-24,20.25,20.313,20.188,20.25,10.4538,39600,0.0,1.0
1999-09-27,20.25,20.25,19.9994,20.125,10.3892,129000,0.0,1.0
1999-09-28,19.875,19.875,19.5,19.5,10.2448,517500,0.35,1.0
1999-09-29,19.5,19.75,19.5,19.688,10.3433,241600,0.0,1.0
1999-09-30,19.688,20.5,19.5,20.5,10.7701,69700,0.0,1.0
1999-10-01,20.375,20.375,19.8133,19.813,10.4089,18500,0.0,1.0
1999-10-04,19.875,20.313,19.813,19.875,10.4418,87000,0.0,1.0
1999-10-05,20.0,20.125,20.0,20.0,10.5074,72000,0.0,1.0
1999-10-06,19.938,19.938,19.688,19.75,10.3761,10000,0.0,1.0
1999-10-07,19.625,19.688,19.5,19.625,10.3104,26800,0.0,1.0
1999-10-08,19.75,19.75,19.25,19.25,10.1134,8600,0.0,1.0
1999-10-11,19.375,19.813,19.375,19.75,10.3761,6800,0.0,1.0
1999-10-12,19.75,19.813,19.5,19.688,10.3433,24800,0.0,1.0
1999-10-13,19.563,19.688,19.5,19.5,10.2448,22200,0.0,1.0
1999-10-14,19.5,19.5,19.375,19.375,10.1791,21400,0.0,1.0
1999-10-15,19.375,19.375,19.125,19.25,10.1134,56600,0.0,1.0
1999-10-18,19.25,19.25,18.75,18.813,9.8836,74900,0.0,1.0
1999-10-19,18.625,19.0,18.563,18.938,9.9492,104000,0.0,1.0
1999-10-20,19.0,19.0,18.75,18.938,9.9492,10600,0.0,1.0
1999-10-21,18.814,18.813,18.25,18.375,9.6537,33300,0.0,1.0
1999-10-22,18.313,18.5,18.313,18.375,9.6537,53400,0.0,1.0
1999-10-25,18.375,18.375,18.0,18.0,9.4567,25800,0.0,1.0
1999-10-26,18.0,18.25,17.813,17.875,9.391,38000,0.0,1.0
1999-10-27,17.875,17.938,17.6254,17.938,9.4239,105200,0.0,1.0
1999-10-28,17.938,18.125,17.938,18.0,9.4567,54700,0.0,1.0
1999-10-29,17.875,18.188,17.875,18.188,9.5552,145900,0.0,1.0
1999-11-01,18.313,19.063,18.313,18.813,9.8836,19800,0.0,1.0
1999-11-02,19.5,19.875,19.375,19.5,10.2448,191200,0.0,1.0
1999-11-03,19.625,20.938,19.563,20.438,10.7373,387600,0.0,1.0
1999-11-04,20.313,20.563,20.0,20.063,10.5403,74600,0.0,1.0
1999-11-05,19.938,20.188,19.938,20.125,10.5731,177900,0.0,1.0
1999-11-08,20.125,20.625,20.125,20.313,10.6716,106800,0.0,1.0
1999-11-09,20.313,20.313,20.063,20.188,10.6059,173700,0.0,1.0
1999-11-10,20.063,20.5621,20.063,20.375,10.7045,113200,0.0,1.0
