timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-09-28,21.0,21.48,20.57,21.11,10.9531,8597800,0.0,1.0
2012-10-01,21.46,21.5,21.06,21.3,11.0517,1204100,0.0,1.0
2012-10-02,21.2993,21.3,21.01,21.12,10.9583,534400,0.0,1.0
2012-10-03,21.06,21.206,20.8,20.96,10.8753,362400,0.0,1.0
2012-10-04,20.93,21.05,20.86,20.89,10.839,268700,0.0,1.0
2012-10-05,21.0,21.08,20.86,20.9,10.8442,182700,0.0,1.0
2012-10-08,20.81,20.89,20.61,20.69,10.7352,122700,0.0,1.0
2012-10-09,20.69,20.75,20.552,20.67,10.7248,187400,0.0,1.0
2012-10-10,20.7,20.79,20.7,20.71,10.7456,74400,0.0,1.0
2012-10-11,20.73,21.04,20.67,20.92,10.8546,246600,0.0,1.0
2012-10-12,20.9,21.01,20.86,20.96,10.8753,361400,0.0,1.0
2012-10-15,21.05,21.05,20.85,20.99,10.8909,80200,0.0,1.0
2012-10-16,20.83,20.92,20.8,20.82,10.8027,74900,0.0,1.0
2012-10-17,20.82,21.0105,20.82,20.86,10.8234,79100,0.0,1.0
2012-10-18,20.92,20.92,20.71,20.82,10.8027,42000,0.0,1.0
2012-10-19,20.75,20.77,20.29,20.66,10.7197,122000,0.0,1.0
2012-10-22,20.39,20.55,20.39,20.53,10.6522,54200,0.0,1.0
2012-10-23,20.5,20.73,20.204,20.56,10.6678,171600,0.0,1.0
2012-10-24,20.6,21.0,20.55,20.575,10.6781,187100,0.0,1.0
2012-10-25,20.63,20.7,20.495,20.5,10.6366,51800,0.0,1.0
2012-10-26,20.5,20.58,20.34,20.45,10.6107,102100,0.0,1.0
2012-10-31,20.59,20.6016,20.09,20.2,10.481,237600,0.0,1.0
2012-11-01,20.09,20.48,19.71,20.38,10.5744,176600,0.0,1.0
2012-11-02,20.47,20.64,20.2,20.27,10.5173,46400,0.0,1.0
2012-11-05,20.18,20.39,20.03,20.35,10.5588,71100,0.0,1.0
2012-11-06,20.25,20.99,20.01,20.92,10.8546,78500,0.0,1.0
2012-11-07,20.79,20.79,20.13,20.6,10.6885,61700,0.0,1.0
2012-11-08,20.54,20.65,20.17,20.18,10.4706,204500,0.0,1.0
2012-11-09,20.08,21.0185,20.08,20.33,10.5484,69800,0.0,1.0
2012-11-12,20.4,20.59,20.17,20.21,10.4862,88100,0.0,1.0
