timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-11-25,14.15,14.3,13.95,14.2,13.4383,3325800,0.0,1.0
2003-11-26,14.3,14.6,14.2,14.25,13.4856,854400,0.0,1.0
2003-11-28,14.25,14.3,14.02,14.25,13.4856,172200,0.0,1.0
2003-12-01,14.15,14.19,13.65,14.0,13.249,897800,0.0,1.0
2003-12-02,13.95,14.1,13.65,13.82,13.0786,193600,0.0,1.0
2003-12-03,13.85,14.2,13.7,14.17,13.4099,235500,0.0,1.0
2003-12-04,14.25,14.53,14.16,14.37,13.5991,327000,0.0,1.0
2003-12-05,14.35,14.59,14.26,14.48,13.7032,166200,0.0,1.0
2003-12-08,14.4,14.58,14.35,14.4,13.6275,151900,0.0,1.0
2003-12-09,14.46,14.5,14.3,14.3,13.5329,107700,0.0,1.0
2003-12-10,14.2497,14.25,13.7,13.91,13.1638,230900,0.0,1.0
2003-12-11,13.95,14.3507,13.95,14.15,13.3909,236900,0.0,1.0
2003-12-12,14.202,14.3,14.15,14.2,13.4383,37500,0.0,1.0
2003-12-15,14.2,14.45,14.18,14.25,13.4856,72400,0.0,1.0
2003-12-16,14.3,14.3,14.01,14.29,13.5234,46200,0.0,1.0
2003-12-17,14.2499,14.32,14.2,14.25,13.4856,36600,0.0,1.0
2003-12-18,14.2,14.4,14.15,14.35,13.5802,16000,0.0,1.0
2003-12-19,14.3,14.3,14.15,14.2,13.4383,20200,0.0,1.0
2003-12-22,14.2,14.2,14.1,14.11,13.3531,10300,0.0,1.0
2003-12-23,14.11,14.13,14.05,14.1,13.3436,6500,0.0,1.0
2003-12-24,14.13,14.25,14.0,14.1,13.3436,56200,0.0,1.0
2003-12-26,14.05,14.05,13.8,13.95,13.2017,40400,0.0,1.0
2003-12-29,14.0,14.0,13.65,13.88,13.1354,156900,0.0,1.0
2003-12-30,13.85,13.87,13.78,13.84,13.0976,28300,0.0,1.0
2003-12-31,13.84,13.85,13.76,13.76,13.0219,82800,0.0,1.0
2004-01-02,13.75,13.8,13.73,13.75,13.0124,127200,0.0,1.0
2004-01-05,13.8,14.0,13.8,13.8,13.0597,144300,0.0,1.0
2004-01-06,13.8,13.99,13.7,13.99,13.2395,213300,0.0,1.0
2004-01-07,14.75,15.3,14.6,15.3,14.4792,285100,0.0,1.0
2004-01-08,15.32,17.0,15.32,16.65,15.7568,223600,0.0,1.0
2004-01-09,19.0,19.2,17.6,19.0,17.9808,931200,0.0,1.0
2004-01-12,19.0,19.85,18.9,19.4,18.3593,385900,0.0,1.0
2004-01-13,19.41,19.48,18.52,19.11,18.0849,110700,0.0,1.0
2004-01-14,19.0,19.08,18.7,18.7,17.6969,46900,0.0,1.0
2004-01-15,18.6,19.1,18.52,18.85,17.8388,88400,0.0,1.0
2004-01-16,18.85,19.05,18.6,18.7,17.6969,55600,0.0,1.0
2004-01-20,18.9,18.9,18.75,18.84,17.8293,142700,0.0,1.0
2004-01-21,18.901,18.98,18.7,18.9,17.8861,72000,0.0,1.0
2004-01-22,18.9,18.9212,18.75,18.8,17.7915,125000,0.0,1.0
2004-01-23,18.81,18.93,18.81,18.89,17.8767,14600,0.0,1.0
2004-01-26,18.89,18.89,18.12,18.48,17.4887,21800,0.0,1.0
2004-01-27,18.49,18.49,17.9,17.9,16.9398,141000,0.0,1.0
2004-01-28,17.8,18.0,17.8,17.95,16.9871,6700,0.0,1.0
2004-01-29,17.7,17.85,17.02,17.75,16.7978,36900,0.0,1.0
2004-01-30,17.75,17.8504,17.65,17.83,16.8735,18500,0.0,1.0
2004-02-02,17.8,17.85,17.68,17.73,16.7789,15100,0.0,1.0
