timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,56.75,57.25,56.75,57.0,6.7611,262400,0.0,1.0
1999-09-14,57.25,58.438,57.0,58.375,6.9242,664800,0.0,1.0
1999-09-15,58.625,59.0,57.875,57.938,6.8723,321600,0.0,1.0
1999-09-16,57.875,57.875,56.8728,57.0,6.7611,649600,0.0,1.0
1999-09-17,57.781,59.375,57.5,58.375,6.9242,824000,0.0,1.0
1999-09-20,58.344,59.0,56.75,57.125,6.7759,937600,0.0,1.0
1999-09-21,57.188,57.6267,56.938,57.313,6.7982,1484000,0.0,1.0
1999-09-22,57.5,57.875,56.3772,57.563,6.8278,571200,0.0,1.0
1999-09-23,57.875,59.1869,56.625,56.625,6.7166,736800,0.0,1.0
1999-09-24,57.0,57.875,56.875,57.25,6.7907,229600,0.0,1.0
1999-09-27,58.25,59.7452,56.313,56.875,6.7463,1106400,0.0,1.0
1999-09-28,57.0,58.25,56.625,57.25,6.7907,1337600,0.0,1.0
1999-09-29,57.375,59.4961,57.0,59.375,7.0428,1060800,0.0,1.0
1999-09-30,59.5,60.0,58.8779,59.75,7.0873,1115200,0.0,1.0
1999-10-01,59.75,59.75,58.563,59.25,7.028,419200,0.0,1.0
1999-10-04,59.5,60.75,59.438,60.313,7.154,389600,0.0,1.0
1999-10-05,60.063,61.188,59.313,59.375,7.0428,950400,0.0,1.0
1999-10-06,59.5,59.5,56.625,57.375,6.8056,2132800,0.0,1.0
1999-10-07,57.1842,57.375,56.25,56.438,6.6944,662400,0.0,1.0
1999-10-08,56.563,58.5,55.875,58.5,6.939,368800,0.0,1.0
1999-10-11,58.5,60.25,58.125,60.0,7.1169,676000,0.0,1.0
1999-10-12,60.0,60.063,59.375,59.438,7.0502,437600,0.0,1.0
1999-10-13,59.625,59.625,58.0,58.063,6.8871,391200,0.0,1.0
1999-10-14,58.063,58.063,57.438,57.438,6.813,788000,0.0,1.0
1999-10-15,57.438,57.625,56.6256,56.688,6.724,731200,0.0,1.0
1999-10-18,56.688,56.688,56.219,56.5,6.7018,1236000,0.0,1.0
1999-10-19,56.625,57.2536,56.625,56.875,6.7463,352800,0.0,1.0
1999-10-20,57.0,57.563,57.0,57.563,6.8278,540000,0.0,1.0
1999-10-21,57.438,57.438,55.625,55.938,6.6351,436800,0.0,1.0
1999-10-22,55.813,58.563,55.375,58.188,6.9019,576800,0.0,1.0
1999-10-25,58.188,58.563,58.0,58.25,6.9094,572000,0.0,1.0
1999-10-26,58.875,59.813,58.875,59.25,7.028,729600,0.0,1.0
1999-10-27,59.25,60.438,59.25,60.063,7.1243,628000,0.0,1.0
1999-10-28,59.875,60.625,59.625,60.0,7.1169,362400,0.0,1.0
1999-10-29,59.875,60.875,59.875,60.5,7.1762,476800,0.0,1.0
1999-11-01,60.6229,60.625,58.313,58.625,6.9538,1424000,0.0,1.0
1999-11-02,58.625,58.813,58.188,58.75,6.9687,726400,0.0,1.0
1999-11-03,59.0,59.375,58.25,59.375,7.0428,514400,0.0,1.0
1999-11-04,59.375,59.938,59.125,59.25,7.028,741600,0.0,1.0
1999-11-05,59.375,60.0,59.375,59.875,7.1021,480000,0.0,1.0
1999-11-08,59.7521,59.75,59.563,59.625,7.0724,212000,0.0,1.0
1999-11-09,59.688,59.688,59.313,59.563,7.065,597600,0.0,1.0
1999-11-10,59.563,59.875,59.375,59.438,7.0502,312000,0.0,1.0
1999-11-11,59.25,59.375,59.0,59.063,7.0057,250400,0.0,1.0
1999-11-12,59.125,59.125,57.875,58.0,6.8797,473600,0.0,1.0
1999-11-15,58.0,58.625,57.625,57.875,6.8649,319200,0.0,1.0
1999-11-16,58.0,58.375,57.719,57.813,6.8575,315200,0.0,1.0
1999-11-17,58.0,58.5,57.938,58.5,6.939,484800,0.0,1.0
1999-11-18,58.375,58.813,58.125,58.375,6.9242,487200,0.0,1.0
1999-11-19,58.375,58.375,57.438,57.813,6.8575,317600,0.0,1.0
1999-11-22,57.75,57.875,57.5,57.5,6.8204,243200,0.0,1.0
1999-11-23,57.563,57.563,56.25,56.375,6.6869,182400,0.0,1.0
1999-11-24,56.25,56.25,55.125,55.563,6.5906,390400,0.0,1.0
1999-11-26,55.5,55.5,54.875,55.313,6.5609,153600,0.0,1.0
1999-11-29,55.375,55.375,54.1247,54.125,6.4201,169600,0.0,1.0
1999-11-30,54.125,54.188,53.0,53.25,6.3163,513600,0.0,1.0
1999-12-01,53.313,53.75,53.25,53.375,6.3311,511200,0.0,1.0
1999-12-02,53.438,53.688,53.438,53.5,6.3459,352800,0.0,1.0
1999-12-03,53.5,53.625,52.688,52.688,6.2496,811200,0.0,1.0
1999-12-06,52.688,53.0,51.688,51.875,6.1532,360000,0.0,1.0
1999-12-07,52.0,54.375,51.938,52.875,6.2718,598400,0.0,1.0
1999-12-08,52.75,53.25,51.063,51.375,6.0939,453600,0.0,1.0
1999-12-09,51.25,51.2479,49.75,49.938,5.9234,659200,0.0,1.0
1999-12-10,49.75,49.875,48.313,48.625,5.7677,1069600,0.0,1.0
1999-12-13,48.8755,49.5,48.063,48.375,5.738,792000,0.0,1.0
1999-12-14,48.313,48.625,48.0,48.125,5.7084,543200,0.0,1.0
1999-12-15,48.125,48.125,46.7523,46.875,5.5601,492000,0.0,1.0
1999-12-16,47.0,49.5,46.7533,49.438,5.8641,940000,0.0,1.0
1999-12-17,49.625,53.5,49.563,52.75,6.257,1445600,0.0,1.0
1999-12-20,53.375,53.625,52.625,52.75,6.257,572000,0.0,1.0
1999-12-21,52.875,53.75,52.75,53.0,6.2866,928000,0.0,1.0
1999-12-22,52.813,53.5,52.7496,53.313,6.3237,342400,0.0,1.0
1999-12-23,53.063,54.438,53.063,54.0,6.4052,551200,0.0,1.0
1999-12-27,54.25,54.25,53.375,53.375,6.3311,698400,0.0,1.0
1999-12-28,53.375,54.25,53.0,53.633,6.3626,640800,0.0,1.0
1999-12-29,53.875,53.875,52.438,52.625,6.2421,792000,0.0,1.0
1999-12-30,52.75,52.75,51.375,51.813,6.1458,884000,0.0,1.0
1999-12-31,52.0,52.188,51.0,51.0,6.0494,450400,0.0,1.0
2000-01-03,51.0,51.0,48.25,49.813,5.9085,868800,0.0,1.0
2000-01-04,52.0,52.0,47.313,47.938,5.6861,1240000,0.0,1.0
2000-01-05,48.1867,49.625,47.25,49.563,5.8789,2204800,0.0,1.0
2000-01-06,49.813,51.938,49.563,51.5,6.1087,1273600,0.0,1.0
2000-01-07,51.75,53.563,51.75,53.0,6.2866,677600,0.0,1.0
2000-01-10,52.75,53.625,48.875,51.0,6.0494,2579200,0.0,1.0
2000-01-11,51.0,51.0,49.25,50.438,5.9827,1098400,0.0,1.0
2000-01-12,50.188,51.125,50.063,50.875,6.0346,588000,0.0,1.0
2000-01-13,51.0,51.5,50.938,51.438,6.1013,599200,0.0,1.0
2000-01-14,51.5,52.25,51.5,51.875,6.1532,360800,0.0,1.0
2000-01-18,51.938,52.438,51.563,52.25,6.1977,508800,0.0,1.0
2000-01-19,52.313,53.563,52.313,53.438,6.3385,680800,0.0,1.0
2000-01-20,53.2487,54.125,52.75,53.688,6.3682,467200,0.0,1.0
2000-01-21,53.5,53.563,51.625,52.125,6.1828,215200,0.0,1.0
2000-01-24,52.375,52.875,50.563,50.688,6.0123,604800,0.0,1.0
2000-01-25,50.75,51.0,50.5,51.0,6.0494,697600,0.0,1.0
2000-01-26,51.25,52.938,51.25,52.0,6.168,432000,0.0,1.0
2000-01-27,52.063,52.063,50.625,51.5,6.1087,329600,0.0,1.0
2000-01-28,51.25,51.438,50.563,50.938,6.042,333600,0.0,1.0
2000-01-31,50.938,52.25,50.375,51.875,6.1532,443200,0.0,1.0
2000-02-01,51.938,53.0,51.625,52.75,6.257,812000,0.0,1.0
2000-02-02,52.75,53.5,52.75,52.938,6.2792,472000,0.0,1.0
2000-02-03,52.75,53.375,52.75,52.875,6.2718,338400,0.0,1.0
2000-02-04,52.938,52.938,50.75,51.0,6.0494,470400,0.0,1.0
2000-02-07,51.125,53.25,51.125,52.625,6.2421,386400,0.0,1.0
2000-02-08,52.625,52.938,51.5,51.5,6.1087,219200,0.0,1.0
2000-02-09,51.5661,53.0,51.375,52.625,6.2421,436800,0.0,1.0
2000-02-10,52.6919,54.688,52.5,53.5,6.3459,880800,0.0,1.0
2000-02-11,53.25,53.75,52.5,52.563,6.2347,764000,0.0,1.0
2000-02-14,52.625,54.0,52.563,53.438,6.3385,432800,0.0,1.0
2000-02-15,53.438,54.625,53.0,53.188,6.3089,770400,0.0,1.0
2000-02-16,52.938,53.125,51.1272,52.063,6.1754,862400,0.0,1.0
2000-02-17,52.2545,52.625,51.688,51.688,6.1309,856000,0.0,1.0
2000-02-18,51.625,51.688,49.8132,50.063,5.9382,395200,0.0,1.0
2000-02-22,50.0,52.375,49.125,52.188,6.1902,787200,0.0,1.0
2000-02-23,51.938,52.0,49.75,49.75,5.9011,688000,0.0,1.0
2000-02-24,49.625,50.25,48.313,49.625,5.8863,390400,0.0,1.0
2000-02-25,49.625,49.813,48.625,48.688,5.7751,384800,0.0,1.0
2000-02-28,48.938,49.125,47.75,49.125,5.827,508800,0.0,1.0
2000-02-29,51.375,51.625,48.438,49.0,5.8122,834400,0.0,1.0
2000-03-01,48.75,49.875,48.625,49.688,5.8937,313600,0.0,1.0
2000-03-02,49.75,49.75,48.188,48.25,5.7232,293600,0.0,1.0
2000-03-03,48.063,50.063,47.8772,49.813,5.9085,399200,0.0,1.0
2000-03-06,50.063,50.125,49.813,49.813,5.9085,300800,0.0,1.0
2000-03-07,49.563,49.563,46.75,46.75,5.5453,500000,0.0,1.0
2000-03-08,46.75,46.75,44.75,44.75,5.308,759200,0.0,1.0
2000-03-09,45.0,45.0,42.625,44.563,5.2858,771200,0.0,1.0
2000-03-10,44.375,44.375,42.438,42.938,5.0931,585600,0.0,1.0
2000-03-13,42.938,44.813,42.313,44.188,5.2413,895200,0.0,1.0
2000-03-14,44.063,44.5,42.563,42.563,5.0486,211200,0.0,1.0
2000-03-15,42.813,45.75,40.375,45.563,5.4044,1784800,0.0,1.0
2000-03-16,45.375,50.0,45.313,49.688,5.8937,1311200,0.0,1.0
2000-03-17,49.375,49.5,46.563,46.688,5.5379,654400,0.0,1.0
2000-03-20,46.938,47.0,45.5,45.688,5.4192,194400,0.0,1.0
2000-03-21,45.75,47.625,45.75,47.125,5.5898,751200,0.0,1.0
2000-03-22,47.125,47.75,47.063,47.75,5.6639,206400,0.0,1.0
2000-03-23,47.563,49.438,47.125,49.313,5.8492,581600,0.0,1.0
2000-03-24,49.563,49.563,48.125,48.375,5.738,894400,0.0,1.0
2000-03-27,49.0,49.188,46.625,48.25,5.7232,1320800,0.0,1.0
2000-03-28,48.125,49.125,48.0,48.75,5.7825,460000,0.0,1.0
2000-03-29,48.5,48.563,46.9399,47.938,5.6861,304000,0.0,1.0
2000-03-30,47.688,49.438,47.688,48.75,5.7825,782400,0.0,1.0
2000-03-31,48.9976,51.0,49.0,51.0,6.0494,446400,0.0,1.0
2000-04-03,50.813,52.25,50.75,51.5,6.1087,905600,0.0,1.0
2000-04-04,51.5,52.0,50.0,50.813,6.0271,879200,0.0,1.0
2000-04-05,50.813,52.0,50.563,52.0,6.168,556800,0.0,1.0
2000-04-06,52.125,52.5,50.563,51.5,6.1087,912000,0.0,1.0
2000-04-07,51.625,52.125,50.844,52.063,6.1754,603200,0.0,1.0
2000-04-10,52.063,52.5,49.625,50.125,5.9456,579200,0.0,1.0
2000-04-11,50.375,51.5,50.188,50.75,6.0197,493600,0.0,1.0
2000-04-12,51.0,54.938,51.0,54.063,6.4126,998400,0.0,1.0
2000-04-13,55.125,55.75,52.375,52.375,6.2125,693600,0.0,1.0
2000-04-14,52.125,52.125,48.1214,49.313,5.8492,647200,0.0,1.0
