timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,15.375,15.625,14.875,15.25,6.659,95200,0.0,1.0
1999-09-14,15.25,15.5,14.5,14.75,6.4406,91600,0.0,1.0
1999-09-15,14.875,15.0,13.625,14.125,6.1677,179400,0.0,1.0
1999-09-16,14.25,14.25,13.688,14.125,6.1677,14600,0.0,1.0
1999-09-17,14.375,15.375,14.3752,15.375,6.7135,104200,0.0,1.0
1999-09-20,16.125,16.125,15.625,16.0,6.9865,94200,0.0,1.0
1999-09-21,16.031,16.188,15.625,16.0,6.9865,97400,0.0,1.0
1999-09-22,16.0,16.25,15.75,15.75,6.8773,125600,0.0,1.0
1999-09-23,15.813,16.125,15.5,15.938,6.9592,104600,0.0,1.0
1999-09-24,15.5,16.0,15.25,15.375,6.7135,23800,0.0,1.0
1999-09-27,15.438,15.625,14.875,14.875,6.4952,50400,0.0,1.0
1999-09-28,14.75,15.0,14.5,14.625,6.3861,125800,0.0,1.0
1999-09-29,14.625,15.5,14.625,15.5,6.7681,104800,0.0,1.0
1999-09-30,15.5,15.4997,14.688,15.25,6.659,67800,0.0,1.0
1999-10-01,15.438,15.438,14.625,15.188,6.6317,44600,0.0,1.0
1999-10-04,15.438,15.625,14.625,14.875,6.4952,294400,0.0,1.0
1999-10-05,14.625,15.0,14.5,14.875,6.4952,166800,0.0,1.0
1999-10-06,14.938,15.875,14.875,15.813,6.9046,70600,0.0,1.0
1999-10-07,15.375,16.938,15.375,16.75,7.3139,398400,0.0,1.0
1999-10-08,16.75,17.625,16.0,17.5,7.6414,280000,0.0,1.0
1999-10-11,17.563,18.188,17.438,17.75,7.7506,196200,0.0,1.0
1999-10-12,17.5,18.125,17.5,18.125,7.9143,213200,0.0,1.0
1999-10-13,18.0,18.438,17.688,18.188,7.9416,349400,0.0,1.0
1999-10-14,17.688,18.625,17.0,18.125,7.9143,264200,0.0,1.0
1999-10-15,17.25,18.125,17.25,17.5,7.6414,417800,0.0,1.0
1999-10-18,16.875,17.125,16.188,16.188,7.0683,375800,0.0,1.0
1999-10-19,16.125,16.624,16.125,16.625,7.2594,206400,0.0,1.0
1999-10-20,16.5,17.938,16.5,17.625,7.696,78800,0.0,1.0
1999-10-21,18.0,18.3132,17.375,18.25,7.9689,242200,0.0,1.0
1999-10-22,18.3755,18.5,18.25,18.25,7.9689,131600,0.0,1.0
1999-10-25,18.25,19.0,18.125,18.875,8.2418,343400,0.0,1.0
1999-10-26,18.594,18.938,18.438,18.438,8.0508,281600,0.0,1.0
1999-10-27,18.5,18.563,18.0,18.25,7.9689,292600,0.0,1.0
1999-10-28,18.438,18.438,17.375,17.75,7.7506,371600,0.0,1.0
1999-10-29,17.875,17.875,17.125,17.5,7.6414,37000,0.0,1.0
1999-11-01,17.375,17.75,17.125,17.125,7.4777,34600,0.0,1.0
1999-11-02,17.219,17.5,17.125,17.125,7.4777,191800,0.0,1.0
1999-11-03,17.313,17.688,17.1233,17.438,7.6141,47000,0.0,1.0
1999-11-04,17.875,18.063,17.375,17.875,7.8052,279400,0.0,1.0
1999-11-05,18.25,18.625,18.0,18.281,7.9826,412800,0.0,1.0
1999-11-08,18.75,19.0,18.125,18.344,8.0099,420200,0.0,1.0
1999-11-09,18.344,18.438,17.125,17.75,7.7506,395800,0.0,1.0
1999-11-10,17.5,17.75,17.375,17.625,7.696,46400,0.0,1.0
1999-11-11,17.625,17.75,16.125,16.5,7.2048,182000,0.0,1.0
1999-11-12,16.499,16.75,14.0,14.5,6.3315,284200,0.0,1.0
1999-11-15,14.688,14.75,11.625,13.5,5.8948,684400,0.0,1.0
1999-11-16,14.5,15.3738,13.875,15.0,6.5498,475600,0.0,1.0
1999-11-17,15.375,15.375,14.75,15.0,6.5498,149200,0.0,1.0
1999-11-18,14.75,15.0,14.5,14.75,6.4406,87600,0.0,1.0
1999-11-19,14.688,14.688,13.75,13.75,6.004,181200,0.0,1.0
1999-11-22,13.688,13.75,13.188,13.25,5.7857,179000,0.0,1.0
1999-11-23,13.344,13.563,13.063,13.25,5.7857,108800,0.0,1.0
1999-11-24,13.156,13.188,13.0,13.188,5.7584,197200,0.0,1.0
1999-11-26,13.313,13.375,13.188,13.25,5.7857,85200,0.0,1.0
1999-11-29,14.0,14.625,13.813,14.375,6.2769,309600,0.0,1.0
1999-11-30,14.3747,14.375,14.0,14.125,6.1677,94600,0.0,1.0
1999-12-01,14.125,14.125,13.875,13.875,6.0586,167200,0.0,1.0
1999-12-02,14.0,14.125,13.75,13.938,6.0859,57200,0.0,1.0
1999-12-03,13.969,14.0,13.75,14.0,6.1131,80200,0.0,1.0
1999-12-06,14.063,14.063,13.188,13.5,5.8948,160000,0.0,1.0
1999-12-07,13.5008,13.5,13.0,13.5,5.8948,32400,0.0,1.0
1999-12-08,13.25,13.563,12.75,13.0,5.6765,127400,0.0,1.0
1999-12-09,12.906,13.125,12.688,12.75,5.5673,65000,0.0,1.0
1999-12-10,12.75,12.75,11.5,11.75,5.1307,318400,0.0,1.0
1999-12-13,11.75,12.125,11.125,11.125,4.8578,316000,0.0,1.0
1999-12-14,11.344,11.5,10.625,10.625,4.6394,267600,0.0,1.0
1999-12-15,10.688,11.625,10.688,11.125,4.8578,824600,0.0,1.0
1999-12-16,11.063,11.625,10.938,11.188,4.8851,581600,0.0,1.0
1999-12-17,11.125,11.188,10.5,11.063,4.8305,144800,0.0,1.0
1999-12-20,11.0,12.438,10.875,12.313,5.3763,358200,0.0,1.0
1999-12-21,13.563,14.8133,12.75,14.0,6.1131,345600,0.0,1.0
1999-12-22,14.25,14.25,13.313,13.5,5.8948,98000,0.0,1.0
1999-12-23,13.813,14.375,12.938,14.25,6.2223,349400,0.0,1.0
1999-12-27,14.125,14.375,13.875,14.25,6.2223,180200,0.0,1.0
1999-12-28,14.219,14.688,14.125,14.25,6.2223,50000,0.0,1.0
1999-12-29,14.344,14.438,13.5628,13.688,5.9767,29600,0.0,1.0
1999-12-30,14.0,14.875,13.313,14.5,6.3315,61600,0.0,1.0
1999-12-31,14.375,14.656,14.25,14.5,6.3315,29600,0.0,1.0
2000-01-03,14.406,14.75,13.75,14.5,6.3315,115400,0.0,1.0
2000-01-04,13.938,14.0,12.875,13.125,5.7311,85000,0.0,1.0
2000-01-05,12.719,12.75,12.0,12.125,5.2944,149000,0.0,1.0
2000-01-06,12.0,12.188,11.438,11.563,5.0488,173200,0.0,1.0
2000-01-07,12.375,14.75,12.375,13.188,5.7584,512600,0.0,1.0
2000-01-10,13.563,14.5,12.75,13.0,5.6765,186200,0.0,1.0
2000-01-11,13.125,13.7501,12.75,12.938,5.6492,171600,0.0,1.0
2000-01-12,13.063,13.063,12.5,12.5,5.4582,184800,0.0,1.0
2000-01-13,12.75,12.875,12.5,12.813,5.5946,40400,0.0,1.0
2000-01-14,12.5,13.25,12.5,13.125,5.7311,138400,0.0,1.0
2000-01-18,13.375,14.125,13.375,13.875,6.0586,205800,0.0,1.0
2000-01-19,14.1248,14.625,14.0,14.125,6.1677,300800,0.0,1.0
2000-01-20,14.5,14.5,13.5,13.563,5.9221,177200,0.0,1.0
2000-01-21,13.5,14.125,13.5,13.781,6.0176,118800,0.0,1.0
2000-01-24,14.125,15.25,14.0638,15.0,6.5498,503800,0.0,1.0
2000-01-25,15.625,15.875,14.375,14.375,6.2769,372200,0.0,1.0
2000-01-26,14.5,16.25,14.5,16.125,7.041,649000,0.0,1.0
2000-01-27,16.5,16.875,15.063,16.0,6.9865,145000,0.0,1.0
2000-01-28,15.375,16.125,15.375,15.781,6.8909,119000,0.0,1.0
2000-01-31,15.625,15.875,14.375,14.563,6.3588,113200,0.0,1.0
2000-02-01,14.688,15.5,14.5,15.25,6.659,46800,0.0,1.0
2000-02-02,15.625,15.625,15.0,15.25,6.659,59200,0.0,1.0
2000-02-03,15.188,16.0,14.875,15.125,6.6044,141800,0.0,1.0
2000-02-04,15.188,15.188,14.75,15.125,6.6044,112000,0.0,1.0
2000-02-07,15.188,15.25,14.875,15.125,6.6044,86000,0.0,1.0
2000-02-08,15.5,15.5,14.875,15.063,6.5771,78000,0.0,1.0
2000-02-09,15.25,15.375,13.75,13.75,6.004,153400,0.0,1.0
2000-02-10,14.688,14.688,13.375,14.0,6.1131,236400,0.0,1.0
2000-02-11,14.094,14.25,13.188,13.25,5.7857,63400,0.0,1.0
2000-02-14,13.125,13.125,12.688,13.0,5.6765,372200,0.0,1.0
2000-02-15,13.063,13.063,12.625,12.875,5.6219,266400,0.0,1.0
2000-02-16,13.0002,13.0,12.375,12.625,5.5127,271000,0.0,1.0
2000-02-17,12.75,13.125,12.625,13.0,5.6765,313800,0.0,1.0
2000-02-18,13.0,14.125,12.75,13.063,5.7038,422200,0.0,1.0
2000-02-22,13.4998,13.75,13.0,13.5,5.8948,191000,0.0,1.0
2000-02-23,13.875,14.375,13.813,14.375,6.2769,368000,0.0,1.0
2000-02-24,14.75,14.875,11.688,11.875,5.1853,1414000,0.0,1.0
2000-02-25,9.875,10.625,9.406,10.0,4.3665,2845200,0.0,1.0
2000-02-28,10.625,10.984,9.938,10.563,4.6121,1829600,0.0,1.0
2000-02-29,11.0,12.0,11.0,11.5,5.0215,792800,0.0,1.0
2000-03-01,11.938,12.313,11.375,11.75,5.1307,1330200,0.0,1.0
2000-03-02,12.125,12.9383,11.875,12.625,5.5127,722400,0.0,1.0
2000-03-03,13.0,13.0,12.625,12.688,5.54,294200,0.0,1.0
2000-03-06,13.875,14.375,13.125,14.0,6.1131,1337800,0.0,1.0
2000-03-07,14.375,14.5,13.0,13.375,5.8402,699000,0.0,1.0
2000-03-08,13.5,13.938,13.375,13.5,5.8948,276400,0.0,1.0
2000-03-09,13.625,14.0,13.313,13.5,5.8948,180000,0.0,1.0
2000-03-10,13.3753,13.438,12.5,12.5,5.4582,294800,0.0,1.0
2000-03-13,12.625,12.8129,11.938,11.938,5.2125,530800,0.0,1.0
2000-03-14,12.75,12.75,12.0,12.0,5.2398,282600,0.0,1.0
2000-03-15,11.75,12.5,11.5,11.563,5.0488,234200,0.0,1.0
2000-03-16,11.75,13.0,11.6875,12.875,5.6219,116600,0.0,1.0
2000-03-17,12.938,13.25,12.4996,13.0,5.6765,120000,0.0,1.0
2000-03-20,12.313,13.0,12.0,12.375,5.4036,122600,0.0,1.0
2000-03-21,12.375,12.375,11.5,11.875,5.1853,157000,0.0,1.0
