timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-06-21,1.82,1.82,1.82,1.82,1.658,1000,0.0,1.0
2010-06-22,1.9,1.9,1.9,1.9,1.7308,1000,0.0,1.0
2010-06-23,1.9,1.9,1.9,1.9,1.7308,0,0.0,1.0
2010-06-24,1.8,1.8,1.8,1.8,1.6398,1000,0.0,1.0
2010-06-25,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-06-28,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-06-29,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-06-30,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-07-01,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-07-02,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-07-06,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-07-07,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-07-08,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-07-09,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-07-12,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-07-13,1.8,1.8,1.8,1.8,1.6398,0,0.0,1.0
2010-07-14,1.5,1.5,1.5,1.5,1.3665,497,0.0,1.0
2010-07-15,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-07-16,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-07-19,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-07-20,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-07-21,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-07-22,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-07-23,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-07-26,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-07-27,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-07-28,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-07-29,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-07-30,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-02,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-03,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-04,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-05,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-06,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-09,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-10,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-11,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-12,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-13,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-16,1.5,1.5,1.5,1.5,1.3665,0,0.0,1.0
2010-08-17,1.526,1.526,1.526,1.526,1.3901,1503,0.0,1.0
2010-08-18,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-08-19,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-08-20,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-08-23,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-08-24,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-08-25,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-08-26,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-08-27,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-08-30,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-08-31,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-01,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-02,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-03,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-07,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-08,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-09,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-10,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-13,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-14,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-15,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-16,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-17,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-20,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-21,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-22,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-23,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-24,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-27,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-28,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-29,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-09-30,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-10-01,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-10-04,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-10-05,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-10-06,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
2010-10-07,1.526,1.526,1.526,1.526,1.3901,0,0.0,1.0
