timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,9.375,9.625,9.375,9.625,1.7776,119800,0.0,1.0
1999-09-14,9.25,9.5,9.188,9.375,1.7906,78900,0.318,1.0
1999-09-15,9.3757,9.438,9.063,9.063,1.7309,83900,0.0,1.0
1999-09-16,9.0,9.063,8.875,8.938,1.707,84700,0.0,1.0
1999-09-17,8.938,9.125,8.938,9.0,1.7189,53900,0.0,1.0
1999-09-20,9.063,9.063,8.875,8.875,1.6951,60100,0.0,1.0
1999-09-21,8.75,8.938,8.75,8.75,1.6712,70000,0.0,1.0
1999-09-22,8.688,8.938,8.625,8.688,1.6593,110100,0.0,1.0
1999-09-23,8.813,8.875,8.688,8.688,1.6593,75100,0.0,1.0
1999-09-24,8.75,8.75,8.5,8.5,1.6234,107100,0.0,1.0
1999-09-27,8.563,8.563,8.313,8.313,1.5876,276100,0.0,1.0
1999-09-28,8.313,8.5,8.313,8.375,1.5996,204700,0.0,1.0
1999-09-29,8.375,8.5,8.313,8.375,1.5996,80300,0.0,1.0
1999-09-30,8.438,8.563,8.313,8.375,1.5996,109500,0.0,1.0
1999-10-01,8.375,8.438,8.25,8.25,1.5757,137100,0.0,1.0
1999-10-04,8.375,8.5,8.3758,8.5,1.6234,174100,0.0,1.0
1999-10-05,8.5,8.625,8.188,8.375,1.5996,120300,0.0,1.0
1999-10-06,8.375,8.5,8.313,8.5,1.6234,77200,0.0,1.0
1999-10-07,8.5,8.563,8.4381,8.438,1.6115,87600,0.0,1.0
1999-10-08,8.5,8.563,8.375,8.438,1.6115,73100,0.0,1.0
1999-10-11,8.5,8.5,8.375,8.375,1.5996,68100,0.0,1.0
1999-10-12,8.313,8.375,8.125,8.125,1.5518,146600,0.0,1.0
1999-10-13,8.0,8.063,7.875,7.938,1.516,145400,0.0,1.0
1999-10-14,8.0,8.125,8.0,8.0,1.5279,58000,0.0,1.0
1999-10-15,7.813,8.0,7.625,7.75,1.4802,261800,0.0,1.0
1999-10-18,7.7495,7.75,7.5,7.563,1.4444,132800,0.0,1.0
1999-10-19,7.625,7.75,7.5,7.5,1.4324,189200,0.0,1.0
1999-10-20,7.688,7.938,7.688,7.875,1.5041,279400,0.0,1.0
1999-10-21,7.813,7.875,7.75,7.813,1.4921,66600,0.0,1.0
1999-10-22,8.063,8.063,7.938,8.063,1.5399,180800,0.0,1.0
1999-10-25,8.063,8.2504,8.063,8.125,1.5518,150500,0.0,1.0
