timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,33.8764,34.0,33.5,33.563,769.8724,14500,0.0,1.0
1999-09-14,33.625,33.75,31.625,31.625,725.4293,11300,0.0,1.0
1999-09-15,31.5,31.875,30.375,31.125,713.9601,21000,0.0,1.0
1999-09-16,31.125,31.625,30.813,31.188,715.3939,10800,0.0,1.0
1999-09-17,30.813,31.938,30.813,31.875,731.1639,13700,0.0,1.0
1999-09-20,31.625,32.0,30.563,30.75,705.3581,10800,0.0,1.0
1999-09-21,30.625,30.938,28.938,29.438,675.2513,18000,0.0,1.0
1999-09-22,29.5,30.313,28.625,29.063,666.6494,21500,0.0,1.0
1999-09-23,29.375,29.7509,27.938,28.063,643.7111,14300,0.0,1.0
1999-09-24,28.188,28.188,26.5,27.75,636.5426,18800,0.0,1.0
1999-09-27,28.0,28.375,27.25,27.75,636.5426,14200,0.0,1.0
1999-09-28,27.813,27.813,25.688,26.0,596.4003,20200,0.0,1.0
1999-09-29,26.5,27.438,26.5,27.0,619.3387,19800,0.0,1.0
1999-09-30,27.0,27.0,25.5,25.5,584.9312,22700,0.0,1.0
1999-10-01,25.5,26.75,25.5,26.625,610.7369,15300,0.0,1.0
1999-10-04,26.688,26.6885,25.125,25.313,580.6302,18200,0.0,1.0
1999-10-05,25.0,25.063,24.0,24.188,554.8243,23300,0.0,1.0
1999-10-06,24.1236,26.0,24.125,25.688,589.232,29400,0.0,1.0
1999-10-07,25.438,25.5,24.5,24.875,570.5945,22100,0.0,1.0
1999-10-08,24.5,25.125,23.563,25.063,574.8954,22500,0.0,1.0
1999-10-11,25.625,27.375,25.625,27.375,627.9408,23500,0.0,1.0
1999-10-12,27.813,28.0619,26.625,26.688,612.1705,26100,0.0,1.0
1999-10-13,27.25,27.813,26.688,26.813,615.0379,10800,0.0,1.0
1999-10-14,26.563,26.813,25.625,26.563,609.3033,15800,0.0,1.0
1999-10-15,24.813,26.063,24.813,26.063,597.8339,14200,0.0,1.0
1999-10-18,26.0,26.438,24.813,25.313,580.6302,7900,0.0,1.0
1999-10-19,25.2503,26.125,25.25,25.25,579.1966,8100,0.0,1.0
1999-10-20,25.5,26.4991,25.0,26.5,607.8696,9100,0.0,1.0
1999-10-21,26.5,27.688,26.25,26.75,613.6042,19000,0.0,1.0
1999-10-22,29.25,29.688,28.125,28.875,662.3485,35000,0.0,1.0
1999-10-25,29.0,29.688,28.938,29.0,665.2159,21700,0.0,1.0
1999-10-26,29.063,29.375,28.438,29.25,670.9506,22500,0.0,1.0
1999-10-27,29.25,30.0,29.063,29.063,666.6494,13800,0.0,1.0
1999-10-28,29.125,29.188,28.0,28.0,642.2773,23700,0.0,1.0
1999-10-29,28.3774,30.125,28.375,30.0,688.1541,28300,0.0,1.0
1999-11-01,30.25,31.438,29.688,31.438,721.1282,23100,0.0,1.0
1999-11-02,31.438,31.438,30.375,30.438,698.1898,18000,0.0,1.0
1999-11-03,30.5,31.688,30.438,30.875,708.2253,15600,0.0,1.0
1999-11-04,30.625,31.186,30.313,30.438,698.1898,14300,0.0,1.0
1999-11-05,30.75,30.938,28.625,28.625,656.6138,18300,0.0,1.0
1999-11-08,28.5,30.25,28.25,30.125,691.0213,18900,0.0,1.0
1999-11-09,30.438,33.0,30.438,32.938,755.5359,28200,0.0,1.0
1999-11-10,33.25,33.688,32.5,32.938,755.5359,28300,0.0,1.0
1999-11-11,32.75,32.75,31.563,31.688,726.863,11000,0.0,1.0
1999-11-12,31.563,33.5,31.5,33.5,768.4387,17500,0.0,1.0
1999-11-15,33.5,34.438,33.0,34.438,789.9435,17100,0.0,1.0
1999-11-16,34.313,34.813,32.813,33.375,765.5715,19400,0.0,1.0
1999-11-17,33.875,35.438,33.813,35.313,810.0146,36500,0.0,1.0
1999-11-18,35.0,35.063,33.563,34.0,783.235,12300,4.8387,1.0
1999-11-19,34.5,35.938,34.5,35.25,812.0308,27500,0.0,1.0
1999-11-22,35.5,36.5,34.563,34.625,797.6329,20400,0.0,1.0
1999-11-23,34.25,34.25,31.5,31.563,727.0842,21600,0.0,1.0
1999-11-24,32.0,33.25,31.813,32.313,744.3611,17600,0.0,1.0
1999-11-26,32.438,32.438,31.75,31.813,732.8431,4200,0.0,1.0
1999-11-29,31.5634,31.625,30.438,31.0,714.1266,13700,0.0,1.0
1999-11-30,30.875,33.0,30.875,31.938,735.723,22600,0.0,1.0
1999-12-01,31.938,34.188,31.813,34.0,783.235,25300,0.0,1.0
1999-12-02,33.2475,34.063,31.938,33.625,774.5964,28400,0.0,1.0
1999-12-03,33.938,33.938,32.313,32.313,744.3611,11100,0.0,1.0
1999-12-06,32.688,33.313,30.813,30.875,711.2466,14100,0.0,1.0
1999-12-07,30.8749,31.625,29.875,29.875,688.2103,14300,0.0,1.0
1999-12-08,29.25,33.688,28.563,32.625,751.56,32600,0.0,1.0
1999-12-09,32.125,33.5,31.0,31.0,714.1266,21400,0.0,1.0
1999-12-10,30.875,30.875,29.813,29.813,686.7705,9700,0.0,1.0
1999-12-13,30.313,31.438,29.313,29.625,682.4514,16400,0.0,1.0
1999-12-14,29.125,31.063,29.125,29.75,685.3309,12200,0.0,1.0
1999-12-15,30.938,33.563,30.875,32.625,751.56,24400,0.0,1.0
1999-12-16,32.938,33.938,31.938,32.438,747.241,14800,0.0,1.0
1999-12-17,31.75,32.313,31.0,31.0,714.1266,13200,0.0,1.0
1999-12-20,31.313,31.75,30.688,30.813,709.8068,8300,0.0,1.0
1999-12-21,30.875,32.0,30.875,31.938,735.723,11900,0.0,1.0
1999-12-22,31.688,32.438,30.938,31.875,734.283,10300,0.0,1.0
1999-12-23,31.75,35.25,31.625,34.188,787.5543,20100,0.0,1.0
1999-12-27,34.25,35.438,34.249,34.625,797.6329,12500,0.0,1.0
1999-12-28,34.25,35.375,33.938,34.0,783.235,9600,0.0,1.0
1999-12-29,34.125,35.063,34.125,34.625,797.6329,13200,0.0,1.0
1999-12-30,34.25,34.25,32.25,33.5,771.7172,12700,0.0,1.0
1999-12-31,33.25,36.0,33.125,36.0,829.3077,11900,0.0,1.0
2000-01-03,35.688,35.688,32.5,32.625,751.56,13000,0.0,1.0
2000-01-04,32.625,33.6253,32.0,32.563,750.1205,10400,0.0,1.0
2000-01-05,32.0,33.25,31.252,31.938,735.723,18100,0.0,1.0
2000-01-06,32.5,33.875,32.125,33.125,763.0786,16200,0.0,1.0
2000-01-07,32.75,34.75,32.75,34.688,799.0728,21900,0.0,1.0
2000-01-10,33.875,33.938,31.5613,32.875,757.3196,35500,0.0,1.0
2000-01-11,33.375,34.188,32.5,33.75,777.4761,21600,0.0,1.0
2000-01-12,33.875,33.938,32.313,32.375,745.801,15900,0.0,1.0
2000-01-13,32.625,33.875,32.625,33.625,774.5964,12700,0.0,1.0
2000-01-14,33.75,34.75,33.125,33.563,773.1567,24600,0.0,1.0
2000-01-18,34.5,35.938,34.375,35.813,824.9883,18600,0.0,1.0
2000-01-19,35.688,36.188,34.625,35.5,817.7895,20700,0.0,1.0
2000-01-20,35.5,35.5,31.938,32.438,747.241,39300,0.0,1.0
2000-01-21,31.875,32.0,30.25,31.813,732.8431,65100,0.0,1.0
2000-01-24,32.375,32.375,30.0,30.313,698.2887,26300,0.0,1.0
2000-01-25,30.375,31.813,29.5,31.313,721.3248,23500,0.0,1.0
2000-01-26,32.188,32.438,30.063,30.188,695.4092,18300,0.0,1.0
2000-01-27,29.938,31.563,28.375,28.688,664.1549,18600,4.8387,1.0
2000-01-28,28.625,30.0,28.125,28.563,661.2608,14400,0.0,1.0
2000-01-31,27.875,29.375,27.813,28.438,658.3669,16500,0.0,1.0
2000-02-01,29.0,29.875,28.938,29.313,678.6245,10900,0.0,1.0
2000-02-02,29.313,29.813,28.0,28.5,659.814,27600,0.0,1.0
2000-02-03,29.188,29.188,28.5,28.813,667.0488,19800,0.0,1.0
2000-02-04,28.75,29.063,26.813,27.0,625.0869,33200,0.0,1.0
2000-02-07,27.0,27.625,26.813,27.188,629.4277,24800,0.0,1.0
2000-02-08,26.813,27.188,26.375,26.688,617.8521,18900,0.0,1.0
2000-02-09,26.75,27.313,25.563,25.688,594.7006,16900,0.0,1.0
2000-02-10,25.813,26.813,25.75,26.5,613.5111,19200,0.0,1.0
2000-02-11,26.875,27.125,25.875,26.125,604.8296,41700,0.0,1.0
2000-02-14,26.625,26.75,25.188,26.75,619.2991,43800,0.0,1.0
