timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-03-06,15.0,15.91,14.8,15.65,8.0913,2569300,0.0,1.0
2014-03-07,15.66,15.75,15.34,15.55,8.0396,352000,0.0,1.0
2014-03-10,15.5,15.6,15.4,15.53,8.0292,220600,0.0,1.0
2014-03-11,15.44,15.6,15.42,15.56,8.0448,222100,0.0,1.0
2014-03-12,15.45,15.6503,15.38,15.65,8.0913,139500,0.0,1.0
2014-03-13,15.6992,15.87,15.53,15.73,8.1326,92300,0.0,1.0
2014-03-14,15.94,16.22,15.66,16.2,8.3756,204200,0.0,1.0
2014-03-17,16.2,16.2,15.87,16.0,8.2722,144600,0.0,1.0
2014-03-18,16.0,16.17,15.81,16.17,8.3601,91100,0.0,1.0
2014-03-19,16.14,16.33,16.1,16.27,8.4118,104100,0.0,1.0
2014-03-20,16.32,16.72,16.15,16.44,8.4997,95600,0.0,1.0
2014-03-21,16.47,16.5,16.15,16.4,8.479,117800,0.0,1.0
2014-03-24,16.42,16.5,15.52,16.06,8.3033,120100,0.0,1.0
2014-03-25,16.0,16.21,15.865,16.05,8.2981,34000,0.0,1.0
2014-03-26,16.05,16.11,15.99,16.02,8.2826,70300,0.0,1.0
2014-03-27,15.88,16.22,15.85,16.0,8.2722,69800,0.0,1.0
2014-03-28,16.01,16.14,15.957,16.09,8.3188,162400,0.0,1.0
2014-03-31,16.16,16.49,16.16,16.24,8.3963,111600,0.0,1.0
2014-04-01,16.325,16.49,16.2,16.47,8.5152,113500,0.0,1.0
2014-04-02,16.36,16.4907,16.12,16.45,8.5049,89700,0.0,1.0
2014-04-03,16.4999,16.5,16.02,16.1,8.3239,106600,0.0,1.0
2014-04-04,16.23,16.39,15.84,15.9,8.2205,125300,0.0,1.0
2014-04-07,15.9,15.99,15.46,15.77,8.1533,83900,0.0,1.0
2014-04-08,15.82,16.1998,15.755,16.16,8.355,98200,0.0,1.0
2014-04-09,16.18,16.25,15.9603,16.06,8.3033,106700,0.0,1.0
2014-04-10,16.06,16.14,15.79,15.87,8.205,132500,0.0,1.0
2014-04-11,15.69,15.99,15.466,15.58,8.101,117500,0.09,1.0
2014-04-14,15.59,15.89,15.455,15.76,8.1946,159700,0.0,1.0
2014-04-15,15.62,15.77,13.8795,15.23,7.919,202200,0.0,1.0
2014-04-16,15.25,15.87,14.87,15.82,8.2258,65700,0.0,1.0
2014-04-17,15.824,15.868,15.52,15.73,8.179,18700,0.0,1.0
2014-04-21,15.86,15.86,15.3,15.51,8.0646,47200,0.0,1.0
2014-04-22,15.38,15.64,15.25,15.4,8.0074,60800,0.0,1.0
2014-04-23,15.49,15.5,15.02,15.26,7.9346,73900,0.0,1.0
2014-04-24,15.25,15.56,15.12,15.4,8.0074,43500,0.0,1.0
2014-04-25,15.48,15.54,15.115,15.23,7.919,56300,0.0,1.0
2014-04-28,15.11,15.3,14.9,15.0,7.7995,65200,0.0,1.0
2014-04-29,14.99,15.23,14.793,14.95,7.7735,79200,0.0,1.0
2014-04-30,15.0,15.36,14.95,15.2,7.9034,63700,0.0,1.0
2014-05-01,15.25,15.35,15.07,15.08,7.8411,32500,0.0,1.0
2014-05-02,15.12,15.29,15.1,15.11,7.8567,90200,0.0,1.0
2014-05-05,15.11,15.39,15.05,15.39,8.0022,70300,0.0,1.0
2014-05-06,15.27,15.39,15.06,15.22,7.9138,39300,0.0,1.0
2014-05-07,15.28,15.3,15.04,15.04,7.8203,30200,0.0,1.0
2014-05-08,15.231,15.417,15.081,15.21,7.9086,12800,0.0,1.0
2014-05-09,15.17,15.27,15.0,15.15,7.8774,30900,0.0,1.0
2014-05-12,15.07,15.105,14.95,15.0,7.7995,27900,0.0,1.0
2014-05-13,15.01,15.2299,14.91,15.03,7.8151,20700,0.0,1.0
2014-05-14,15.16,15.176,14.97,15.01,7.8047,40200,0.0,1.0
2014-05-15,14.9,15.2292,14.9,15.09,7.8463,27200,0.0,1.0
2014-05-16,15.2,15.24,15.1,15.1,7.8515,6100,0.0,1.0
2014-05-19,15.18,15.4485,15.1,15.38,7.997,30800,0.0,1.0
2014-05-20,15.44,15.5,15.31,15.37,7.9918,37200,0.0,1.0
2014-05-21,15.45,15.498,15.39,15.41,8.0126,52400,0.0,1.0
2014-05-22,15.33,15.5,15.3,15.42,8.0178,46500,0.0,1.0
2014-05-23,15.4,15.49,15.4,15.49,8.0542,21500,0.0,1.0
2014-05-27,15.5,15.7194,15.41,15.51,8.0646,50300,0.0,1.0
2014-05-28,15.3,15.51,15.2503,15.32,8.123,67400,0.3,1.0
2014-05-29,15.32,15.485,15.238,15.44,8.1866,75100,0.0,1.0
2014-05-30,15.38,15.84,15.26,15.62,8.282,44400,0.0,1.0
2014-06-02,15.62,15.8,15.51,15.51,8.2237,57000,0.0,1.0
2014-06-03,15.51,16.0,15.48,15.95,8.457,43700,0.0,1.0
2014-06-04,15.8,15.8,15.2,15.52,8.229,133000,0.0,1.0
2014-06-05,15.36,15.482,15.15,15.39,8.1601,156500,0.0,1.0
2014-06-06,15.3,15.3,14.91,15.3,8.1124,136500,0.0,1.0
2014-06-09,15.17,15.44,15.0,15.38,8.1548,130500,0.0,1.0
2014-06-10,15.17,15.3,15.17,15.25,8.0858,68800,0.0,1.0
2014-06-11,15.2495,15.42,15.23,15.26,8.0911,26900,0.0,1.0
2014-06-12,15.2503,15.465,15.21,15.25,8.0858,149600,0.0,1.0
2014-06-13,15.21,15.39,15.21,15.27,8.0964,34900,0.0,1.0
2014-06-16,15.25,15.45,15.25,15.28,8.1018,103200,0.0,1.0
2014-06-17,15.23,15.36,15.23,15.31,8.1177,60700,0.0,1.0
2014-06-18,15.27,15.39,15.25,15.31,8.1177,58700,0.0,1.0
2014-06-19,15.37,15.4505,15.3,15.36,8.1442,35300,0.0,1.0
2014-06-20,15.31,15.48,15.3,15.3,8.1124,86700,0.0,1.0
2014-06-23,15.285,15.45,15.26,15.34,8.1336,35800,0.0,1.0
2014-06-24,15.31,15.4508,15.28,15.32,8.123,63900,0.0,1.0
2014-06-25,15.36,15.49,15.27,15.49,8.2131,46600,0.0,1.0
2014-06-26,15.55,15.92,15.35,15.68,8.3138,78800,0.0,1.0
2014-06-27,15.71,16.15,15.7,16.15,8.563,99100,0.0,1.0
2014-06-30,16.0,16.4,15.96,16.38,8.685,163800,0.0,1.0
2014-07-01,16.25,16.29,15.96,16.06,8.5153,59800,0.0,1.0
2014-07-02,16.18,16.2,15.78,16.1,8.5365,29900,0.0,1.0
2014-07-03,16.0,16.2,15.98,16.2,8.5896,19100,0.0,1.0
2014-07-07,16.01,16.19,16.0,16.1,8.5365,22800,0.0,1.0
2014-07-08,15.99,16.18,15.76,16.18,8.579,34300,0.0,1.0
2014-07-09,16.03,16.12,15.9216,15.96,8.4623,28700,0.0,1.0
2014-07-10,15.96,15.9594,15.75,15.93,8.4464,22500,0.0,1.0
2014-07-11,15.83,16.017,15.65,15.84,8.3987,30800,0.0,1.0
2014-07-14,15.96,16.0,15.28,15.69,8.3191,62800,0.0,1.0
2014-07-15,15.8,16.059,15.53,15.87,8.4146,14000,0.0,1.0
2014-07-16,15.84,15.9,15.42,15.48,8.2078,24100,0.0,1.0
2014-07-17,15.41,15.5709,15.41,15.45,8.1919,10500,0.0,1.0
2014-07-18,15.4,15.61,15.4,15.49,8.2131,24200,0.0,1.0
2014-07-21,15.51,15.59,15.4,15.51,8.2237,15200,0.0,1.0
2014-07-22,15.44,15.64,15.44,15.55,8.2449,32700,0.0,1.0
2014-07-23,15.4799,15.675,15.34,15.6,8.2714,22100,0.0,1.0
2014-07-24,15.53,15.74,15.312,15.42,8.176,32900,0.0,1.0
2014-07-25,15.5587,15.6,15.38,15.58,8.2608,29800,0.0,1.0
2014-07-28,15.49,15.68,15.4908,15.51,8.2237,18700,0.0,1.0
2014-07-29,15.51,15.69,15.28,15.55,8.2449,26900,0.0,1.0
2014-07-30,15.51,15.64,15.35,15.55,8.2449,19200,0.0,1.0
2014-07-31,15.443,15.59,15.2,15.23,8.0752,43000,0.0,1.0
2014-08-01,15.2,15.49,15.16,15.41,8.1707,28800,0.0,1.0
2014-08-04,15.66,15.66,15.25,15.37,8.1495,10900,0.0,1.0
2014-08-05,15.15,15.3,15.1,15.13,8.0222,15000,0.0,1.0
2014-08-06,15.02,15.2497,15.0,15.05,7.9798,14700,0.0,1.0
2014-08-07,15.2,15.25,15.07,15.1,8.0063,7400,0.0,1.0
2014-08-08,15.0,15.26,15.0,15.15,8.0328,12600,0.0,1.0
2014-08-11,15.3,15.3,15.06,15.1,8.0063,6100,0.0,1.0
2014-08-12,15.04,15.2106,15.0,15.21,8.0646,10300,0.0,1.0
2014-08-13,15.2497,15.36,15.25,15.3,8.1124,9600,0.0,1.0
2014-08-14,15.29,15.46,15.28,15.46,8.1972,22500,0.0,1.0
2014-08-15,15.26,15.58,15.26,15.5,8.2184,8900,0.0,1.0
2014-08-18,15.51,15.58,15.3,15.45,8.1919,4100,0.0,1.0
2014-08-19,15.35,15.66,15.3397,15.5,8.2184,37200,0.0,1.0
2014-08-20,15.37,15.6,15.37,15.49,8.2131,6900,0.0,1.0
2014-08-21,15.48,15.68,15.39,15.68,8.3138,10600,0.0,1.0
2014-08-22,15.471,15.6,15.4,15.55,8.2449,6100,0.0,1.0
2014-08-25,15.55,15.62,15.402,15.47,8.2025,11600,0.0,1.0
2014-08-26,15.42,15.544,15.417,15.49,8.2131,15000,0.0,1.0
2014-08-27,15.33,15.44,15.18,15.31,8.2889,24300,0.32,1.0
2014-08-28,15.29,15.39,15.09,15.39,8.3322,28000,0.0,1.0
2014-08-29,15.22,15.52,15.22,15.52,8.4026,14700,0.0,1.0
2014-09-02,15.47,15.61,15.36,15.41,8.343,10300,0.0,1.0
2014-09-03,15.39,15.52,15.3,15.52,8.4026,10800,0.0,1.0
2014-09-04,15.41,15.49,15.3,15.31,8.2889,23100,0.0,1.0
2014-09-05,15.3,15.48,15.3,15.3,8.2835,4500,0.0,1.0
2014-09-08,15.3,15.384,15.25,15.25,8.2564,2200,0.0,1.0
2014-09-09,15.35,15.35,15.1,15.29,8.2781,6200,0.0,1.0
2014-09-10,15.225,15.225,15.15,15.19,8.2239,1300,0.0,1.0
2014-09-11,15.1092,15.3,15.06,15.06,8.1535,8800,0.0,1.0
2014-09-12,15.25,15.29,15.15,15.24,8.251,7300,0.0,1.0
2014-09-15,15.22,15.39,15.15,15.39,8.3322,33200,0.0,1.0
2014-09-16,15.39,15.39,15.177,15.26,8.2618,11300,0.0,1.0
2014-09-17,15.32,15.36,14.91,14.91,8.0723,13300,0.0,1.0
2014-09-18,15.0,15.08,14.96,14.99,8.1156,9000,0.0,1.0
2014-09-19,15.044,15.18,14.9,14.91,8.0723,12100,0.0,1.0
2014-09-22,15.04,15.05,14.5904,14.85,8.0399,11600,0.0,1.0
2014-09-23,14.74,14.88,14.51,14.66,7.937,20900,0.0,1.0
2014-09-24,14.65,14.97,14.65,14.8,8.0128,14200,0.0,1.0
2014-09-25,14.7,14.83,14.59,14.71,7.9641,13600,0.0,1.0
2014-09-26,14.67,15.0,14.67,15.0,8.1211,8500,0.0,1.0
2014-09-29,14.98,15.08,14.93,15.08,8.1644,8200,0.0,1.0
2014-09-30,15.15,15.34,14.57,14.61,7.9099,60700,0.0,1.0
2014-10-01,14.5593,14.82,14.28,14.82,8.0236,39700,0.0,1.0
2014-10-02,14.7,14.93,14.57,14.82,8.0236,18400,0.0,1.0
2014-10-03,14.83,14.95,14.5988,14.79,8.0074,49600,0.0,1.0
2014-10-06,14.77,14.88,14.39,14.55,7.8774,49600,0.0,1.0
2014-10-07,14.51,14.64,14.28,14.53,7.8666,53500,0.0,1.0
2014-10-08,14.55,14.55,14.15,14.15,7.6609,53200,0.0,1.0
2014-10-09,14.28,14.28,14.0,14.15,7.6609,8600,0.0,1.0
2014-10-10,14.16,14.16,13.6496,13.88,7.5147,24200,0.0,1.0
2014-10-13,13.98,14.0,13.66,13.9,7.5255,17600,0.0,1.0
2014-10-14,13.9,13.9,13.7,13.75,7.4443,11700,0.0,1.0
2014-10-15,13.55,13.65,12.8,13.3,7.2007,41400,0.0,1.0
2014-10-16,13.27,14.2,13.25,14.04,7.6013,101000,0.0,1.0
2014-10-17,14.04,14.3,13.83,13.98,7.5688,11000,0.0,1.0
2014-10-20,13.9,14.11,13.89,14.11,7.6392,15600,0.0,1.0
2014-10-21,14.0,14.2,13.94,14.11,7.6392,7900,0.0,1.0
2014-10-22,14.1,14.33,13.97,14.1,7.6338,26900,0.0,1.0
2014-10-23,14.02,14.12,13.31,13.98,7.5688,29000,0.0,1.0
2014-10-24,13.966,14.212,13.95,14.2,7.6879,4800,0.0,1.0
2014-10-27,14.26,14.26,13.96,13.96,7.558,20700,0.0,1.0
2014-10-28,14.1,14.57,14.07,14.33,7.7583,49600,0.0,1.0
2014-10-29,14.4008,14.67,14.35,14.42,7.807,38000,0.0,1.0
2014-10-30,14.49,14.49,14.1,14.38,7.7854,36000,0.0,1.0
2014-10-31,14.47,14.55,14.27,14.45,7.8233,55300,0.0,1.0
2014-11-03,14.53,14.79,14.35,14.36,7.7746,27100,0.0,1.0
2014-11-04,14.63,14.64,14.35,14.62,7.9153,34000,0.0,1.0
2014-11-05,14.51,14.75,14.48,14.61,7.9099,41200,0.0,1.0
2014-11-06,14.65,14.65,14.46,14.51,7.8558,13600,0.0,1.0
2014-11-07,14.5,14.86,14.5,14.59,7.8991,34800,0.0,1.0
2014-11-10,14.5,14.8,14.5,14.69,7.9532,40900,0.0,1.0
2014-11-11,14.69,14.78,14.53,14.56,7.8828,69200,0.0,1.0
2014-11-12,14.65,14.79,14.48,14.68,7.9478,34400,0.0,1.0
2014-11-13,14.597,14.77,14.38,14.53,7.8666,18200,0.0,1.0
2014-11-14,14.64,14.79,14.55,14.56,7.8828,52600,0.0,1.0
2014-11-17,14.64,14.83,14.62,14.68,7.9478,39300,0.0,1.0
2014-11-18,14.952,14.952,14.5517,14.74,7.9803,38400,0.0,1.0
2014-11-19,14.71,14.9197,14.7,14.8,8.0128,21000,0.0,1.0
2014-11-20,14.833,14.833,14.68,14.76,7.9911,20600,0.0,1.0
2014-11-21,14.87,15.14,14.55,14.7,7.9586,31900,0.0,1.0
2014-11-24,14.78,14.93,14.7,14.75,7.9857,20500,0.0,1.0
2014-11-25,14.4,14.7,14.32,14.37,7.9746,25500,0.36,1.0
2014-11-26,14.574,14.63,14.4989,14.5,8.0468,7300,0.0,1.0
2014-11-28,14.5,14.654,14.322,14.47,8.0301,5400,0.0,1.0
2014-12-01,14.46,14.46,14.01,14.2,7.8803,37000,0.0,1.0
2014-12-02,14.106,14.56,14.04,14.35,7.9635,16600,0.0,1.0
2014-12-03,14.4507,14.95,14.11,14.87,8.2521,74900,0.0,1.0
2014-12-04,14.9,15.59,14.9009,15.06,8.3575,81500,0.0,1.0
2014-12-05,15.14,15.26,15.1,15.22,8.4463,46900,0.0,1.0
2014-12-08,15.358,15.358,14.75,15.03,8.3409,42200,0.0,1.0
2014-12-09,14.74,15.2,14.46,14.66,8.1355,77200,0.0,1.0
2014-12-10,14.41,14.93,14.31,14.77,8.1966,40100,0.0,1.0
2014-12-11,14.95,15.24,14.64,14.85,8.241,52000,0.0,1.0
2014-12-12,14.834,14.834,14.5007,14.59,8.0967,10900,0.0,1.0
2014-12-15,14.76,15.1,14.63,14.79,8.2077,41500,0.0,1.0
2014-12-16,14.87,14.87,14.2,14.2,7.8803,78700,0.0,1.0
2014-12-17,14.07,14.89,14.07,14.31,7.9413,65500,0.0,1.0
2014-12-18,14.49,15.01,14.24,14.55,8.16,112500,0.15,1.0
2014-12-19,14.7,14.9498,14.55,14.83,8.3171,73200,0.0,1.0
2014-12-22,14.85,14.877,14.6705,14.69,8.2386,22100,0.0,1.0
2014-12-23,14.61,14.92,14.46,14.62,8.1993,34400,0.0,1.0
2014-12-24,14.55,14.9121,14.55,14.78,8.289,10200,0.0,1.0
2014-12-26,14.65,14.97,14.621,14.78,8.289,9500,0.0,1.0
2014-12-29,14.87,14.88,14.55,14.74,8.2666,20400,0.0,1.0
2014-12-30,14.62,14.82,14.55,14.77,8.2834,25100,0.0,1.0
2014-12-31,14.86,15.08,14.631,14.85,8.3283,44600,0.0,1.0
2015-01-02,15.15,15.15,14.76,14.83,8.3171,17800,0.0,1.0
2015-01-05,14.83,15.15,14.66,14.86,8.3339,32500,0.0,1.0
2015-01-06,15.08,15.08,14.61,14.81,8.3059,42400,0.0,1.0
2015-01-07,14.76,15.1,14.62,15.07,8.4517,38400,0.0,1.0
2015-01-08,15.0,15.25,14.86,15.13,8.4853,15600,0.0,1.0
2015-01-09,15.13,15.18,14.96,14.99,8.4068,36900,0.0,1.0
2015-01-12,15.15,15.19,14.66,14.72,8.2554,31600,0.0,1.0
2015-01-13,14.8,14.8,14.58,14.65,8.2161,11400,0.0,1.0
2015-01-14,14.74,14.9,14.53,14.74,8.2666,16000,0.0,1.0
2015-01-15,14.8512,14.92,14.3,14.34,8.0423,27900,0.0,1.0
2015-01-16,14.52,14.52,14.19,14.2,7.9637,39900,0.0,1.0
2015-01-20,14.32,14.49,13.87,14.01,7.8572,34300,0.0,1.0
2015-01-21,14.02,14.0901,13.6,13.73,7.7002,51700,0.0,1.0
2015-01-22,13.62,14.1,13.62,14.07,7.8908,33900,0.0,1.0
2015-01-23,14.23,14.285,13.75,13.96,7.8291,22800,0.0,1.0
2015-01-26,13.9598,14.0,13.76,13.89,7.7899,106200,0.0,1.0
2015-01-27,13.87,14.0,13.81,13.99,7.846,45400,0.0,1.0
2015-01-28,13.95,14.35,13.95,14.14,7.9301,90200,0.0,1.0
2015-01-29,14.01,14.33,13.9,13.99,7.846,104900,0.0,1.0
2015-01-30,13.91,14.025,13.8,13.86,7.7731,22600,0.0,1.0
2015-02-02,13.85,14.0692,13.81,13.92,7.8067,14000,0.0,1.0
2015-02-03,14.11,14.21,13.83,13.97,7.8348,80800,0.0,1.0
2015-02-04,14.0,14.54,13.92,14.42,8.0871,45600,0.0,1.0
2015-02-05,14.29,14.8,14.2,14.66,8.2217,43900,0.0,1.0
2015-02-06,14.76,15.1,14.66,14.95,8.3844,147300,0.0,1.0
2015-02-09,15.05,15.07,14.46,14.75,8.2722,38000,0.0,1.0
2015-02-10,14.89,14.91,14.65,14.74,8.2666,15900,0.0,1.0
2015-02-11,14.88,14.89,14.34,14.54,8.1544,21500,0.0,1.0
2015-02-12,14.8,14.94,14.6,14.72,8.2554,9200,0.0,1.0
2015-02-13,14.85,15.0,14.66,14.72,8.2554,20200,0.0,1.0
2015-02-17,14.65,14.97,14.65,14.66,8.2217,10500,0.0,1.0
2015-02-18,14.51,14.93,14.41,14.664,8.224,29100,0.0,1.0
2015-02-19,14.7,14.98,14.6,14.81,8.3059,21200,0.0,1.0
2015-02-20,14.88,14.96,14.58,14.68,8.2329,27100,0.0,1.0
2015-02-23,14.8,14.8,14.64,14.69,8.2386,8100,0.0,1.0
2015-02-24,14.9694,15.0,14.69,14.88,8.3451,44700,0.0,1.0
2015-02-25,14.79,14.88,14.71,14.84,8.3227,29500,0.0,1.0
2015-02-26,14.86,14.88,14.6,14.6,8.1881,14900,0.0,1.0
2015-02-27,14.84,14.88,14.65,14.87,8.3395,29600,0.0,1.0
2015-03-02,14.86,14.89,14.55,14.73,8.261,52800,0.0,1.0
2015-03-03,14.6,14.83,14.41,14.61,8.1937,35900,0.0,1.0
