timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-02-10,18.75,18.9507,18.53,18.65,14.6208,4515300,0.0,1.0
2010-02-11,18.65,18.8894,18.6,18.89,14.809,185100,0.0,1.0
2010-02-12,19.0,19.0,18.75,18.85,14.7776,78900,0.0,1.0
2010-02-16,18.89,18.91,18.75,18.88,14.8012,356400,0.0,1.0
2010-02-17,18.95,18.98,18.76,18.79,14.7306,37300,0.0,1.0
2010-02-18,18.75,18.78,18.538,18.73,14.6836,103800,0.0,1.0
2010-02-19,18.6,19.02,18.6,18.75,14.6992,49600,0.0,1.0
2010-02-22,18.81,18.82,18.62,18.75,14.6992,91200,0.0,1.0
2010-02-23,19.03,19.03,18.6,18.8,14.7384,49400,0.0,1.0
2010-02-24,18.65,18.82,18.5,18.55,14.5425,32900,0.0,1.0
2010-02-25,18.32,18.75,18.32,18.52,14.5189,37900,0.0,1.0
2010-02-26,18.52,18.85,18.47,18.81,14.7463,71200,0.0,1.0
2010-03-01,18.88,18.88,18.64,18.68,14.6444,23600,0.0,1.0
2010-03-02,18.75,18.89,18.55,18.89,14.809,22000,0.0,1.0
2010-03-03,18.76,18.81,18.57,18.8,14.7384,48100,0.0,1.0
2010-03-04,18.85,19.06,18.85,18.96,14.8639,24300,0.0,1.0
2010-03-05,19.08,19.1,18.67,18.8,14.7384,105400,0.0,1.0
2010-03-08,18.88,19.44,18.8,19.44,15.2402,41400,0.0,1.0
2010-03-09,19.55,19.65,19.25,19.46,15.2559,28300,0.0,1.0
2010-03-10,19.5,19.4998,18.849,19.01,14.9031,29900,0.0,1.0
2010-03-11,19.0,19.5,18.95,19.43,15.2323,85300,0.0,1.0
2010-03-12,19.45,19.53,19.36,19.4,15.2088,21500,0.0,1.0
2010-03-15,19.3,19.425,18.99,18.99,14.8874,28600,0.0,1.0
2010-03-16,19.08,19.64,19.08,19.2,15.052,49500,0.0,1.0
2010-03-17,19.24,19.3,19.24,19.29,15.1226,18300,0.0,1.0
2010-03-18,19.3,19.44,18.86,19.44,15.2402,159300,0.0,1.0
2010-03-19,19.45,19.6512,19.11,19.65,15.4048,46600,0.0,1.0
2010-03-22,19.59,19.63,19.25,19.25,15.0912,121000,0.0,1.0
2010-03-23,19.26,19.32,19.04,19.15,15.0128,37900,0.0,1.0
2010-03-24,19.23,19.65,19.23,19.44,15.2402,58000,0.0,1.0
2010-03-25,19.53,19.6,19.41,19.46,15.2559,64300,0.0,1.0
2010-03-26,19.36,19.47,19.3,19.41,15.2167,25800,0.0,1.0
2010-03-29,19.5,19.84,19.41,19.5,15.2872,33700,0.0,1.0
2010-03-30,19.6,19.75,19.45,19.7,15.444,52800,0.0,1.0
2010-03-31,20.0,20.56,19.52,19.73,15.4675,699000,0.0,1.0
2010-04-01,19.73,19.73,18.93,19.21,15.0599,68300,0.0,1.0
2010-04-05,19.27,19.465,19.27,19.38,15.1931,44100,0.0,1.0
2010-04-06,19.32,19.67,19.32,19.66,15.4126,10400,0.0,1.0
2010-04-07,19.58,19.928,19.52,19.9,15.6008,19600,0.0,1.0
2010-04-08,19.84,19.84,19.53,19.63,15.3891,35300,0.0,1.0
2010-04-09,19.63,19.7986,19.55,19.65,15.4048,50200,0.0,1.0
2010-04-12,19.61,19.695,19.47,19.47,15.2637,20900,0.0,1.0
2010-04-13,19.41,19.835,19.07,19.65,15.4048,27900,0.0,1.0
2010-04-14,19.67,20.07,19.4809,19.59,15.3578,16800,0.0,1.0
2010-04-15,19.55,19.55,19.39,19.5,15.2872,8400,0.0,1.0
2010-04-16,19.51,19.53,19.38,19.39,15.201,14000,0.0,1.0
2010-04-19,19.3,19.76,19.19,19.57,15.3421,37900,0.0,1.0
2010-04-20,19.62,19.62,19.43,19.52,15.3029,8200,0.0,1.0
2010-04-21,19.5211,19.85,19.1,19.5,15.2872,43700,0.0,1.0
2010-04-22,19.47,19.5,19.22,19.5,15.2872,10900,0.0,1.0
2010-04-23,19.46,19.46,19.35,19.35,15.1696,12000,0.0,1.0
2010-04-26,19.2817,19.34,19.14,19.21,15.0599,9100,0.0,1.0
2010-04-27,19.17,19.17,19.06,19.1,14.9736,8300,0.0,1.0
2010-04-28,19.17,19.19,19.1,19.16,15.0207,3100,0.0,1.0
2010-04-29,19.23,19.23,18.95,19.06,14.9423,49700,0.0,1.0
2010-04-30,19.0,19.0,18.73,18.81,14.7463,37100,0.0,1.0
2010-05-03,18.87,18.88,18.75,18.87,14.7933,28600,0.0,1.0
2010-05-04,18.57,18.87,18.35,18.45,14.4641,320800,0.0,1.0
2010-05-05,18.42,18.53,18.42,18.49,14.4954,22100,0.0,1.0
2010-05-06,18.44,18.54,18.26,18.33,14.37,17500,0.0,1.0
2010-05-07,18.26,18.34,17.32,17.34,13.5939,130100,0.0,1.0
2010-05-10,17.5,18.5,17.5,18.12,14.2054,50500,0.0,1.0
2010-05-11,18.12,18.3193,18.1,18.17,14.2446,34400,0.0,1.0
2010-05-12,18.17,18.79,18.0,18.79,14.7306,15200,0.0,1.0
2010-05-13,18.68,18.68,18.02,18.29,14.3386,66800,0.0,1.0
2010-05-14,18.24,18.37,18.1,18.29,14.3386,6600,0.0,1.0
2010-05-17,18.35,18.49,18.2,18.45,14.4641,12400,0.0,1.0
2010-05-18,18.58,18.58,18.3,18.33,14.37,5200,0.0,1.0
2010-05-19,18.33,18.42,18.06,18.08,14.174,13800,0.0,1.0
2010-05-20,17.8993,18.19,17.9,18.1,14.1897,41200,0.0,1.0
2010-05-21,17.97,18.24,17.8701,18.02,14.127,47500,0.0,1.0
2010-05-24,18.64,18.64,17.95,18.0,14.1113,12700,0.0,1.0
2010-05-25,17.72,18.01,17.6597,17.92,14.0486,33600,0.0,1.0
2010-05-26,18.01,18.21,17.85,17.91,14.0407,27900,0.0,1.0
2010-05-27,18.17,18.43,18.06,18.41,14.4327,16300,0.0,1.0
2010-05-28,18.32,18.32,17.92,18.05,14.1505,20300,0.0,1.0
2010-06-01,17.99,18.37,17.77,17.77,13.931,20900,0.0,1.0
2010-06-02,18.2,18.51,18.07,18.51,14.5111,27600,0.0,1.0
2010-06-03,18.45,18.59,18.28,18.42,14.4405,8300,0.0,1.0
2010-06-04,18.1,18.19,17.82,17.83,13.978,32100,0.0,1.0
2010-06-07,17.91,18.04,17.85,17.9,14.0329,14200,0.0,1.0
2010-06-08,17.94,17.97,17.72,17.76,13.9231,36700,0.0,1.0
2010-06-09,17.9,18.06,17.69,17.78,13.9388,20800,0.0,1.0
2010-06-10,17.96,18.05,17.815,17.97,14.0878,24800,0.0,1.0
2010-06-11,17.9,18.0,17.85,18.0,14.1113,17400,0.0,1.0
2010-06-14,18.12,18.29,17.77,17.84,13.9858,15900,0.0,1.0
2010-06-15,17.96,18.11,17.84,18.0,14.1113,149800,0.0,1.0
2010-06-16,17.91,18.23,17.88,18.16,14.2367,16700,0.0,1.0
2010-06-17,18.26,18.26,18.05,18.11,14.1975,86600,0.0,1.0
2010-06-18,18.14,18.39,18.0,18.22,14.2837,223100,0.0,1.0
2010-06-21,18.36,18.36,17.71,17.83,13.978,19700,0.0,1.0
2010-06-22,17.85,17.99,17.85,17.85,13.9937,64600,0.0,1.0
2010-06-23,17.89,17.9,17.82,17.87,14.0094,14500,0.0,1.0
2010-06-24,17.82,17.84,17.58,17.59,13.7899,40800,0.0,1.0
2010-06-25,17.7,18.5,17.7,18.23,14.2916,355000,0.0,1.0
2010-06-28,18.19,18.19,17.91,17.94,14.0642,24500,0.0,1.0
2010-06-29,17.9,17.9,17.62,17.68,13.8604,44700,0.0,1.0
2010-06-30,17.74,17.81,17.66,17.71,13.8839,67500,0.0,1.0
2010-07-01,17.65,17.96,17.634,17.77,13.931,16900,0.0,1.0
2010-07-02,17.82,17.82,17.57,17.67,13.8526,30800,0.0,1.0
2010-07-06,17.82,17.95,17.77,17.77,13.931,21900,0.0,1.0
2010-07-07,17.89,17.93,17.76,17.84,13.9858,136700,0.0,1.0
2010-07-08,18.03,18.0306,17.77,17.93,14.0564,21700,0.0,1.0
