timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-09-27,9.1499,9.28,9.05,9.15,7.7724,379700,0.0861,1.0
2004-09-28,8.85,8.85,8.65,8.76,7.4411,332700,0.0878,1.0
2004-09-29,8.76,8.78,8.66,8.75,7.4326,119800,0.0852,1.0
2004-09-30,8.89,8.97,8.89,8.97,7.6195,166400,0.0,1.0
2004-10-01,9.14,9.34,9.12,9.25,7.8574,266600,0.0,1.0
2004-10-04,9.38,9.4995,9.38,9.47,8.0442,441700,0.0,1.0
2004-10-05,9.65,9.66,9.6,9.63,8.1801,408800,0.0,1.0
2004-10-06,9.5,9.52,9.4,9.45,8.0272,107400,0.0,1.0
2004-10-07,9.53,9.53,9.4,9.45,8.0272,266900,0.0,1.0
2004-10-08,9.3794,9.42,9.35,9.4,7.9848,271300,0.0,1.0
2004-10-11,9.25,9.25,9.11,9.23,7.8404,104500,0.0,1.0
2004-10-12,9.03,9.05,8.95,9.0,7.645,400300,0.0,1.0
2004-10-13,9.0,9.05,8.98,9.01,7.6535,138000,0.0,1.0
2004-10-14,8.95,9.0799,8.95,9.04,7.679,288500,0.0,1.0
2004-10-15,8.97,9.13,8.93,8.95,7.6025,304300,0.0,1.0
2004-10-18,9.0,9.04,8.91,9.04,7.679,201100,0.0,1.0
2004-10-19,9.05,9.3,9.05,9.27,7.8743,286600,0.0,1.0
2004-10-20,9.23,9.23,9.07,9.1,7.7299,78300,0.0,1.0
2004-10-21,9.09,9.14,9.09,9.1,7.7299,78200,0.0,1.0
2004-10-22,9.15,9.17,9.1,9.17,7.7894,88400,0.0,1.0
2004-10-25,8.73,8.78,8.7292,8.73,7.4156,212800,0.0,1.0
2004-10-26,8.95,8.95,8.82,8.92,7.577,172200,0.0,1.0
2004-10-27,8.91,9.01,8.85,9.01,7.6535,324000,0.0,1.0
2004-10-28,9.2699,9.27,9.09,9.19,7.8064,234300,0.0,1.0
2004-10-29,9.23,9.25,9.0908,9.25,7.8574,98700,0.0,1.0
2004-11-01,9.2,9.25,9.1,9.2,7.8149,100000,0.0,1.0
2004-11-02,9.27,9.3,9.25,9.25,7.8574,54600,0.0,1.0
2004-11-03,9.25,9.38,9.23,9.34,7.9338,36700,0.0,1.0
2004-11-04,9.3,9.33,9.27,9.28,7.8828,106600,0.0,1.0
2004-11-05,9.35,9.54,9.35,9.5,8.0697,133700,0.0,1.0
2004-11-08,9.6,9.6,9.48,9.5,8.0697,154200,0.0,1.0
2004-11-09,9.45,9.5,9.4,9.48,8.0527,9700,0.0,1.0
2004-11-10,9.5,9.59,9.44,9.5,8.0697,91300,0.0,1.0
2004-11-11,9.5,9.4991,9.45,9.5,8.0697,27900,0.0,1.0
2004-11-12,9.55,9.55,9.45,9.46,8.0357,23500,0.0,1.0
2004-11-15,9.5309,9.55,9.43,9.48,8.0527,125800,0.0,1.0
2004-11-16,9.68,9.85,9.65,9.66,8.2056,569700,0.0,1.0
2004-11-17,9.87,9.98,9.78,9.95,8.452,854900,0.0,1.0
2004-11-18,9.95,10.01,9.9,10.0,8.4944,158400,0.0,1.0
2004-11-19,9.75,9.82,9.7,9.76,8.2906,261800,0.0,1.0
2004-11-22,9.74,9.83,9.69,9.83,8.35,306900,0.0,1.0
2004-11-23,9.9,10.1,9.84,10.0,8.4944,299100,0.0,1.0
2004-11-24,10.23,10.85,10.2,10.6,9.0041,844500,0.0,1.0
2004-11-26,10.65,10.69,10.48,10.51,8.9277,320600,0.0,1.0
2004-11-29,10.85,11.19,10.81,11.15,9.4713,393500,0.0,1.0
2004-11-30,11.0,11.14,10.9,11.13,9.4543,904400,0.0,1.0
2004-12-01,11.0,11.25,11.0,11.17,9.4883,530500,0.0,1.0
2004-12-02,11.25,11.4303,11.25,11.41,9.6922,706100,0.0,1.0
2004-12-03,11.41,11.59,11.37,11.56,9.8196,533300,0.0,1.0
2004-12-06,11.6,11.7,11.54,11.55,9.8111,392300,0.0,1.0
2004-12-07,11.62,11.62,11.34,11.45,9.7261,409300,0.0,1.0
2004-12-08,11.25,11.3,10.9,10.95,9.3014,465500,0.0,1.0
2004-12-09,11.08,11.14,10.95,11.05,9.3864,368400,0.0,1.0
2004-12-10,10.97,10.97,10.71,10.75,9.1315,321600,0.0,1.0
2004-12-13,10.9,10.9,10.7498,10.87,9.2335,661100,0.0,1.0
2004-12-14,10.97,10.99,10.81,10.97,9.3184,606800,0.0,1.0
2004-12-15,11.15,11.4,11.14,11.37,9.6582,855900,0.0,1.0
2004-12-16,11.4,11.4,11.35,11.4,9.6837,96000,0.0,1.0
2004-12-17,11.2,11.3,11.11,11.3,9.5987,177900,0.0,1.0
2004-12-20,11.33,11.35,11.21,11.32,9.6157,122800,0.0,1.0
2004-12-21,11.43,11.5,11.43,11.46,9.7346,134600,0.0,1.0
2004-12-22,11.5,11.5,11.45,11.46,9.7346,154800,0.0,1.0
2004-12-23,11.65,11.7,11.57,11.6,9.8536,327300,0.0,1.0
2004-12-27,11.96,11.9605,11.65,11.66,9.9045,223100,0.0,1.0
2004-12-28,11.75,11.83,11.61,11.7,9.9385,80700,0.0,1.0
2004-12-29,11.7,11.78,11.5999,11.64,9.8875,73100,0.0,1.0
2004-12-30,11.55,11.55,11.25,11.39,9.6752,101300,0.0,1.0
2004-12-31,11.52,12.18,11.49,11.92,10.1254,317400,0.0,1.0
2005-01-03,12.22,12.25,12.0004,12.06,10.2443,314900,0.0,1.0
2005-01-04,12.0,12.05,11.76,11.78,10.0065,273400,0.0,1.0
2005-01-05,11.58,11.58,11.2735,11.34,9.6327,362600,0.0,1.0
2005-01-06,11.29,11.29,11.04,11.1,9.4288,243900,0.0,1.0
2005-01-07,11.25,11.33,11.16,11.3,9.5987,65300,0.0,1.0
2005-01-10,10.85,10.85,10.7,10.7,9.0891,293100,0.0,1.0
2005-01-11,10.85,10.92,10.7296,10.76,9.14,188900,0.0,1.0
2005-01-12,10.701,10.75,10.68,10.7,9.0891,198100,0.0,1.0
2005-01-13,11.22,11.22,10.99,11.03,9.3694,177300,0.0,1.0
2005-01-14,11.03,11.21,10.92,11.12,9.4458,310600,0.0,1.0
2005-01-18,10.9,10.99,10.75,10.99,9.3354,379100,0.0,1.0
2005-01-19,10.7,10.7,10.5,10.6,9.0041,375100,0.0,1.0
2005-01-20,10.7,10.81,10.62,10.65,9.0466,215700,0.0,1.0
2005-01-21,10.75,10.75,10.59,10.6,9.0041,82500,0.0,1.0
2005-01-24,10.53,10.56,10.45,10.45,8.8767,138300,0.0,1.0
2005-01-25,10.8,10.85,10.74,10.84,9.208,213600,0.0,1.0
2005-01-26,10.8888,10.9,10.73,10.76,9.14,153200,0.0,1.0
2005-01-27,10.9,10.9,10.83,10.83,9.1995,216400,0.0,1.0
2005-01-28,11.0,11.0,10.87,10.95,9.3014,590900,0.0,1.0
2005-01-31,11.3,11.63,11.3,11.63,9.879,289800,0.0,1.0
2005-02-01,11.35,11.35,11.15,11.2,9.5138,133900,0.0,1.0
2005-02-02,11.0995,11.24,11.08,11.21,9.5223,229900,0.0,1.0
2005-02-03,11.4,11.4,11.23,11.3,9.5987,151200,0.0,1.0
2005-02-04,11.3,11.39,11.2,11.32,9.6157,322000,0.0,1.0
2005-02-07,11.34,11.35,11.29,11.34,9.6327,171000,0.0,1.0
2005-02-08,11.3413,11.34,11.12,11.28,9.5817,79700,0.0,1.0
2005-02-09,11.6,11.6,11.3,11.3,9.5987,246100,0.0,1.0
2005-02-10,11.5,11.5,11.32,11.37,9.6582,126400,0.0,1.0
2005-02-11,11.5,11.56,11.4297,11.56,9.8196,134800,0.0,1.0
2005-02-14,11.6,11.61,11.52,11.59,9.8451,215800,0.0,1.0
2005-02-15,11.64,11.64,11.45,11.59,9.8451,166800,0.0,1.0
2005-02-16,11.35,11.38,11.24,11.24,9.5478,353600,0.0,1.0
2005-02-17,11.2,11.27,11.16,11.21,9.5223,191100,0.0,1.0
2005-02-18,11.03,11.03,10.82,10.85,9.2165,447500,0.0,1.0
2005-02-22,10.95,11.14,10.93,11.1,9.4288,187900,0.0,1.0
2005-02-23,11.0,11.04,10.94,10.95,9.3014,127500,0.0,1.0
2005-02-24,10.85,10.9,10.8,10.87,9.2335,212600,0.0,1.0
2005-02-25,10.8,10.85,10.68,10.7,9.0891,154600,0.0,1.0
2005-02-28,10.8497,10.95,10.656,10.88,9.242,362500,0.0,1.0
2005-03-01,10.69,10.7,10.6,10.64,9.0381,255300,0.0,1.0
2005-03-02,10.64,10.74,10.6,10.66,9.0551,92600,0.0,1.0
2005-03-03,11.0,11.04,10.86,10.88,9.242,131000,0.0,1.0
2005-03-04,11.1,11.14,11.06,11.1,9.4288,207200,0.0,1.0
2005-03-07,10.98,11.0007,10.88,11.0,9.3439,97700,0.0,1.0
2005-03-08,11.0,11.1083,10.91,10.95,9.3014,65400,0.0,1.0
2005-03-09,10.7505,10.78,10.7,10.78,9.157,123000,0.0,1.0
2005-03-10,10.78,10.83,10.71,10.74,9.123,76300,0.0,1.0
2005-03-11,10.6504,10.67,10.57,10.59,8.9956,118800,0.0,1.0
2005-03-14,10.7,10.7,10.57,10.66,9.0551,173700,0.0,1.0
2005-03-15,10.51,10.55,10.46,10.51,8.9277,107400,0.0,1.0
2005-03-16,10.45,10.51,10.42,10.51,8.9277,28500,0.0,1.0
2005-03-17,10.3999,10.43,10.27,10.29,8.7408,168500,0.0,1.0
2005-03-18,10.5,10.6,10.44,10.48,8.9022,95600,0.0,1.0
2005-03-21,10.26,10.29,10.2,10.25,8.7068,117900,0.0,1.0
2005-03-22,9.95,9.99,9.9,9.9,8.4095,125000,0.0,1.0
2005-03-23,9.64,9.71,9.59,9.66,8.2056,117300,0.0,1.0
2005-03-24,9.5903,9.67,9.55,9.67,8.2141,75000,0.0,1.0
2005-03-28,9.57,9.62,9.53,9.55,8.1122,26600,0.0,1.0
2005-03-29,9.5,9.51,9.38,9.41,7.9933,69300,0.0,1.0
2005-03-30,9.41,9.49,9.3998,9.4,7.9848,95900,0.0,1.0
2005-03-31,9.55,9.7,9.53,9.7,8.2396,155100,0.0,1.0
2005-04-01,10.0,10.01,9.9,9.99,8.4859,285800,0.0,1.0
2005-04-04,9.8,9.8,9.57,9.65,8.1971,124300,0.0,1.0
2005-04-05,9.35,9.43,9.25,9.25,7.8574,225600,0.0,1.0
2005-04-06,9.4,9.53,9.4,9.43,8.0103,103000,0.0,1.0
2005-04-07,9.69,9.6909,9.53,9.53,8.0952,93300,0.0,1.0
2005-04-08,9.58,9.78,9.55,9.7,8.2396,234500,0.0,1.0
2005-04-11,9.61,9.75,9.6,9.75,8.2821,116500,0.0,1.0
2005-04-12,9.77,9.79,9.65,9.78,8.3076,155000,0.0,1.0
2005-04-13,9.73,9.83,9.66,9.75,8.2821,180600,0.0,1.0
2005-04-14,9.7,9.72,9.62,9.7,8.2396,279500,0.0,1.0
2005-04-15,9.47,9.7,9.44,9.55,8.1122,269900,0.0,1.0
2005-04-18,9.6,9.8,9.53,9.78,8.3076,306400,0.0,1.0
2005-04-19,9.65,9.74,9.6,9.74,8.2736,272900,0.0,1.0
2005-04-20,9.95,9.95,9.77,9.78,8.3076,119300,0.0,1.0
2005-04-21,9.92,10.09,9.87,10.09,8.5709,129100,0.0,1.0
2005-04-22,10.0,10.0,9.87,9.96,8.4605,75700,0.0,1.0
2005-04-25,10.15,10.15,9.94,9.96,8.4605,252200,0.0,1.0
2005-04-26,9.99,9.99,9.81,9.82,8.3415,104300,0.0,1.0
2005-04-27,9.82,9.8495,9.69,9.72,8.2566,137400,0.0,1.0
2005-04-28,9.74,9.74,9.5504,9.55,8.1122,141400,0.0,1.0
2005-04-29,9.49,9.49,9.2497,9.48,8.0527,393200,0.0,1.0
2005-05-02,9.55,9.55,9.42,9.5,8.0697,254300,0.0,1.0
2005-05-03,9.65,9.65,9.4699,9.51,8.0782,173400,0.0,1.0
2005-05-04,9.61,9.76,9.55,9.75,8.2821,279300,0.0,1.0
2005-05-05,9.65,9.68,9.52,9.56,8.1207,233300,0.0,1.0
2005-05-06,9.7,9.79,9.66,9.69,8.2311,138100,0.0,1.0
2005-05-09,10.0,10.0,9.86,9.86,8.3755,161500,0.0,1.0
2005-05-10,9.86,9.93,9.78,9.82,8.3415,270000,0.0,1.0
2005-05-11,9.95,9.95,9.82,9.86,8.3755,66600,0.0,1.0
2005-05-12,9.96,9.97,9.9,9.91,8.418,94400,0.0,1.0
2005-05-13,9.98,9.98,9.87,9.95,8.452,49600,0.0,1.0
2005-05-16,10.1496,10.3,10.15,10.3,8.7493,138300,0.0,1.0
2005-05-17,10.1,10.1,9.82,9.9,8.4095,189200,0.0,1.0
2005-05-18,10.0,10.0504,9.93,9.96,8.4605,175600,0.0,1.0
2005-05-19,10.05,10.1,9.8492,9.85,8.367,243200,0.0,1.0
2005-05-20,9.9,9.95,9.85,9.93,8.435,66200,0.0,1.0
2005-05-23,9.8694,9.93,9.85,9.9,8.4095,91400,0.0,1.0
2005-05-24,10.08,10.18,10.06,10.14,8.6134,127500,0.0,1.0
2005-05-25,10.18,10.19,10.09,10.11,8.5879,109900,0.0,1.0
2005-05-26,10.25,10.3,10.17,10.2,8.6643,92900,0.0,1.0
2005-05-27,10.12,10.2,10.1,10.11,8.5879,138600,0.0,1.0
2005-05-31,9.95,9.95,9.8,9.85,8.367,228500,0.0,1.0
2005-06-01,9.88,10.6001,9.88,10.38,8.8172,564200,0.0,1.0
2005-06-02,10.0,10.17,9.97,10.09,8.5709,276300,0.0,1.0
2005-06-03,10.04,10.15,10.04,10.12,8.5964,31000,0.0,1.0
2005-06-06,10.05,10.15,10.02,10.1,8.5794,238200,0.0,1.0
2005-06-07,10.0,10.03,9.99,10.0,8.4944,120100,0.0,1.0
2005-06-08,9.9802,10.05,9.97,10.0,8.4944,177300,0.0,1.0
2005-06-09,9.96,9.96,9.76,9.8,8.3246,454500,0.0,1.0
2005-06-10,9.78,9.79,9.6,9.64,8.1886,257100,0.0,1.0
2005-06-13,9.6,9.75,9.59,9.63,8.1801,144500,0.0,1.0
2005-06-14,9.73,9.73,9.55,9.6,8.1547,49200,0.0,1.0
2005-06-15,9.6,9.7,9.6,9.6,8.1547,90600,0.0,1.0
2005-06-16,9.66,9.74,9.62,9.7,8.2396,178900,0.0,1.0
2005-06-17,9.69,9.73,9.56,9.6,8.1547,179900,0.0,1.0
2005-06-20,9.6,9.63,9.43,9.46,8.0357,223900,0.0,1.0
2005-06-21,9.6,9.64,9.55,9.62,8.1717,433600,0.0,1.0
2005-06-22,9.73,9.77,9.7,9.71,8.2481,127100,0.0,1.0
2005-06-23,9.7,9.76,9.6,9.61,8.3604,282600,0.2291,1.0
2005-06-24,9.78,9.8,9.64,9.66,8.4039,191400,0.0,1.0
2005-06-27,9.83,9.85,9.71,9.8,8.5257,147400,0.0,1.0
2005-06-28,9.65,9.6494,9.55,9.58,8.3343,267700,0.0,1.0
2005-06-29,9.72,9.74,9.62,9.64,8.3865,296200,0.0,1.0
2005-06-30,9.68,9.7,9.65,9.68,8.4213,86600,0.0,1.0
2005-07-01,9.7,9.74,9.68,9.7,8.4387,300800,0.0,1.0
2005-07-05,9.9,10.1,9.87,10.0,8.6997,700300,0.0,1.0
2005-07-06,10.07,10.2,10.07,10.19,8.865,201200,0.0,1.0
2005-07-07,10.06,10.14,9.76,10.07,8.7606,141600,0.0,1.0
2005-07-08,10.02,10.03,9.9,10.0,8.6997,109500,0.0,1.0
2005-07-11,10.22,10.32,10.17,10.28,8.9433,104500,0.0,1.0
2005-07-12,10.5,10.74,10.5,10.65,9.2652,224300,0.0,1.0
2005-07-13,10.62,10.6406,10.51,10.6,9.2217,136500,0.0,1.0
2005-07-14,10.5,10.5,10.33,10.39,9.039,136000,0.0,1.0
2005-07-15,10.5,10.65,10.5,10.55,9.1782,158700,0.0,1.0
2005-07-18,10.72,10.74,10.66,10.72,9.3261,88000,0.0,1.0
2005-07-19,10.8,11.0304,10.8,10.99,9.561,128000,0.0,1.0
2005-07-20,10.89,10.89,10.75,10.84,9.4305,332500,0.0,1.0
2005-07-21,10.75,10.75,10.6,10.65,9.2652,104100,0.0,1.0
2005-07-22,10.75,10.85,10.7393,10.8,9.3957,127100,0.0,1.0
2005-07-25,10.87,10.92,10.77,10.77,9.3696,130500,0.0,1.0
2005-07-26,10.89,10.96,10.84,10.91,9.4914,131300,0.0,1.0
2005-07-27,10.9,11.09,10.9,11.03,9.5958,211600,0.0,1.0
2005-07-28,10.95,11.12,10.95,11.0,9.5697,165900,0.0,1.0
2005-07-29,11.02,11.49,10.92,11.35,9.8742,589300,0.0,1.0
2005-08-01,11.5299,11.62,11.49,11.54,10.0395,399800,0.0,1.0
2005-08-02,11.97,12.07,11.81,11.9,10.3526,354900,0.0,1.0
2005-08-03,11.74,11.74,11.35,11.57,10.0656,324600,0.0,1.0
2005-08-04,11.51,11.5405,11.4,11.53,10.0308,166100,0.0,1.0
2005-08-05,11.45,11.7391,11.42,11.65,10.1352,86100,0.0,1.0
2005-08-08,11.4,11.4,10.92,11.0,9.5697,420300,0.0,1.0
2005-08-09,11.0,11.0,10.7,10.72,9.3261,429000,0.0,1.0
2005-08-10,10.91,10.999,10.86,10.98,9.5523,490000,0.0,1.0
2005-08-11,11.3006,11.33,11.22,11.32,9.8481,553600,0.0,1.0
2005-08-12,11.42,11.42,11.24,11.32,9.8481,107100,0.0,1.0
2005-08-15,11.33,11.42,11.24,11.42,9.9351,104400,0.0,1.0
2005-08-16,11.38,11.3807,11.05,11.13,9.6828,282500,0.0,1.0
2005-08-17,11.25,11.3711,11.18,11.26,9.7959,91500,0.0,1.0
2005-08-18,11.2,11.23,11.1,11.15,9.7002,360100,0.0,1.0
2005-08-19,11.25,11.27,11.17,11.24,9.7785,71000,0.0,1.0
2005-08-22,11.03,11.06,10.97,11.01,9.5784,143000,0.0,1.0
2005-08-23,10.98,10.98,10.73,10.74,9.3435,419600,0.0,1.0
