timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,8.063,8.063,8.063,8.063,2.3755,400,0.0,1.0
1999-09-14,8.188,8.188,8.188,8.188,2.4123,2600,0.0,1.0
1999-09-15,8.188,8.188,8.125,8.188,2.4123,1800,0.0,1.0
1999-09-16,8.125,8.1252,8.125,8.125,2.3939,200,0.0,1.0
1999-09-17,8.125,8.125,8.063,8.063,2.3755,1500,0.0,1.0
1999-09-20,8.0,8.0,8.0,8.0,2.3571,100,0.0,1.0
1999-09-21,7.938,7.938,7.938,7.938,2.3387,400,0.0,1.0
1999-09-22,7.938,7.938,7.938,7.938,2.3387,500,0.0,1.0
1999-09-23,8.125,8.25,8.125,8.25,2.4307,9000,0.0,1.0
1999-09-24,8.188,8.313,8.125,8.125,2.3939,1900,0.0,1.0
1999-09-27,8.125,8.125,8.125,8.125,2.3939,1600,0.0,1.0
1999-09-28,7.938,8.0,7.813,7.813,2.357,2100,0.19,1.0
1999-09-29,7.75,7.75,7.6248,7.625,2.3004,16500,0.0,1.0
1999-09-30,7.625,7.625,7.563,7.563,2.2815,32600,0.0,1.0
1999-10-01,7.563,7.625,7.563,7.625,2.3004,1800,0.0,1.0
1999-10-04,7.625,7.625,7.625,7.625,2.3004,1500,0.0,1.0
1999-10-05,7.563,7.625,7.563,7.563,2.2815,3400,0.0,1.0
1999-10-06,7.563,7.625,7.5,7.563,2.2815,12500,0.0,1.0
1999-10-07,7.563,7.563,7.5626,7.563,2.2815,2200,0.0,1.0
1999-10-08,7.563,7.563,7.563,7.563,2.2815,600,0.0,1.0
1999-10-11,7.5,7.75,7.5,7.688,2.3192,6400,0.0,1.0
1999-10-12,7.625,7.688,7.563,7.563,2.2815,5300,0.0,1.0
1999-10-13,7.6252,7.625,7.625,7.625,2.3004,1000,0.0,1.0
1999-10-14,7.563,7.75,7.563,7.563,2.2815,2000,0.0,1.0
1999-10-15,7.5,7.5,7.5,7.5,2.2627,6800,0.0,1.0
1999-10-18,7.5,7.5,7.5,7.5,2.2627,100,0.0,1.0
1999-10-19,7.625,7.625,7.625,7.625,2.3004,400,0.0,1.0
1999-10-20,7.563,7.563,7.563,7.563,2.2815,100,0.0,1.0
1999-10-21,7.563,7.563,7.563,7.563,2.2815,500,0.0,1.0
1999-10-22,7.563,7.563,7.563,7.563,2.2815,1800,0.0,1.0
1999-10-25,7.6875,7.688,7.563,7.563,2.2815,900,0.0,1.0
1999-10-26,7.563,7.563,7.5,7.5,2.2627,1000,0.0,1.0
1999-10-27,7.5,7.5,7.5,7.5,2.2627,700,0.0,1.0
1999-10-28,7.5,7.5,7.5,7.5,2.2627,1200,0.0,1.0
1999-10-29,7.5,7.5,7.5,7.5,2.2627,2300,0.0,1.0
1999-11-01,7.5,7.5,7.5,7.5,2.2627,2400,0.0,1.0
1999-11-02,7.5,7.5,7.5,7.5,2.2627,0,0.0,1.0
