timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,34.0,35.438,33.938,34.813,7.6939,1339600,0.0,1.0
1999-09-14,34.813,34.8121,33.063,33.063,7.3072,520000,0.0,1.0
1999-09-15,33.188,33.313,32.063,32.063,7.0861,628400,0.0,1.0
1999-09-16,32.125,32.125,30.188,30.75,6.7961,1570800,0.0,1.0
1999-09-17,26.75,26.75,25.063,25.75,5.691,8638400,0.0,1.0
1999-09-20,25.625,25.75,25.0,25.5,5.6358,2347600,0.0,1.0
1999-09-21,25.625,25.625,24.5,24.688,5.4562,1377200,0.0,1.0
1999-09-22,24.6883,24.688,23.875,23.938,5.2904,2952800,0.0,1.0
1999-09-23,24.125,24.188,23.875,24.0,5.3043,2040800,0.0,1.0
1999-09-24,24.125,24.2499,23.5,23.688,5.2352,1406800,0.0,1.0
1999-09-27,23.938,24.625,23.625,23.813,5.2628,1796800,0.0,1.0
1999-09-28,23.75,23.813,23.125,23.688,5.2352,891600,0.0,1.0
1999-09-29,24.0,24.688,23.8094,24.188,5.3457,818800,0.0,1.0
1999-09-30,24.563,26.0,24.5,25.875,5.7186,1822000,0.0,1.0
1999-10-01,26.0,26.0,24.5,24.5,5.4148,1317200,0.0,1.0
1999-10-04,24.5,24.563,23.875,24.0,5.3043,647600,0.0,1.0
1999-10-05,24.0,24.313,23.9392,24.188,5.3457,1393600,0.0,1.0
1999-10-06,24.25,25.125,24.0,24.063,5.3181,786000,0.0,1.0
1999-10-07,23.938,24.625,23.625,24.563,5.4286,1535600,0.0,1.0
1999-10-08,24.625,25.125,23.813,24.688,5.4562,1450400,0.0,1.0
1999-10-11,24.75,25.813,24.75,25.688,5.6772,1426000,0.0,1.0
1999-10-12,25.875,26.688,25.563,25.875,5.7186,1544400,0.0,1.0
1999-10-13,25.75,26.375,24.5,25.0,5.5253,789200,0.0,1.0
1999-10-14,25.0,25.0,23.313,24.813,5.4838,651600,0.0,1.0
1999-10-15,24.688,24.813,24.063,24.375,5.3871,964400,0.0,1.0
1999-10-18,24.188,24.625,24.063,24.25,5.3595,506000,0.0,1.0
1999-10-19,24.5,25.2511,24.438,25.188,5.5667,641200,0.0,1.0
1999-10-20,25.5,25.5,25.063,25.5,5.6358,320400,0.0,1.0
1999-10-21,25.5,26.25,25.438,25.938,5.7325,472000,0.0,1.0
1999-10-22,26.188,27.625,26.188,27.5,6.0778,842800,0.0,1.0
1999-10-25,27.5,28.0,27.125,27.875,6.1607,1128800,0.0,1.0
1999-10-26,28.0,28.5015,27.938,28.125,6.2159,625600,0.0,1.0
1999-10-27,28.125,28.375,28.0,28.313,6.2574,579600,0.0,1.0
1999-10-28,28.313,29.563,28.313,29.438,6.506,456000,0.0,1.0
1999-10-29,29.563,30.375,29.375,29.375,6.4922,535200,0.0,1.0
1999-11-01,29.438,30.25,29.438,30.063,6.6441,288000,0.0,1.0
1999-11-02,30.125,30.625,30.0625,30.375,6.7132,425600,0.0,1.0
1999-11-03,30.5,30.688,29.875,30.0,6.6303,570800,0.0,1.0
1999-11-04,30.0,30.188,29.75,30.0,6.6303,877200,0.0,1.0
1999-11-05,29.9984,30.438,29.813,30.0,6.6303,423200,0.0,1.0
1999-11-08,30.0,30.0,29.75,29.875,6.6027,1093200,0.0,1.0
1999-11-09,29.8147,31.188,29.75,30.813,6.8099,864000,0.0,1.0
1999-11-10,31.063,31.875,31.063,31.813,7.0309,514400,0.0,1.0
1999-11-11,31.813,32.375,31.813,32.25,7.1276,635600,0.0,1.0
1999-11-12,32.375,33.125,32.25,32.438,7.169,402000,0.0,1.0
1999-11-15,32.438,33.375,32.438,32.875,7.2657,726000,0.0,1.0
1999-11-16,32.688,33.125,32.688,33.0,7.2933,678800,0.0,1.0
1999-11-17,33.0,34.375,32.813,33.75,7.4591,956400,0.0,1.0
1999-11-18,33.75,35.5,33.625,34.5,7.6249,1131600,0.0,1.0
1999-11-19,34.313,34.998,34.313,34.625,7.6525,690800,0.0,1.0
1999-11-22,34.688,35.313,34.563,34.563,7.6387,507200,0.0,1.0
1999-11-23,34.563,34.75,32.188,32.625,7.2105,875200,0.0,1.0
1999-11-24,32.625,33.0012,32.438,32.75,7.2381,979200,0.0,1.0
1999-11-26,32.625,32.625,32.5,32.563,7.1967,207600,0.0,1.0
1999-11-29,32.563,33.125,32.5,32.938,7.2795,405200,0.0,1.0
1999-11-30,33.125,33.4986,32.875,32.938,7.2795,502000,0.0,1.0
1999-12-01,33.063,33.438,32.938,32.938,7.2795,358800,0.0,1.0
1999-12-02,33.063,33.813,33.063,33.25,7.3486,273600,0.0,1.0
1999-12-03,33.0,33.625,33.0,33.313,7.3624,314400,0.0,1.0
1999-12-06,33.125,33.125,32.313,32.5,7.1828,328800,0.0,1.0
1999-12-07,32.563,33.5632,32.563,33.563,7.4177,852800,0.0,1.0
1999-12-08,33.625,34.5,33.625,34.375,7.5972,794800,0.0,1.0
1999-12-09,34.375,34.75,34.375,34.5,7.6249,489600,0.0,1.0
1999-12-10,34.563,35.313,34.563,35.188,7.7768,432400,0.0,1.0
1999-12-13,35.125,35.125,33.938,33.938,7.5005,722400,0.0,1.0
1999-12-14,34.0,34.0,33.625,33.625,7.4315,262800,0.0,1.0
1999-12-15,33.875,33.875,33.2497,33.25,7.3486,333200,0.0,1.0
1999-12-16,33.0,33.75,32.375,33.375,7.3762,1490400,0.0,1.0
