timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-06-14,16.3,16.94,16.07,16.68,16.68,6312400,0.0,1.0
2018-06-15,16.45,16.83,16.05,16.62,16.62,639200,0.0,1.0
2018-06-18,16.44,16.5,16.03,16.1,16.1,282100,0.0,1.0
2018-06-19,15.89,15.89,15.0,15.11,15.11,950500,0.0,1.0
2018-06-20,15.2,15.8,15.15,15.79,15.79,851100,0.0,1.0
2018-06-21,15.8,15.94,15.387,15.63,15.63,194100,0.0,1.0
2018-06-22,15.571,15.6,15.05,15.3,15.3,282200,0.0,1.0
2018-06-25,15.38,15.44,14.34,14.46,14.46,517200,0.0,1.0
2018-06-26,14.38,14.5,13.46,13.52,13.52,615000,0.0,1.0
2018-06-27,13.44,13.95,12.63,12.66,12.66,857100,0.0,1.0
2018-06-28,12.79,13.72,12.61,13.67,13.67,769700,0.0,1.0
2018-06-29,13.58,15.55,13.58,15.14,15.14,871200,0.0,1.0
2018-07-02,15.12,15.3004,14.71,15.2,15.2,199700,0.0,1.0
2018-07-03,15.3,15.6,15.27,15.31,15.31,146100,0.0,1.0
2018-07-05,15.37,15.45,15.15,15.33,15.33,223100,0.0,1.0
2018-07-06,15.44,15.7898,15.35,15.77,15.77,316700,0.0,1.0
2018-07-09,16.03,16.04,15.3,15.49,15.49,748000,0.0,1.0
2018-07-10,15.5004,15.88,15.36,15.64,15.64,310800,0.0,1.0
2018-07-11,15.6008,16.07,15.35,15.82,15.82,235100,0.0,1.0
2018-07-12,16.0,16.0,15.4,15.59,15.59,362900,0.0,1.0
2018-07-13,15.56,15.83,14.976,15.64,15.64,190200,0.0,1.0
2018-07-16,15.61,15.67,14.33,14.71,14.71,498000,0.0,1.0
2018-07-17,14.56,14.74,14.4,14.42,14.42,350900,0.0,1.0
2018-07-18,14.4,15.11,14.338,14.84,14.84,180100,0.0,1.0
2018-07-19,14.9,15.3,14.0,14.79,14.79,186000,0.0,1.0
2018-07-20,14.7,15.14,14.59,14.85,14.85,137400,0.0,1.0
2018-07-23,15.06,15.49,14.65,15.29,15.29,97100,0.0,1.0
2018-07-24,15.43,15.43,13.82,14.16,14.16,323500,0.0,1.0
2018-07-25,14.22,14.22,13.25,13.34,13.34,977700,0.0,1.0
2018-07-26,13.31,13.34,12.6611,13.1,13.1,305000,0.0,1.0
2018-07-27,13.23,13.64,12.7,13.09,13.09,221200,0.0,1.0
2018-07-30,13.03,13.33,12.85,13.07,13.07,175100,0.0,1.0
2018-07-31,12.9,13.35,12.7496,13.1,13.1,294000,0.0,1.0
2018-08-01,12.95,13.24,12.77,13.02,13.02,158400,0.0,1.0
