timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,14.125,14.188,14.063,14.188,3.9673,30500,0.08,1.0
1999-09-14,14.063,14.188,14.063,14.125,3.9498,40200,0.0,1.0
1999-09-15,14.125,14.188,13.937,13.938,3.8974,43000,0.0,1.0
1999-09-16,13.875,13.938,13.625,13.938,3.8974,125000,0.0,1.0
1999-09-17,13.875,14.0,13.875,13.938,3.8974,22500,0.0,1.0
1999-09-20,14.0,14.0,13.875,13.938,3.8974,44000,0.0,1.0
1999-09-21,13.875,13.938,13.813,13.938,3.8974,65700,0.0,1.0
1999-09-22,13.938,13.938,13.625,13.875,3.8799,53600,0.0,1.0
1999-09-23,13.8123,13.938,13.813,13.875,3.8799,35900,0.0,1.0
1999-09-24,13.813,13.875,13.75,13.875,3.8799,29800,0.0,1.0
1999-09-27,13.875,13.875,13.75,13.813,3.8625,19400,0.0,1.0
1999-09-28,13.813,13.8751,13.75,13.813,3.8625,46500,0.0,1.0
1999-09-29,13.8752,13.875,13.75,13.875,3.8799,25900,0.0,1.0
1999-09-30,13.875,13.938,13.813,13.938,3.8974,44500,0.0,1.0
1999-10-01,13.938,14.0,13.875,14.0,3.9149,35000,0.0,1.0
1999-10-04,14.0,14.125,14.0,14.0,3.9149,41400,0.0,1.0
1999-10-05,14.0,14.063,13.938,13.938,3.8974,32100,0.0,1.0
1999-10-06,13.938,14.0,13.938,14.0,3.9149,48000,0.0,1.0
1999-10-07,13.938,14.063,13.8768,14.0,3.9149,54400,0.0,1.0
1999-10-08,14.0,14.0,13.875,14.0,3.9149,19500,0.0,1.0
1999-10-11,14.0,14.0,13.938,13.938,3.8974,14700,0.0,1.0
1999-10-12,13.938,13.938,13.813,13.813,3.8625,53300,0.0,1.0
1999-10-13,13.75,13.813,13.6258,13.625,3.8322,48000,0.08,1.0
1999-10-14,13.563,13.625,13.375,13.563,3.8146,65200,0.0,1.0
1999-10-15,13.375,13.375,13.25,13.313,3.7443,51000,0.0,1.0
1999-10-18,13.375,13.375,13.25,13.25,3.7267,34400,0.0,1.0
1999-10-19,13.313,13.313,13.063,13.125,3.6916,45600,0.0,1.0
1999-10-20,13.125,13.125,13.0,13.063,3.674,83100,0.0,1.0
1999-10-21,13.063,13.188,13.063,13.125,3.6916,50300,0.0,1.0
1999-10-22,13.188,13.188,13.125,13.125,3.6916,27700,0.0,1.0
1999-10-25,13.1876,13.188,13.063,13.063,3.674,44200,0.0,1.0
1999-10-26,13.063,13.125,12.938,13.063,3.674,69400,0.0,1.0
1999-10-27,13.125,13.125,13.0,13.063,3.674,28300,0.0,1.0
1999-10-28,13.125,13.188,13.0,13.188,3.7092,84600,0.0,1.0
1999-10-29,13.188,13.313,13.125,13.188,3.7092,53200,0.0,1.0
1999-11-01,13.313,13.375,13.188,13.375,3.7619,59800,0.0,1.0
1999-11-02,13.313,13.625,13.313,13.625,3.8322,101500,0.0,1.0
1999-11-03,13.563,13.813,13.563,13.813,3.885,87100,0.0,1.0
1999-11-04,13.7507,13.75,13.5,13.5,3.7971,127900,0.0,1.0
1999-11-05,13.564,13.813,13.563,13.688,3.8498,69700,0.0,1.0
1999-11-08,13.75,13.813,13.625,13.75,3.8674,26300,0.0,1.0
1999-11-09,13.813,13.813,13.625,13.75,3.8674,34200,0.0,1.0
1999-11-10,13.563,13.625,13.3742,13.438,3.8016,63000,0.08,1.0
1999-11-11,13.375,13.438,13.313,13.375,3.7839,33300,0.0,1.0
1999-11-12,13.3748,13.625,13.375,13.625,3.8546,59700,0.0,1.0
1999-11-15,13.688,13.688,13.563,13.563,3.837,29100,0.0,1.0
1999-11-16,13.563,13.625,13.438,13.438,3.8016,70600,0.0,1.0
1999-11-17,13.438,13.5,13.313,13.375,3.7839,83400,0.0,1.0
1999-11-18,13.375,13.438,13.25,13.375,3.7839,38500,0.0,1.0
1999-11-19,13.313,13.375,13.125,13.25,3.7486,53300,0.0,1.0
1999-11-22,13.125,13.25,13.125,13.25,3.7486,80300,0.0,1.0
1999-11-23,13.188,13.25,13.063,13.188,3.7309,70600,0.0,1.0
1999-11-24,13.188,13.25,13.125,13.25,3.7486,60900,0.0,1.0
1999-11-26,13.188,13.25,13.188,13.25,3.7486,16800,0.0,1.0
1999-11-29,13.125,13.188,13.0,13.125,3.7132,74200,0.0,1.0
1999-11-30,13.0,13.063,12.875,13.0,3.6778,80100,0.0,1.0
1999-12-01,12.938,13.0,12.688,12.813,3.6248,84500,0.0,1.0
1999-12-02,12.75,13.063,12.75,13.0,3.6778,94100,0.0,1.0
1999-12-03,13.0,13.125,12.938,13.0,3.6778,146300,0.0,1.0
1999-12-06,13.125,13.125,12.938,12.938,3.6601,98600,0.0,1.0
1999-12-07,12.938,12.938,12.75,12.75,3.6071,103200,0.0,1.0
1999-12-08,12.75,12.938,12.688,12.875,3.6425,120900,0.0,1.0
1999-12-09,12.8752,12.938,12.688,12.875,3.6425,86400,0.0,1.0
1999-12-10,12.8746,13.188,12.875,13.188,3.7309,131200,0.0,1.0
1999-12-13,13.188,13.25,13.0,13.125,3.7359,104700,0.08,1.0
1999-12-14,13.0,13.125,12.813,13.0,3.7003,116600,0.0,1.0
1999-12-15,12.875,12.938,12.5,12.688,3.6113,161700,0.0,1.0
1999-12-16,12.625,12.688,12.375,12.625,3.5935,202300,0.0,1.0
1999-12-17,12.6878,12.688,12.313,12.625,3.5935,134200,0.0,1.0
1999-12-20,12.563,12.688,12.375,12.5,3.558,146900,0.0,1.0
1999-12-21,12.563,12.563,12.25,12.313,3.5046,221100,0.0,1.0
1999-12-22,12.25,12.375,12.125,12.188,3.469,193200,0.0,1.0
1999-12-23,12.125,12.438,12.125,12.313,3.5046,154600,0.0,1.0
1999-12-27,12.313,12.5,12.25,12.5,3.558,180200,0.0,1.0
1999-12-28,12.5,12.563,12.438,12.5,3.558,181400,0.0,1.0
1999-12-29,12.438,12.625,12.313,12.375,3.5224,213900,0.0,1.0
1999-12-30,12.438,12.688,12.3124,12.688,3.6113,137800,0.0,1.0
1999-12-31,12.563,12.875,12.5,12.75,3.6291,103500,0.0,1.0
2000-01-03,12.625,12.813,12.5,12.625,3.5935,86300,0.0,1.0
2000-01-04,12.625,12.75,12.563,12.625,3.5935,59500,0.0,1.0
2000-01-05,12.563,12.75,12.563,12.688,3.6113,49500,0.0,1.0
2000-01-06,12.625,12.75,12.6241,12.75,3.6291,43000,0.0,1.0
2000-01-07,12.75,12.813,12.625,12.688,3.6113,71900,0.0,1.0
2000-01-10,12.813,13.0,12.7505,13.0,3.7003,55200,0.0,1.0
2000-01-11,12.813,13.063,12.813,13.063,3.7181,82000,0.0,1.0
2000-01-12,12.875,12.938,12.75,12.938,3.7052,33000,0.08,1.0
2000-01-13,12.875,12.875,12.688,12.75,3.6515,35900,0.0,1.0
2000-01-14,12.688,12.75,12.625,12.625,3.6157,25500,0.0,1.0
2000-01-18,12.6248,12.75,12.563,12.688,3.6336,60500,0.0,1.0
2000-01-19,12.688,12.75,12.688,12.75,3.6515,76500,0.0,1.0
2000-01-20,12.813,12.8751,12.75,12.813,3.6694,63100,0.0,1.0
2000-01-21,12.813,12.875,12.75,12.875,3.6873,50600,0.0,1.0
2000-01-24,12.8131,12.938,12.813,12.875,3.6873,59500,0.0,1.0
2000-01-25,12.8758,12.938,12.813,12.875,3.6873,32900,0.0,1.0
2000-01-26,12.875,12.938,12.8742,12.938,3.7052,29300,0.0,1.0
2000-01-27,12.938,13.0,12.875,13.0,3.7231,22400,0.0,1.0
2000-01-28,13.0,13.125,12.8749,13.063,3.741,85000,0.0,1.0
2000-01-31,13.0,13.188,13.0,13.188,3.7768,72600,0.0,1.0
2000-02-01,13.25,13.25,13.0,13.188,3.7768,78900,0.0,1.0
2000-02-02,13.25,13.25,13.125,13.188,3.7768,56300,0.0,1.0
