timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-09-19,27.5,27.5,24.96,24.96,24.5548,102300,0.0,1.0
2016-09-20,25.0,25.05,24.26,24.26,23.8662,283900,0.0,1.0
2016-09-21,24.0,24.93,23.53,24.0,23.6104,571100,0.0,1.0
2016-09-22,24.0,24.0,22.32,23.2,22.8234,572300,0.0,1.0
2016-09-23,22.8,23.15,22.55,23.0,22.6267,544000,0.0,1.0
2016-09-26,22.56,23.0,21.91,22.35,21.9872,497800,0.0,1.0
2016-09-27,22.4,22.53,22.25,22.35,21.9872,368700,0.0,1.0
2016-09-28,22.35,22.75,22.25,22.47,22.1053,1401900,0.0,1.0
2016-09-29,22.42,23.25,22.42,23.0,22.6267,1576600,0.0,1.0
2016-09-30,23.25,23.25,22.66,22.7,22.3315,1758200,0.0,1.0
2016-10-03,22.45,28.0,21.86,28.0,27.5455,30016900,0.0,1.0
2016-10-04,25.7,25.7694,24.35,24.49,24.0925,8727100,0.0,1.0
2016-10-05,23.8,24.925,23.47,23.68,23.2956,3157600,0.0,1.0
2016-10-06,23.51,24.023,23.32,23.44,23.0595,3389200,0.0,1.0
2016-10-07,23.13,23.48,22.92,23.38,23.0005,3502500,0.0,1.0
2016-10-10,23.15,24.03,23.15,23.49,23.1087,2488700,0.0,1.0
2016-10-11,23.0,23.66,22.72,23.3,22.9218,5099600,0.0,1.0
2016-10-12,22.5907,23.43,22.2,23.34,22.9611,4020000,0.0,1.0
2016-10-13,23.34,23.3905,22.28,22.83,22.4594,3564600,0.0,1.0
2016-10-14,22.57,22.84,22.4,22.46,22.0954,2541000,0.0,1.0
2016-10-17,22.42,22.59,22.25,22.47,22.1053,999000,0.0,1.0
2016-10-18,23.03,24.58,22.884,24.3,23.9056,2714800,0.0,1.0
2016-10-19,24.12,24.2,23.3,23.76,23.3743,1535400,0.0,1.0
2016-10-20,23.59,24.01,23.45,23.92,23.5317,744200,0.0,1.0
2016-10-21,23.75,24.02,23.18,23.33,22.9513,1405700,0.0,1.0
2016-10-24,23.6,23.6,22.97,23.3,22.9218,1082000,0.0,1.0
2016-10-25,23.19,23.2,22.75,23.04,22.666,2198800,0.0,1.0
2016-10-26,22.78,22.86,22.25,22.81,22.4397,4476200,0.0,1.0
2016-10-27,22.96,23.89,22.75,23.29,22.9119,2281100,0.0,1.0
2016-10-28,23.22,23.35,22.5,22.75,22.3807,7341100,0.0,1.0
2016-10-31,22.57,22.98,22.52,22.7,22.3315,1305500,0.0,1.0
2016-11-01,22.78,22.78,22.175,22.53,22.1643,4584300,0.0,1.0
2016-11-02,22.5,22.9801,22.483,22.67,22.302,1215500,0.0,1.0
2016-11-03,22.67,22.92,22.41,22.62,22.2528,1023400,0.0,1.0
2016-11-04,22.44,22.91,22.24,22.69,22.3217,1346900,0.0,1.0
2016-11-07,22.8806,23.5,22.7,23.11,22.7349,1736200,0.0,1.0
2016-11-08,23.05,23.24,22.7104,23.13,22.7545,1358500,0.0,1.0
2016-11-09,22.93,23.14,22.72,23.0,22.6267,2165600,0.0,1.0
2016-11-10,22.9993,23.77,22.81,23.55,23.1677,2343600,0.0,1.0
2016-11-11,23.47,24.27,23.06,24.18,23.7875,1076400,0.0,1.0
2016-11-14,24.17,24.282,23.54,23.69,23.3055,1166400,0.0,1.0
2016-11-15,23.68,24.01,23.5,23.89,23.5022,1175000,0.0,1.0
