timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-09-29,15.05,15.05,15.0,15.01,7.1136,108000,0.0,1.0
2003-09-30,15.0,15.01,15.0,15.01,7.1136,66800,0.0,1.0
2003-10-01,15.01,15.01,15.0,15.01,7.1136,28900,0.0,1.0
2003-10-02,15.01,15.01,14.9993,15.01,7.1136,53300,0.0,1.0
2003-10-03,15.01,15.01,15.0,15.01,7.1136,21000,0.0,1.0
2003-10-06,15.0,15.05,14.9999,15.02,7.1183,41900,0.0,1.0
2003-10-07,15.01,15.11,15.0,15.04,7.1278,58400,0.0,1.0
2003-10-08,15.03,15.06,15.01,15.06,7.1372,32800,0.0,1.0
2003-10-09,15.07,15.17,15.02,15.05,7.1325,36900,0.0,1.0
2003-10-10,15.0101,15.09,15.0,15.06,7.1372,45300,0.0,1.0
2003-10-13,15.0,15.07,15.0,15.0,7.1088,37300,0.0,1.0
2003-10-14,15.06,15.27,15.01,15.12,7.1657,40300,0.0,1.0
2003-10-15,15.1,15.22,15.06,15.2,7.2036,45200,0.0,1.0
2003-10-16,15.2,15.33,15.1,15.2,7.2036,55800,0.0,1.0
2003-10-17,15.25,15.5501,15.15,15.2,7.2036,76600,0.0,1.0
2003-10-20,15.15,15.35,15.14,15.2,7.2036,27900,0.0,1.0
2003-10-21,15.2985,15.39,15.17,15.31,7.2557,50600,0.0,1.0
2003-10-22,15.34,15.45,15.3,15.4,7.2984,59100,0.0,1.0
2003-10-23,15.4,15.48,15.25,15.48,7.3363,26100,0.0,1.0
2003-10-24,15.48,15.49,15.25,15.48,7.3363,45200,0.0,1.0
2003-10-27,15.18,15.18,15.0,15.09,7.1515,207400,0.0,1.0
2003-10-28,15.09,15.25,15.0,15.15,7.1799,94900,0.0,1.0
2003-10-29,15.23,15.3,15.15,15.16,7.1846,39700,0.0,1.0
2003-10-30,15.22,15.2401,15.0,15.05,7.1325,61000,0.0,1.0
2003-10-31,15.0,15.14,15.0,15.06,7.1372,65500,0.0,1.0
2003-11-03,15.07,15.29,15.0,15.15,7.1799,57000,0.0,1.0
2003-11-04,15.2,15.2,15.0,15.07,7.142,31900,0.0,1.0
2003-11-05,15.13,15.1393,15.0,15.1,7.1562,30800,0.0,1.0
2003-11-06,15.15,15.35,15.1,15.29,7.2463,53400,0.0,1.0
2003-11-07,15.4,15.4,15.03,15.13,7.1704,53600,0.0,1.0
2003-11-10,15.1,15.19,15.0,15.1,7.1876,20700,0.066,1.0
2003-11-11,15.1,15.28,15.1,15.15,7.2114,56900,0.0,1.0
2003-11-12,15.2,15.34,15.1,15.15,7.2114,51400,0.0,1.0
2003-11-13,15.11,15.25,15.1,15.15,7.2114,58300,0.0,1.0
2003-11-14,15.11,15.26,15.0995,15.2,7.2352,33100,0.0,1.0
2003-11-17,15.2,15.3093,15.15,15.25,7.259,60500,0.0,1.0
2003-11-18,15.25,15.35,15.2,15.32,7.2923,58700,0.0,1.0
2003-11-19,15.41,15.45,15.21,15.34,7.3018,83300,0.0,1.0
2003-11-20,15.35,15.36,15.12,15.35,7.3066,61800,0.0,1.0
2003-11-21,15.39,15.49,15.2,15.37,7.3161,64000,0.0,1.0
2003-11-24,15.32,15.4,15.12,15.16,7.2161,129700,0.0,1.0
2003-11-25,15.2,15.28,15.1,15.25,7.259,56700,0.0,1.0
2003-11-26,15.2,15.29,15.1,15.25,7.259,62600,0.0,1.0
2003-11-28,15.25,15.29,15.1109,15.2,7.2352,43600,0.0,1.0
2003-12-01,15.24,15.25,15.1,15.2,7.2352,62800,0.0,1.0
2003-12-02,15.28,15.35,15.14,15.21,7.2399,73100,0.0,1.0
2003-12-03,15.26,15.27,15.2,15.25,7.259,71300,0.0,1.0
2003-12-04,15.25,15.35,15.21,15.29,7.278,66100,0.0,1.0
2003-12-05,15.33,15.35,15.2,15.3,7.3143,49500,0.066,1.0
2003-12-08,15.3,15.43,15.2,15.43,7.3765,87100,0.0,1.0
2003-12-09,15.43,15.43,15.2,15.28,7.3048,69500,0.0,1.0
2003-12-10,15.78,15.78,15.2571,15.26,7.2952,74000,0.0,1.0
2003-12-11,15.3,15.4512,15.26,15.42,7.3717,37400,0.0,1.0
2003-12-12,15.35,15.55,15.26,15.45,7.386,58100,0.0,1.0
2003-12-15,15.55,15.55,15.2,15.37,7.3478,101300,0.0,1.0
2003-12-16,15.45,15.5,15.11,15.41,7.3669,104600,0.0,1.0
2003-12-17,15.44,15.45,15.12,15.2,7.2665,117900,0.0,1.0
2003-12-18,15.3,15.4007,15.21,15.31,7.3191,52400,0.0,1.0
2003-12-19,15.35,15.55,15.23,15.4,7.3621,68400,0.0,1.0
2003-12-22,15.31,15.56,15.21,15.49,7.4052,76000,0.0,1.0
2003-12-23,15.39,15.6,15.27,15.27,7.3,53800,0.0,1.0
2003-12-24,15.26,15.39,15.26,15.3,7.3143,22200,0.0,1.0
2003-12-26,15.25,15.25,14.92,14.92,7.1467,73200,0.03,1.0
2003-12-29,15.01,15.08,14.91,14.91,7.1419,106500,0.0,1.0
2003-12-30,15.01,15.1,14.92,15.1,7.2329,73000,0.0,1.0
2003-12-31,15.1,15.18,14.97,15.1,7.2329,40400,0.0,1.0
